analyte,modality,position,index,prominence,width_cm,rel_intensity,height,snr
ergothioneine,raman,962.0,221,2.6613970330639556,25.38511289281098,0.32816378247459255,2.0478100801262804,2661397033.0639553
ergothioneine,raman,1638.0,559,2.400326365234543,12.65806492726756,0.3101727708013971,1.896568281890789,2400326365.234543
ergothioneine,raman,716.0,98,1.6217505353921817,14.02923249039091,0.20959416422520225,1.0510522209308892,1621750535.3921816
ergothioneine,raman,908.0,194,1.495798773172502,12.848898793289834,0.2124474870354081,1.0750387360085725,1495798773.1725018
ergothioneine,raman,1088.0,284,0.9949092170773551,23.92236578559698,0.13864899296168887,0.45465022459374005,994909217.077355
ergothioneine,raman,1008.0,244,0.9753705196187928,15.461827594014267,0.15330997834463156,0.5778980904446708,975370519.6187928
ergothioneine,raman,1450.0,465,0.9728212223510252,15.723831444143684,0.21764985154800112,1.1187725169795082,972821222.3510251
ergothioneine,raman,1328.0,404,0.8737027180192685,29.78107938033304,0.11049344378207317,0.21796003920648474,873702718.0192684
fructose,raman,626.0,53,7.819825495312521,14.869721633838367,1.0,7.189261601947893,7819825495.31252
fructose,raman,872.0,176,4.331630445148461,12.47280432107982,0.5560960034623933,3.716175921930077,4331630445.14846
fructose,raman,818.0,149,4.042785948731673,12.422447760060209,0.5431627631029052,3.6149868084300336,4042785948.731673
fructose,raman,1084.0,282,3.2673243389931748,14.974254365977458,0.42197852835469674,2.666846594260406,3267324338.9931746
fructose,raman,1266.0,373,2.9628740486105154,15.925490115950424,0.38363316258667085,2.3668341100684693,2962874048.610515
fructose,raman,1472.0,476,2.8910829974865457,10.439393294391039,0.37672244541866456,2.312764957679519,2891082997.4865456
fructose,raman,978.0,229,1.9458652361552446,11.604641803399602,0.2551427103781426,1.3615303663193477,1945865236.1552446
fructose,raman,524.0,2,1.8671629015932585,9.583695140042526,0.31976890272315267,1.8671629015932585,1867162901.5932584
fructose,raman,594.0,37,1.5754683203637203,12.85065492962785,0.29455086843032247,1.6698580914005738,1575468320.3637202
fructose,raman,926.0,203,1.408564712452748,11.282896877362134,0.18680402859741727,0.8268514741823084,1408564712.452748
fructose,raman,1178.0,329,1.2706406515326918,13.304820038417802,0.16807015949730106,0.6802784921626936,1270640651.5326917
fructose,raman,1142.0,311,0.9652064027926341,14.9355305198809,0.15040549853132437,0.5420709483653136,965206402.7926341
fructose,raman,1048.0,264,0.850270294498799,21.667394811453164,0.20734136913660053,0.9875347387814909,850270294.498799
fructose-6-phosphate,raman,972.0,226,7.598466713896855,23.050624426811908,1.0,6.802176768184047,7598466713.896854
fructose-6-phosphate,raman,832.0,156,2.649436273569769,44.218341815287886,0.36208207203580556,1.894463735976386,2649436273.569769
fructose-6-phosphate,raman,1460.0,470,2.3672841934875706,27.75966080791295,0.3292494919961228,1.6418718681541722,2367284193.4875703
fructose-6-phosphate,raman,1070.0,275,2.3357075761571395,48.498225771948796,0.33946226012609526,1.7204420619819811,2335707576.1571393
fructose-6-phosphate,raman,622.0,51,1.3432746326245872,39.49446438088967,0.2117042949671196,0.7375578960203841,1343274632.624587
fructose-6-phosphate,raman,534.0,7,1.1240651633835057,25.031758574148,0.2505225053702211,1.0361991925430507,1124065163.3835056
fructose-6-phosphate,raman,1266.0,373,0.8922223671110099,32.265192825908,0.16717346020568236,0.39496749604332304,892222367.1110098
fructose-6-phosphate,raman,1346.0,413,0.8455052573665862,42.82233835651766,0.16591789203375099,0.3853079959570381,845505257.3665862
galactose,raman,872.0,176,6.6352439122553974,12.798327100333779,1.0,5.816571903257416,6635243912.255397
galactose,raman,528.0,4,5.185112577304748,13.44688721177988,0.906907615168611,5.185112577304748,5185112577.304748
galactose,raman,1268.0,374,4.2887244831096245,15.582176966198062,0.6604815858100211,3.513568608613775,4288724483.1096244
galactose,raman,1062.0,271,4.0569145156653,20.960001361806917,0.6092194120623877,3.16584975126386,4056914515.6652994
galactose,raman,936.0,208,2.41746995014017,27.026269549678375,0.4012479266782249,1.7551486051291019,2417469950.14017
galactose,raman,1370.0,425,1.9360949000350778,14.223293316265767,0.34482463562210214,1.3724211306652936,1936094900.0350776
galactose,raman,1020.0,250,1.8166867853199031,10.958706264817408,0.38567580605132873,1.6495206226413452,1816686785.3199031
galactose,raman,604.0,42,1.5111877565944978,13.773714553981264,0.2463404301592893,0.7043882930581201,1511187756.5944977
galactose,raman,1142.0,311,1.3271013794207744,29.473725053676958,0.2998188261513852,1.0671401115593075,1327101379.4207745
galactose,raman,1038.0,259,1.2204025668823824,9.625502784642322,0.3544962104544743,1.4380248439616288,1220402566.8823824
galactose,raman,1098.0,289,1.130542637195441,10.98208102842159,0.3050957012135013,1.1029339305262995,1130542637.195441
galactose,raman,1336.0,408,1.0318367010125542,9.907126407997339,0.2740022148319883,0.8920222433077294,1031836701.0125542
galactose,raman,1452.0,466,1.006732557830158,12.224275012329826,0.2052766444377813,0.42584660031135657,1006732557.830158
galactose,raman,1512.0,496,0.9232193066994071,11.958333923372152,0.16629370800575954,0.16141961406962044,923219306.6994071
galactose,raman,1614.0,547,0.9048850295768489,38.336985094285865,0.17735521155625575,0.23645141810676637,904885029.5768489
galactose,raman,708.0,94,0.8475347941485161,15.48498754188563,0.16503585862323297,0.15288743687082115,847534794.148516
galactose,raman,1388.0,434,0.7264492420835913,8.648863210542231,0.2943058336035646,1.0297446729900395,726449242.0835912
glucose,raman,542.0,11,5.750401321250238,14.71250314407094,1.0,5.079017234279892,5750401321.250237
glucose,raman,842.0,161,4.832071710579381,11.809049897356317,0.8393887027148812,4.14137028666945,4832071710.579381
glucose,raman,1120.0,300,4.2568078526712885,26.3331919579814,0.7340585168429741,3.526453845899347,4256807852.671288
glucose,raman,1346.0,413,4.081598143796449,25.513340078219244,0.7119986776856133,3.397668752943168,4081598143.7964487
glucose,raman,1074.0,277,3.3752767118534113,28.100946312892347,0.6736932766108887,3.174042252181213,3375276711.853411
glucose,raman,916.0,198,3.0698633107663444,12.169119996018821,0.5497666769881907,2.4505601570351554,3069863310.766344
glucose,raman,1460.0,470,1.6138612255053728,10.05049751003628,0.3679001117376572,1.3888251940403828,1613861225.5053728
glucose,raman,1272.0,376,1.203972795156847,16.65110519399707,0.2392066194160607,0.6375140329178884,1203972795.156847
glucose,raman,1150.0,315,1.0033951761863342,9.827305157756655,0.2940034173132723,0.9574171228975201,1003395176.1863341
glucose,raman,1022.0,251,0.995900750989053,11.92761025507491,0.2407496364525555,0.6465221490270056,995900750.9890529
glucose,raman,650.0,65,0.9299072180143078,16.92984862535299,0.1886397228125609,0.3423050591292342,929907218.0143077
glucose,raman,772.0,126,0.9100975713080852,11.364137498290603,0.1770997168907258,0.2749346343153027,910097571.3080852
glutamate,raman,866.0,173,7.268208965204564,12.864975941930936,1.0,6.6421854671733325,7268208965.204563
glutamate,raman,1408.0,444,3.8988551776514004,16.995969897479654,0.5425772057146921,3.2923113048892674,3898855177.6514
glutamate,raman,920.0,200,2.9137995129133003,13.98995085074256,0.41016617306446146,2.322616959487455,2913799512.9133
glutamate,raman,1352.0,416,2.384731174712189,21.506237150521883,0.3602834506485346,1.9573075672727858,2384731174.7121887
glutamate,raman,538.0,9,2.161854525025783,12.829976706245976,0.3652388346350105,1.9935976537920375,2161854525.0257826
glutamate,raman,942.0,211,1.7405361909223767,10.467423830301925,0.39367599750378446,2.20185338204364,1740536190.9223766
glutamate,raman,1312.0,396,1.7298326130246209,14.808884159122726,0.307133521622747,1.5680712279493334,1729832613.0246208
glutamate,raman,804.0,142,1.522263525101791,15.156392193789827,0.21792633928558294,0.9147744553905117,1522263525.101791
glutamate,raman,1438.0,459,1.366692070311701,10.133847367170233,0.3209311863505515,1.6691165653242377,1366692070.3117008
glutamate,raman,708.0,94,1.2054834474249145,12.402147201593664,0.1810780527771242,0.644920997186732,1205483447.4249144
glutamate,raman,1090.0,285,1.1935339084427825,44.48611065777652,0.17431829826862202,0.5954168464222414,1193533908.4427824
glutamate,raman,1128.0,304,1.0637175316145189,12.895395019912826,0.16442652678963665,0.5229757916461131,1063717531.6145188
glutamate,raman,762.0,121,1.0570100722916205,12.12085482652489,0.17144236360529366,0.5743553266609591,1057010072.2916204
glutamate,raman,970.0,225,0.9187535955460604,11.010424896498591,0.14795456302289609,0.40234558581980084,918753595.5460603
glutamate,raman,1658.0,569,0.7774186728912791,65.93932235199122,0.12750754743460013,0.2526046239115279,777418672.891279
glutathione,raman,1410.0,445,3.894982389299855,59.50965694018589,1.0,2.891822698252172,3894982389.2998548
glutathione,raman,916.0,198,3.108227131686858,30.73491873740636,0.8096093437764095,2.1440930171650128,3108227131.686858
glutathione,raman,678.0,79,2.3918167338083696,41.38466038455087,0.66026634845886,1.5575716380367648,2391816733.8083696
