analyte,n_raman_peaks,n_sers_peaks,recall,precision,f1,mean_abs_shift,pcs,excess_over_mismatched
mannose,17,40,0.7058823529411765,0.3,0.42105263157894735,6.666666666666667,0.1871345029239766,0.07529411764705896
methionine,11,41,0.9090909090909091,0.24390243902439024,0.38461538461538464,5.2,0.21794871794871795,0.21272727272727265
n-acetylglucosamine,20,47,0.8,0.3404255319148936,0.47761194029850745,6.0,0.23880597014925373,0.14200000000000013
oleate,5,44,0.6,0.06818181818181818,0.1224489795918367,4.666666666666667,0.0748299319727891,-0.07599999999999996
phenylalanine,8,42,0.625,0.11904761904761904,0.19999999999999998,7.2,0.08,-0.04500000000000004
phosphate,4,48,0.75,0.0625,0.11538461538461539,8.0,0.03846153846153847,0.14
phosphatidylinositol,17,51,1.0,0.3333333333333333,0.5,6.235294117647059,0.24019607843137253,0.26117647058823534
phosphoenolpyruvate,12,55,1.0,0.21818181818181817,0.3582089552238806,5.833333333333333,0.18407960199004972,0.365
proline,16,56,0.875,0.25,0.3888888888888889,5.142857142857143,0.2222222222222222,0.265
pyruvate,15,43,0.9333333333333333,0.32558139534883723,0.4827586206896553,6.0,0.24137931034482765,0.268
riboflavin,12,36,0.5833333333333334,0.19444444444444445,0.2916666666666667,4.285714285714286,0.1875,-0.04833333333333323
serine,12,51,0.8333333333333334,0.19607843137254902,0.31746031746031744,5.8,0.16402116402116398,0.20000000000000007
stearate,9,17,0.4444444444444444,0.23529411764705882,0.30769230769230765,6.0,0.15384615384615383,-0.22666666666666657
thymine,9,38,0.8888888888888888,0.21052631578947367,0.3404255319148936,5.25,0.19148936170212766,0.21999999999999997
triolein,6,40,0.8333333333333334,0.125,0.21739130434782608,5.6,0.11594202898550726,0.1399999999999999
tryptophan,20,29,0.6,0.41379310344827586,0.4897959183673469,3.5,0.346938775510204,-0.052000000000000046
tyrosine,11,53,0.8181818181818182,0.16981132075471697,0.28125,3.111111111111111,0.20833333333333331,0.14000000000000012
uracil,9,34,0.3333333333333333,0.08823529411764706,0.13953488372093023,4.0,0.0930232558139535,-0.2888888888888889
urate,13,11,0.07692307692307693,0.09090909090909091,0.08333333333333334,8.0,0.027777777777777783,-0.5446153846153847
urea,2,7,0.5,0.14285714285714285,0.22222222222222224,10.0,0.03703703703703703,-0.15000000000000002
valine,21,57,0.8571428571428571,0.3157894736842105,0.46153846153846156,3.3333333333333335,0.33333333333333337,0.22190476190476194
xanthine,11,12,0.5454545454545454,0.5,0.5217391304347826,6.666666666666667,0.23188405797101447,-0.16727272727272724
