component,levels,mean,sem,delta_final,effect_size,spearman_rho,spearman_p,direction,linear_r2,saturating_r2,saturating_K,responsive,experiment
10,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.003337483878548328, 0.005422113465005223, 0.0032375082068645668, 0.0018809171989294113, 0.0019821982761447613, 0.005119034138361127, 0.002877162476582233, 0.0071969093261567176, 0.0045855267048856615, 0.00385853642680805, 0.008363648708692571, 0.008394860038024672, 0.0081222134070444, 0.0035211466011722784]","[0.0015772535268697868, 0.0027952629892312483, 0.0015210977383155366, 0.0014068491734047965, 0.0011432757592290585, 0.0022835508607651567, 0.0015796191711690928, 0.0035447160315017815, 0.002193230642099966, 0.0019191492327138872, 0.002446702148983251, 0.003275681702145553, 0.0034778946584142186, 0.0027873785601484537]",0.0001836627226239505,0.08047396640612982,0.5252747252747253,0.053747501767883,up,0.3263146066133073,0.32631460389868705,2378314.83789274,False,adenine::cAg@532nm
11,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.0210809486914261, 0.026069684989597643, 0.020471675936020253, 0.027072297378389884, 0.02737066481454617, 0.024646973435360296, 0.028729833709302335, 0.02776269981126157, 0.024588174920974492, 0.02399980122449004, 0.023894832356799598, 0.023035671971857512, 0.022815783073623537, 0.022432586420330154]","[0.00390947247584359, 0.004238749190956236, 0.0035146381907516385, 0.00406760968920097, 0.00392697753323298, 0.003688225912112388, 0.0034610587475359662, 0.0030451256114838138, 0.003959531066902291, 0.003369203228224976, 0.0025077521362555214, 0.0036440983930768464, 0.0029644690496979, 0.003659964845621299]",0.0013516377289040545,0.3787851521141979,-0.178021978021978,0.5425969526062154,up,0.015914432957612024,0.1569158378652311,0.005278406497767073,False,adenine::cAg@532nm
12,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.01572202484407904, 0.002122625045285089, 0.00047484480223113887, 0.0005391435040398334, 0.0, 0.0, 0.0, 0.0006969825595768167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0037227478484696164, 0.0010647132933342034, 0.00046146619988785014, 0.0005239533060791003, 0.0, 0.0, 0.0, 0.0005363582314846381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.01572202484407904,-34.88659466175698,-0.7299897433679042,0.0030360658036046543,down,0.2504211405736795,0.9925663898709708,0.022733267038896016,True,adenine::cAg@532nm
13,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.041491854754326735, 0.06086599608206506, 0.08949570791498557, 0.09540410702813336, 0.12048183795910254, 0.14577109838308028, 0.13640438084211592, 0.1560043476665111, 0.1768383824165188, 0.17772454201223226, 0.1650034820082215, 0.17234285662613139, 0.17047506014373845, 0.18838243914034714]","[0.006940119411490344, 0.007580914008347033, 0.009313171454760653, 0.012237379608574407, 0.013525208552276239, 0.015959942265197327, 0.014820023160175892, 0.011677524719068359, 0.018386019808939207, 0.013509242443121414, 0.01057008674073436, 0.015916199855431426, 0.011861236443619123, 0.017820168127559204]",0.1468905843860204,11.417386033608128,0.9252747252747253,2.136570349610813e-06,up,0.8098415875075232,0.9370638646820937,0.7820112096871609,True,adenine::cAg@532nm
14,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.056551286197972735, 0.05014590602278295, 0.04265703940895209, 0.03220970206206915, 0.027002538368725792, 0.023096467712833493, 0.02524358811921812, 0.02238912965349844, 0.01787283406871665, 0.015871188013724766, 0.017590197764929302, 0.017760417232898895, 0.014239469742774461, 0.016836653367279734]","[0.008514147981284673, 0.00909742354370571, 0.009163544624966848, 0.01072521691848917, 0.010801410583219546, 0.009490499570295524, 0.011516079148111908, 0.01123118056854016, 0.009448568688179528, 0.008088639100619086, 0.006481660994430792, 0.009321916425004781, 0.007510240155563474, 0.008788125115032129]",-0.039714632830693,-4.271090422571033,-0.956043956043956,9.469782144566517e-08,down,0.7544357973443527,0.9500349299348609,0.5250294738346433,True,adenine::cAg@532nm
15,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.021156770574181097, 0.01594438541446925, 0.009437068699927676, 0.01613711505366893, 0.01822793750080491, 0.017149208764414926, 0.01708667403396571, 0.022452643791850628, 0.02235669893001538, 0.02023180636310907, 0.02176837159636212, 0.023711371534636476, 0.024651726692054995, 0.02254834732845972]","[0.005484958732618029, 0.004253406293592704, 0.003202783190246542, 0.004463731967075676, 0.003417903314630149, 0.0029144448930556142, 0.002870373614159287, 0.0030868719675561217, 0.0030453766582037734, 0.003135971544286527, 0.00217786474081301, 0.0025997100662583936, 0.0026215953698665913, 0.004142442065393192]",0.0013915767542786242,0.4108629884143158,0.7934065934065934,0.0007075341356182062,up,0.5251946038720501,0.525194600177618,10674861.895163128,False,adenine::cAg@532nm
16,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.02560342897944559, 0.028382861073436478, 0.025624854707414726, 0.0316644727472942, 0.031208211284007185, 0.029959251301569845, 0.03476265104835587, 0.03278962212391346, 0.032436829673731175, 0.03366611387476587, 0.0377320650581964, 0.035921052869235005, 0.03667036427457112, 0.0321234395554686]","[0.0054411464244652095, 0.005529132233013965, 0.006163326359069762, 0.006340975608935005, 0.005851262137515973, 0.005705688728046404, 0.0049439441514457375, 0.003927850461417635, 0.004917994086985745, 0.0044946458177322745, 0.003901527598114804, 0.005424953260094588, 0.004958814350955253, 0.004196764622337178]",0.006520010576023007,1.2713459624743622,0.8109890109890111,0.0004322100649076796,up,0.6694639616008919,0.762602126416708,0.8886151554681198,True,adenine::cAg@532nm
17,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.015798220503441117, 0.011049072885312324, 0.015189148173215324, 0.012871411502433178, 0.015194701158196322, 0.01629081601263718, 0.015150846157558823, 0.021371065873127173, 0.017976162860565026, 0.017699356296371316, 0.02244899428740703, 0.02158685439571155, 0.021602486591489098, 0.014870307931587744]","[0.00445108250392398, 0.0030625002493432038, 0.00413769434950977, 0.0029432672721092837, 0.003686883572186017, 0.002893174845539676, 0.003558493905735685, 0.004737960918295091, 0.00435268561882564, 0.004072624584277897, 0.003765964582192372, 0.005567643131171002, 0.005745426276622249, 0.004487304437535472]",-0.0009279125718533732,-0.22607311227256083,0.5604395604395604,0.0371044770040744,down,0.44424458137760386,0.45652355560256364,3.8454350213705175,False,adenine::cAg@532nm
18,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.018002444243578206, 0.00871174474171975, 0.004238360515713595, 0.005195454991493967, 0.00227088525137505, 0.0013830726923804, 0.002534929960092567, 0.003526923760972089, 0.0002967570904680111, 0.00027485860918053333, 0.0012171497677744582, 0.0005637041966719056, 0.0010661079975878389, 0.0005802814366260889]","[0.007155391309695823, 0.004380141183778822, 0.002026071702469041, 0.0023053988863432633, 0.0013957611860737202, 0.000960899574472537, 0.0019273641943569548, 0.0019121580136084054, 0.00017299019426033168, 0.00026711455466929584, 0.0006321476193056778, 0.00048633308008963244, 0.0007506594832157869, 0.00039784141373622986]",-0.017422162806952118,-9.846889753199365,-0.8373626373626375,0.00018639737783200406,down,0.5011301969731454,0.9408758667690876,0.13814074710915455,True,adenine::cAg@532nm
19,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.048002476333872814, 0.021568237299518744, 0.020001893953451207, 0.008747044786881673, 0.0017546246189654611, 0.005576890187302688, 0.001219282034023961, 0.00028934983420143335, 0.0013658737750760722, 0.00043732626351765554, 0.001481705520265825, 0.0027043869749392557, 0.0008334628285517777, 0.0006391094384443167]","[0.012492838325197467, 0.007372319106442598, 0.007935701194041581, 0.003810020636468073, 0.0009753339552779186, 0.0027130000916745097, 0.0006508090628699817, 0.00017610816375279368, 0.0011074456631134596, 0.00042500473415398146, 0.0007674674627688666, 0.001867760859791094, 0.0007368498043438862, 0.0006211027318517342]",-0.0473633668954285,-15.919780703980692,-0.7538461538461538,0.0018447252892572188,down,0.5053000641928335,0.9721085100753936,0.16666937759403455,True,adenine::cAg@532nm
