experiment,analyte,component,effect_rank,theme,theme_class,theme_confidence,rho,effect_size,direction,theme_matches_analyte,analyte_loads_this_component
adenine::sAu@785nm,adenine,6,13,protein,protein/peptide,moderate,-0.907142857142857,-7.142408434002272,down,False,False
adenine::sAu@785nm,adenine,17,14,pyrimidine,nucleic,high,-0.7571428571428571,-6.630175061702618,down,True,False
adenine::sAu@785nm,adenine,21,15,saccharide,carbohydrate,moderate,-0.7285714285714285,-2.954387595754383,down,False,False
adenine::sAu@785nm,adenine,23,16,organic_acid,cofactor/small-molecule,high,0.7535714285714286,1.6842945144326285,up,False,False
ergothioneine,ergothioneine,18,0,saccharide,carbohydrate,high,0.9818181818181818,47.835744266387735,up,False,False
ergothioneine,ergothioneine,13,1,pyrimidine,nucleic,moderate,-0.9545454545454546,-38.284250966007235,down,False,False
ergothioneine,ergothioneine,7,2,protein,lipid,moderate,-0.9727272727272729,-37.389685284463255,down,False,False
ergothioneine,ergothioneine,2,3,protein,protein/peptide,high,0.9727272727272729,31.306553820509656,up,False,False
ergothioneine,ergothioneine,22,4,protein,protein/peptide,moderate,-0.9181818181818183,-22.862532486339898,down,False,False
ergothioneine,ergothioneine,3,5,sterol,lipid,moderate,-0.9363636363636365,-21.086172069745736,down,False,False
ergothioneine,ergothioneine,16,6,triglyceride,lipid,high,-0.9,-20.536639841765442,down,False,False
ergothioneine,ergothioneine,5,7,amino_acid,protein/peptide,moderate,0.9363636363636365,19.276999315220603,up,True,False
ergothioneine,ergothioneine,20,8,saccharide,carbohydrate,high,-0.8909090909090911,-17.844173606068345,down,False,False
ergothioneine,ergothioneine,19,9,protein,cofactor/small-molecule,moderate,0.9454545454545454,16.349294770978087,up,False,True
ergothioneine,ergothioneine,0,10,protein,protein/peptide,moderate,0.9636363636363637,15.740746180173671,up,False,False
ergothioneine,ergothioneine,1,11,triglyceride,lipid,high,0.8909090909090911,15.695753612469776,up,False,False
ergothioneine,ergothioneine,11,12,amino_acid,protein/peptide,high,0.881818181818182,13.432917059477361,up,True,False
ergothioneine,ergothioneine,15,13,purine,protein/peptide,high,-0.8181818181818182,-8.130888880060217,down,False,False
ergothioneine,ergothioneine,6,14,protein,protein/peptide,moderate,0.790909090909091,2.7463878541209583,up,False,False
ergothioneine,ergothioneine,17,15,pyrimidine,nucleic,high,0.8009085749662975,2.6707592481612066,up,False,False
