perturbation,level,representation,class_top1,class_top3,vector_cosine,rank_stability,mean_confidence,ece
spectral_stretch,0.005,legacy_theme_bsv,0.496,0.8026666666666666,,,,
spectral_stretch,0.005,legacy_11_axis,0.6586666666666666,0.848,,,,
spectral_stretch,0.01,raw_spectrum,0.5893333333333334,0.7626666666666667,,,,
spectral_stretch,0.01,csm_49,0.8133333333333334,0.968,,,,
spectral_stretch,0.01,chemistry_evidence_16,0.824,0.9733333333333334,0.9682300036617805,0.936,0.7560125164240604,0.082413182022073
spectral_stretch,0.01,legacy_theme_bsv,0.5146666666666667,0.7973333333333333,,,,
spectral_stretch,0.01,legacy_11_axis,0.6533333333333333,0.8426666666666667,,,,
spectral_stretch,0.02,raw_spectrum,0.5546666666666666,0.752,,,,
spectral_stretch,0.02,csm_49,0.784,0.96,,,,
spectral_stretch,0.02,chemistry_evidence_16,0.7786666666666666,0.96,0.9508860939539214,0.8826666666666667,0.7276221031147161,0.072019096816234
spectral_stretch,0.02,legacy_theme_bsv,0.45866666666666667,0.784,,,,
spectral_stretch,0.02,legacy_11_axis,0.616,0.8293333333333334,,,,
band_broadening,1.0,raw_spectrum,0.592,0.7653333333333333,,,,
band_broadening,1.0,csm_49,0.8453333333333334,0.9706666666666667,,,,
band_broadening,1.0,chemistry_evidence_16,0.8533333333333334,0.9733333333333334,0.9732862702156353,0.9706666666666667,0.768947173464598,0.087416294956678
band_broadening,1.0,legacy_theme_bsv,0.488,0.7973333333333333,,,,
band_broadening,1.0,legacy_11_axis,0.664,0.8506666666666667,,,,
band_broadening,2.0,raw_spectrum,0.5893333333333334,0.7626666666666667,,,,
band_broadening,2.0,csm_49,0.8373333333333334,0.9706666666666667,,,,
band_broadening,2.0,chemistry_evidence_16,0.84,0.9733333333333334,0.973396469913836,0.96,0.7670171753501254,0.07630417941132184
band_broadening,2.0,legacy_theme_bsv,0.49866666666666665,0.8,,,,
band_broadening,2.0,legacy_11_axis,0.664,0.8426666666666667,,,,
band_broadening,4.0,raw_spectrum,0.5866666666666667,0.7626666666666667,,,,
band_broadening,4.0,csm_49,0.8266666666666667,0.9706666666666667,,,,
band_broadening,4.0,chemistry_evidence_16,0.8026666666666666,0.9706666666666667,0.9720029119397733,0.9226666666666666,0.7598412364375419,0.04711374522065051
band_broadening,4.0,legacy_theme_bsv,0.488,0.792,,,,
band_broadening,4.0,legacy_11_axis,0.6533333333333333,0.832,,,,
band_broadening,8.0,raw_spectrum,0.5306666666666666,0.7493333333333333,,,,
band_broadening,8.0,csm_49,0.7893333333333333,0.9573333333333334,,,,
band_broadening,8.0,chemistry_evidence_16,0.7626666666666667,0.9706666666666667,0.9567659905090135,0.8826666666666667,0.7285044385394537,0.05468228213668677
band_broadening,8.0,legacy_theme_bsv,0.456,0.784,,,,
band_broadening,8.0,legacy_11_axis,0.6213333333333333,0.8186666666666667,,,,
band_broadening,16.0,raw_spectrum,0.44533333333333336,0.704,,,,
band_broadening,16.0,csm_49,0.7146666666666667,0.9253333333333333,,,,
band_broadening,16.0,chemistry_evidence_16,0.6346666666666667,0.9306666666666666,0.899334828672394,0.7306666666666667,0.6645344438745826,0.05475772488487139
band_broadening,16.0,legacy_theme_bsv,0.37333333333333335,0.688,,,,
band_broadening,16.0,legacy_11_axis,0.5973333333333334,0.7733333333333333,,,,
intensity_scaling,0.1,raw_spectrum,0.592,0.7653333333333333,,,,
intensity_scaling,0.1,csm_49,0.8453333333333334,0.9706666666666667,,,,
intensity_scaling,0.1,chemistry_evidence_16,0.8506666666666667,0.976,0.9732122571108833,0.9733333333333334,0.7694556583153287,0.08513185419642914
intensity_scaling,0.1,legacy_theme_bsv,0.49066666666666664,0.7973333333333333,,,,
intensity_scaling,0.1,legacy_11_axis,0.664,0.8533333333333334,,,,
intensity_scaling,0.25,raw_spectrum,0.592,0.7653333333333333,,,,
intensity_scaling,0.25,csm_49,0.8453333333333334,0.9706666666666667,,,,
intensity_scaling,0.25,chemistry_evidence_16,0.8506666666666667,0.976,0.9732122571108833,0.9733333333333334,0.7694556583153287,0.0851318541964292
intensity_scaling,0.25,legacy_theme_bsv,0.49066666666666664,0.7973333333333333,,,,
intensity_scaling,0.25,legacy_11_axis,0.664,0.8533333333333334,,,,
intensity_scaling,0.5,raw_spectrum,0.592,0.7653333333333333,,,,
intensity_scaling,0.5,csm_49,0.8453333333333334,0.9706666666666667,,,,
intensity_scaling,0.5,chemistry_evidence_16,0.8506666666666667,0.976,0.9732122571108833,0.9733333333333334,0.7694556583153287,0.08513185419642919
