analyte,broad_family,subclass,subclass_exploratory,latent_identity_recovered,mss_identity_recovered,theme_identity_recovered,comp_top3_overlap,comp_mass_retained,component_recovered,expected_mss,mss_rank_S,mss_enrich_null,mss_motif_recovered,mss_status,subclass_loao_recovered,subclass_classifiable,family_loao_recovered,expected_theme,expected_theme_rank_S,theme_present_top3,theme_enrich_null,theme_recovered,mss_present_top3,nn_same_subclass,nn_same_family,nn_same_theme,nn_nearest_raman,perturbation_status,serum_tier,matrix_recovered,delta_purine,ood_sers,confidence_sers,highest_recovered_level,evidence_profile
histidine,amino_acid,aromatic_amino_acid,False,False,False,False,0.333,0.109,False,aromatic_ring_residue,6.0,-0.0085,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0129,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0664,0.1542,0.1969,none,no specific evidence
hydroxyproline,amino_acid,aliphatic_amino_acid,False,False,False,False,0.0,0.094,False,protein_amide_backbone,10.0,-0.0083,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0105,False,False,False,False,False,phosphatidylinositol,not tested,strong,True,0.1117,0.1242,0.2034,none,matrix recovered
hypoxanthine,purine,oxopurine,False,True,False,True,0.667,0.346,True,purine_ring_breathing,1.0,0.0431,True,expected motif recovered,False,True,False,nucleic_purine,1,True,0.0112,False,True,False,False,True,coenzyme a,not tested,strong,True,0.0039,0.1313,0.2463,exact analyte,exact analyte recovered; matrix recovered
isoleucine,amino_acid,aliphatic_amino_acid,False,False,False,False,0.0,0.094,False,protein_amide_backbone,10.0,-0.0115,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0143,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0804,0.1672,0.1963,none,no specific evidence
lactate,organic_acid,carboxylic_acid,False,False,False,False,0.333,0.158,False,carboxylate_organic_acid,1.0,-0.0139,False,motif present but nonspecific,False,True,False,organic_acid_metabolism,3,True,-0.0106,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,0.1214,0.1239,0.2115,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
leucine,amino_acid,aliphatic_amino_acid,False,False,False,False,0.0,0.058,False,protein_amide_backbone,11.0,-0.0102,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0108,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.0481,0.1281,0.2031,none,no specific evidence
mannose,saccharide,monosaccharide,False,False,False,False,0.333,0.208,False,glycan_co_network,9.0,-0.0083,False,motif not recovered,False,True,False,saccharide_glycan,2,True,-0.0172,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0806,0.1162,0.2056,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
methionine,amino_acid,sulfur_amino_acid,False,False,False,False,0.333,0.199,False,sulfur_heterocycle_thione,2.0,-0.0108,False,motif present but nonspecific,False,True,False,protein_peptide,4,False,-0.0085,False,True,False,False,False,phosphatidylinositol,not tested,weak,False,-0.1033,0.1276,0.1989,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
n-acetylglucosamine,saccharide,amino_sugar,True,False,False,False,0.333,0.136,False,glycan_co_network,5.0,-0.0049,False,motif not recovered,False,False,False,saccharide_glycan,2,True,-0.0139,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.1051,0.1453,0.1942,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
oleate,lipid,fatty_acid,False,False,False,False,0.0,0.087,False,carboxylate_organic_acid,2.0,-0.012,False,motif present but nonspecific,False,True,False,lipid_acyl,6,False,-0.0144,False,True,False,True,True,phosphatidylinositol,not tested,strong,True,0.1757,0.1173,0.2078,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated; matrix recovered
