analyte,family,expected_theme,n_raman,n_sers,L1_latent_fingerprint,L2_mss_motif,L3a_theme_raw,L3b_theme_identity,L3b_identity_null,L3b_identity_separation,L4_theme_rank_rho,L4_rank_null,L4_rank_separation,L5_top2_overlap,L5_top3_overlap,L6_argmax_agreement,raman_dominant,sers_dominant,expected_rank_sers,expected_retained_top3,purine_share_raman,purine_share_sers,delta_purine,ood_sers,confidence_sers
ascorbate,organic_acid,organic_acid_metabolism,4,5,0.3917,0.674,0.8605,-0.5823,-0.5302,-0.0521,0.7636,0.7847,-0.0211,0.5,0.667,False,lipid_acyl,nucleic_purine,3,True,0.1359,0.2157,0.0798,0.1427,0.2003
glycine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.2465,0.8973,0.8118,-0.2531,-0.3689,0.1158,0.7636,0.7462,0.0175,0.5,0.333,False,sulfur_antioxidant,nucleic_purine,4,False,0.0814,0.1931,0.1117,0.1254,0.2117
pyruvate,organic_acid,organic_acid_metabolism,4,5,0.6083,0.8026,0.9333,0.6639,0.6848,-0.0209,0.7545,0.7549,-0.0004,0.5,0.667,True,nucleic_purine,nucleic_purine,3,True,0.2195,0.2125,-0.007,0.1116,0.2097
arginine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.4943,0.7433,0.8175,-0.9317,-0.8089,-0.1228,0.7545,0.7631,-0.0085,0.5,0.667,False,saccharide_glycan,nucleic_purine,4,False,0.0708,0.2094,0.1386,0.2065,0.1856
glycerol,polyol,saccharide_glycan,4,5,0.47,0.5963,0.8044,-0.7601,-0.7348,-0.0253,0.7273,0.7375,-0.0102,0.5,0.333,False,saccharide_glycan,nucleic_purine,2,True,0.0727,0.2093,0.1365,0.096,0.2084
oleate,lipid,lipid_acyl|sterol_membrane,5,5,0.264,0.3648,0.5072,-0.4675,-0.4814,0.0139,0.7,0.6618,0.0382,0.5,0.333,False,lipid_acyl,nucleic_purine,6,False,0.0369,0.2126,0.1757,0.1173,0.2078
uracil,pyrimidine,nucleic_pyrimidine,4,5,0.0562,0.4858,0.45,0.1591,0.0649,0.0942,0.6455,0.668,-0.0225,0.5,0.333,False,nucleic_pyrimidine,nucleic_purine,8,False,0.0961,0.2049,0.1088,0.1659,0.2101
urea,small_nitrogenous,organic_acid_metabolism,3,5,0.6674,0.5222,0.8827,0.9025,-0.0978,1.0003,0.6455,0.6091,0.0364,0.0,0.333,False,sulfur_antioxidant,saccharide_glycan,3,True,0.0503,0.1459,0.0955,0.2901,0.1807
phenylalanine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.3007,0.5299,0.8306,-0.0917,-0.0599,-0.0318,0.6455,0.6236,0.0218,0.0,0.333,False,sulfur_antioxidant,nucleic_purine,4,False,0.075,0.2044,0.1295,0.1166,0.2036
triolein,lipid,lipid_acyl|sterol_membrane,5,5,0.3138,0.3694,0.5219,-0.3572,-0.4846,0.1274,0.6364,0.6102,0.0262,0.5,0.333,False,lipid_acyl,nucleic_purine,6,False,0.0386,0.2016,0.163,0.1456,0.2033
thymine,pyrimidine,nucleic_pyrimidine,4,5,0.2704,0.5425,0.7403,0.5558,0.424,0.1317,0.2182,0.2244,-0.0062,0.5,0.333,True,nucleic_purine,nucleic_purine,8,False,0.281,0.1959,-0.0852,0.1188,0.2123
