analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
mannose,0.49872766527602674,11,"[18, 19, 4]","[0.2252, 0.1753, 0.0983]",0.781449327619028,0.07242293560842472,"['(+)-mannose', '(+)-trehalose', 'cellulose']","[0.9276, 0.7379, 0.7323]",low
melanin,0.8880646818145768,4,"[8, 7, 22]","[0.6827, 0.1171, 0.0883]",0.49303763226674374,0.15064648797802505,"['myoglobin', 'horseradish peroxidase', 'hemoglobin']","[0.8494, 0.7857, 0.7761]",moderate
methionine,0.5647977025891708,8,"[22, 3, 19]","[0.2221, 0.2211, 0.1215]",0.8061340253581217,0.22904919280496594,"['coenzyme a', 'hypoxanthine', 'gluth']","[0.771, 0.7597, 0.6682]",moderate
myoglobin,0.5745743365636836,9,"[8, 13, 0]","[0.3563, 0.119, 0.0993]",0.774196148566254,0.017319836838835978,"['hemoglobin', 'cytochrome c', 'horseradish peroxidase']","[0.9827, 0.9026, 0.8696]",low
myristic acid,0.8993332469996442,4,"[16, 1, 22]","[0.5626, 0.1686, 0.1681]",0.5676169606511948,0.01896677690725246,"['palmitic acid', 'arachidic acid', 'lauric acid']","[0.981, 0.9566, 0.9044]",low
n-acetyl- d-glucosamine,0.6571470509015591,10,"[21, 18, 17]","[0.3382, 0.2337, 0.0853]",0.7492985992054872,0.020831473447344706,"['n-acetylglucosamine', 'fructose-6-phosphate', 'arginine']","[0.9792, 0.7781, 0.7675]",low
n-acetylglucosamine,0.5256796981356555,13,"[21, 18, 17]","[0.2424, 0.2162, 0.0671]",0.8371803675236563,0.020831473447344706,"['n-acetyl- d-glucosamine', 'cellulose', 'fructose-6-phosphate']","[0.9792, 0.7234, 0.704]",low
oleate,0.6909051808202671,7,"[1, 7, 4]","[0.4611, 0.1572, 0.0726]",0.6882617335764775,0.002434309181902572,"['triolein', 'vaccenic acid', 'α-phosphatidylethanolamine']","[0.9976, 0.9958, 0.9912]",low
palmitic acid,0.9087614872624415,3,"[16, 1, 22]","[0.5122, 0.2671, 0.1295]",0.5346839587140164,0.0069770756674850665,"['arachidic acid', 'myristic acid', 'lauric acid']","[0.993, 0.981, 0.9619]",low
palmitoleic acid,0.7881132909377936,6,"[1, 7, 10]","[0.4934, 0.2466, 0.0481]",0.6557908424096363,0.015073881040537196,"['tripalmitolein', 'oleate', 'vaccenic acid']","[0.9849, 0.9839, 0.9819]",low
papain,0.5516795770678506,10,"[2, 22, 14]","[0.2554, 0.166, 0.1303]",0.8224112643181789,0.09592899276117572,"['triosephosphate isomerase', 'lactalbumin', 'glutathione transferase']","[0.9041, 0.8888, 0.8804]",low
pepsin,0.507436364665814,13,"[2, 22, 1]","[0.2992, 0.1098, 0.0985]",0.8002146397841778,0.03747908440376768,"['elastase', 'trypsin', 'lactalbumin']","[0.9625, 0.9475, 0.9461]",low
pepsinogen,0.5886828285299976,11,"[2, 6, 22]","[0.3572, 0.1418, 0.0896]",0.7680002885899876,0.015664369843156445,"['lectin', 'thaumatin', 'carbonic anhydrase']","[0.9843, 0.9814, 0.9733]",low
phenylalanine,0.7325328617449418,6,"[6, 20, 5]","[0.4806, 0.1382, 0.1137]",0.6269662717608608,0.11099728527075847,"['urea', 'ure', 'β-carotene']","[0.889, 0.8844, 0.5845]",low
