component,analyte,loading,normalized_loading,contribution_pct,molecular_class,chemical_family,subfamily,molecular_weight,biochemical_role
1,arachidic acid,0.33199756392288404,0.5252327408250419,1.409684429620597,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,trilinolenin,0.27574967946090134,0.43624645377975585,1.1708520538999934,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,palmitic acid,0.2670857054585928,0.4225397182305563,1.1340642259853013,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,cholesterol,0.266427721695916,0.42149876295665145,1.1312703817949141,lipid,lipid,unavailable,unavailable,unavailable
1,α-linolenic acid,0.24540932845108884,0.38824686748707093,1.0420248423313843,lipid,fatty_acid,unsaturated fatty acid,unavailable,unavailable
1,keratin,0.23399358511501572,0.3701867284604074,0.99355281306931,protein/peptide,protein,unavailable,unavailable,unavailable
1,alb,0.18871767517918686,0.2985585213496263,0.8013081938037677,protein/peptide,protein,unavailable,unavailable,unavailable
1,myristic acid,0.16859213643403512,0.26671915556996667,0.7158537757907596,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,arachidonic acid,0.16408660501439581,0.25959123394172195,0.6967229803283351,lipid,fatty_acid,unsaturated fatty acid,unavailable,unavailable
1,ethinylestradiol,0.14624858844249414,0.23137081501985696,0.6209815383743669,lipid,sterol,unavailable,unavailable,unavailable
1,elastin,0.14579221900275152,0.23064882125329883,0.6190437624287902,protein/peptide,protein,unavailable,unavailable,unavailable
1,(+)-fucose,0.14227873640014435,0.22509035848808073,0.6041252742925681,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,albumin,0.1254723422755248,0.19850200541356786,0.5327641720133769,protein/peptide,protein,unavailable,unavailable,unavailable
1,glucose oxidase,0.12231752609158403,0.19351096652909186,0.5193686060933529,protein/peptide,protein,unavailable,unavailable,unavailable
1,arginine,0.12231012612235101,0.1934992594970391,0.5193371853163924,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,estrone,0.11835853359239365,0.18724769020656276,0.5025584523767137,lipid,sterol,unavailable,unavailable,unavailable
1,lactalbumin,0.11689974645221686,0.18493983361008076,0.49636434211476116,protein/peptide,protein,unavailable,unavailable,unavailable
1,isoleucine,0.11502858080062629,0.18197957856450195,0.48841924440645157,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,glutathione transferase,0.11376458304310272,0.17997988616093052,0.4830522232247232,protein/peptide,protein,unavailable,unavailable,unavailable
1,carbonic anhydrase,0.11185254511732456,0.1769549696270515,0.4749335790366001,protein/peptide,protein,unavailable,unavailable,unavailable
1,ferritin,0.10763381497057867,0.1702807784926513,0.4570205614518685,protein/peptide,protein,unavailable,unavailable,unavailable
1,acetoacetate,0.10598585714008102,0.16767364668767992,0.45002321946274626,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,hypoxanthine,0.10591413653275868,0.16756018196609448,0.449718688844417,nucleic,purine,purine base/derivative,unavailable,unavailable
1,ubiquitin,0.1056285730134675,0.16710840964540424,0.4485061665534223,protein/peptide,protein,unavailable,unavailable,unavailable
1,estriol,0.10251362869720393,0.1621804495681775,0.43527989931854616,lipid,sterol,unavailable,unavailable,unavailable
1,estradiol,0.10238731311647815,0.16198061352754645,0.4347435546982315,lipid,sterol,unavailable,unavailable,unavailable
