method,K,n_scored,chemically_admissible,top1,top3,null_top1,null_p95,kappa,above_null_p95,macro_f1,balanced_acc,mean_expected_rank,median_expected_rank,ece,mean_confidence,chem_coherence,spec_coherence,resolution,interpretability,score_kappa_x_interp,theme_overlap,theme_usage_entropy,max_theme_size,min_theme_size,theme_names,pareto
C_spectral,3,163,False,0.865,1.0,0.7379,0.7669,0.4851,True,0.5313,0.4958,1.184,1,0.2316,0.6686,0.1256,0.602,0.3878,0.3472,0.1684,0.7137,0.3695,9,3,Flavin + Oxopurine + Porphyrin… | Free + Organic + Fatty… | Aromatic + Carotenoid + Sulfur,False
C_spectral,4,163,False,0.865,1.0,0.432,0.4847,0.7624,True,0.6323,0.6374,1.184,1,0.3243,0.5408,0.183,0.6947,0.4893,0.4284,0.3266,0.5774,0.7254,7,2,Flavin + Oxopurine + Porphyrin… | Free + Organic + Monosaccharide… | Aromatic + Carotenoid + Sulfur | Acyl lipid,False
C_spectral,5,163,False,0.8528,1.0,0.3919,0.4479,0.7579,True,0.6299,0.6127,1.196,1,0.3394,0.5133,0.3466,0.7645,0.5681,0.5384,0.4081,0.5398,0.6945,6,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Free + Organic + Monosaccharide… | Aromatic + Carotenoid + Sulfur | Acyl lipid,False
C_spectral,6,163,False,0.6871,0.9816,0.2602,0.3129,0.577,True,0.5779,0.5621,1.442,1,0.2369,0.4502,0.3072,0.7584,0.6324,0.5401,0.3117,0.5514,0.7974,5,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Monosaccharide + Phosphate + Polysaccharide… | Aromatic + Carotenoid + Sulfur | Free + Organic | Acyl lipid,False
C_spectral,7,163,False,0.681,0.9571,0.2616,0.3129,0.568,True,0.5237,0.5073,1.509,1,0.2339,0.4471,0.2761,0.8136,0.6868,0.5606,0.3184,0.5255,0.7336,5,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Monosaccharide + Phosphate + Polysaccharide… | Aromatic + Carotenoid | Free + Organic | Acyl lipid | Sulfur metabolite,False
C_spectral,8,163,False,0.6074,0.9264,0.1916,0.2393,0.5143,True,0.5432,0.5346,1.656,1,0.2007,0.4067,0.3004,0.8313,0.734,0.5897,0.3033,0.5284,0.7779,5,1,Flavin + Oxopurine + Porphyrin… | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Sulfur metabolite,False
C_spectral,9,163,False,0.6871,0.9264,0.1761,0.227,0.6202,True,0.5819,0.5882,1.601,1,0.3185,0.3686,0.2896,0.8246,0.7755,0.5959,0.3696,0.5404,0.8655,3,1,Purine + Sterol | Flavin + Oxopurine + Porphyrin | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Sulfur metabolite,False
C_spectral,10,163,False,0.638,0.9141,0.1715,0.2147,0.5631,True,0.4763,0.5056,1.73,1,0.2774,0.3606,0.4165,0.8778,0.8127,0.6737,0.3794,0.543,0.8236,3,1,Purine + Sterol | Flavin + Oxopurine + Porphyrin | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free amino acid | Acyl lipid | Organic acid | Sulfur metabolite,False
C_spectral,11,163,False,0.6871,0.9141,0.1779,0.2209,0.6194,True,0.5139,0.5333,1.675,1,0.3331,0.3541,0.4092,0.9014,0.8464,0.688,0.4262,0.532,0.809,2,1,Purine + Sterol | Oxopurine | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free amino acid | Acyl lipid | Organic acid | Sulfur metabolite | Flavin + Porphyrin,True
C_spectral,12,163,False,0.6564,0.8957,0.1747,0.2209,0.5837,True,0.4112,0.4564,1.767,1,0.3084,0.348,0.3908,0.9337,0.8771,0.6996,0.4084,0.5279,0.7795,2,1,Purine | Oxopurine | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free amino acid | Acyl lipid | Sterol | Organic acid | Sulfur metabolite | Flavin + Porphyrin,False
C_spectral,13,163,False,0.6687,0.9018,0.1823,0.227,0.5948,True,0.4093,0.4182,1.724,1,0.3259,0.3428,0.5041,0.9573,0.9053,0.7604,0.4523,0.5235,0.7449,2,1,Purine | Oxopurine | Pyrimidine | Monosaccharide + Phosphate | Aromatic residue | Polysaccharide + Protein | Free amino acid | Acyl lipid | Sterol | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,True
C_spectral,14,163,True,0.6196,0.8834,0.1664,0.2086,0.5437,True,0.4657,0.5076,1.847,1,0.2929,0.3268,0.5879,0.9753,0.9315,0.8072,0.4389,0.5238,0.7186,2,1,Purine | Oxopurine | Pyrimidine | Monosaccharide + Phosphate | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,True
C_spectral,15,163,True,0.546,0.865,0.1457,0.184,0.4686,True,0.3886,0.458,2.018,1,0.2335,0.3125,0.5684,0.9876,0.9558,0.8104,0.3797,0.5212,0.7297,2,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,False
C_spectral,16,163,True,0.5521,0.9018,0.1469,0.184,0.475,True,0.4275,0.4971,1.877,1,0.2475,0.3046,0.606,0.9961,0.9786,0.8348,0.3966,0.5197,0.7188,2,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
C_spectral,17,163,True,0.5706,0.9141,0.0971,0.135,0.5244,True,0.438,0.523,1.816,1,0.3469,0.2236,0.6054,1.0,1.0,0.8422,0.4416,0.5042,0.8694,1,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
