analyte,outer_fold,rank_baseline,matched_cos_baseline,mismatched_cos_baseline,rank_BASE_raw_l2,matched_cos_BASE_raw_l2,rank_BASE_asls_sg_snv,matched_cos_BASE_asls_sg_snv,rank_BASE_asls_sg_l2_bgmean,matched_cos_BASE_asls_sg_l2_bgmean,rank_B_0_savgol6,matched_cos_B_0_savgol6,rank_D_scaled_mean2,matched_cos_D_scaled_mean2,family,raman_multi_source,rank_delta_best
riboflavin,2,6,0.472565969874131,0.463934765010026,5,0.9929531690780614,7,0.0440257132555428,6,-0.3381683276338726,4,0.1285620739864091,8,-0.0432537876182503,cofactor,False,2
stearate,2,1,0.4878432254426121,0.4225510655541248,3,0.6823676337748916,1,0.1980475996559645,2,0.0327004056418588,3,0.2325261072568755,1,-0.0108939735280304,lipid,True,-2
urate,2,10,0.4103345216130909,0.4923488212203002,1,0.8915040992677397,2,0.1004958144712479,1,0.3686465982374663,1,0.1485162699899052,4,0.1359049670311298,purine,False,9
urea,2,1,0.5030138468216134,0.2134237200688631,1,0.4436377463541739,1,0.536235049359819,1,0.5122841156904823,1,0.6866477009765405,1,0.5353577715568275,small_nitrogenous,False,0
valine,2,3,0.5773265386261796,0.5215161356879939,1,0.761309564564218,4,0.1489311210630375,10,-0.5115358786566855,3,0.3153520057517892,4,0.0286621567269192,amino_acid,True,0
acetoacetate,3,5,0.5627224584594596,0.5328098970375864,8,0.8911856230834656,3,0.0167531351652016,5,-0.4296087770781077,3,0.1107274376321691,4,0.0014595260780231,organic_acid,True,2
adenine,3,5,0.4906887717711995,0.4604195735820611,6,0.9667364671049936,4,0.1540940593783889,2,0.0977157142478682,2,0.2262554531170168,5,0.0677540164714826,purine,True,3
creatinine,3,1,0.5474972514714289,0.4043536964550143,1,0.7583762307077639,1,0.4858124751298572,3,0.0104171178859376,1,0.5996225673638169,1,0.4431879668721037,small_nitrogenous,False,0
leucine,3,5,0.6273125063204102,0.599052944538922,5,0.8806757808725918,6,0.1260125929909598,6,-0.4843146168062295,5,0.2366435116640779,5,0.0463693077514036,amino_acid,False,0
oleate,3,5,0.5792602610332255,0.5454930318664615,2,0.8827189837605159,6,0.1700642261715619,8,-0.5014259045044228,3,0.321213860048036,6,0.0241736290873784,lipid,True,2
phenylalanine,3,6,0.378951539749409,0.3593058575158996,8,0.5612468057104968,8,-0.0561139050777182,10,-0.4315062941766993,6,-0.037156868280168,9,-0.0899742578790248,amino_acid,True,0
pyruvate,3,5,0.592524728882191,0.5549172558773647,3,0.91839634476111,6,-0.0158128239870534,7,-0.3963991203760815,8,-0.0867853927234938,6,0.1087587969629984,organic_acid,True,-3
triolein,3,1,0.6224260375813325,0.557236415172201,2,0.8932187450665273,1,0.3445447665078868,6,-0.46194127963309,1,0.4790851218226198,1,0.1104303390345717,lipid,True,0
tryptophan,3,1,0.5672649899579097,0.4986668191211478,1,0.9697102196641748,1,0.1875327715709278,2,0.0364992247651731,1,0.1672547343187932,1,0.1211272616062152,amino_acid,True,0
xanthine,3,1,0.5454312363000963,0.4062701528915262,1,0.9171941011703736,1,0.4260194586050523,1,0.518267205282273,1,0.517208875653516,1,0.3446973485999318,purine,False,0
arginine,4,1,0.5344232148685062,0.510723085011369,6,0.7435381043984511,1,0.1343583047438633,5,-0.3977738104191496,1,0.2650895711575965,1,0.1724026618922995,amino_acid,True,0
ascorbate,4,5,0.4680702083588161,0.460915438098161,1,0.8707012722272666,5,-0.0153158734483592,3,-0.3286370276250961,3,-0.0147700558634655,4,0.0959954157386613,organic_acid,True,2
citrate,4,8,0.5154943847679158,0.5156607854117606,6,0.8849283358128058,7,-0.0140189949589572,8,-0.3987167109490258,5,0.0844368904452498,8,0.114405179700718,organic_acid,True,3
fructose,4,4,0.4829840720593216,0.4690106827843611,4,0.7207336180143227,4,0.0571438953799843,6,-0.3738972911856609,3,0.1226281593683845,2,0.1135557434845293,saccharide,False,1
galactose,4,1,0.6526250746985076,0.607217239849309,7,0.9641841544186668,1,0.2627916376161041,2,-0.4081232842176379,1,0.3839252487233076,1,0.191727695108374,saccharide,False,0
glucose,4,3,0.5698880091485929,0.5482653788043136,3,0.8392595244657488,3,0.1120850367254028,3,-0.402690200471264,4,0.2228365764824026,4,0.1006993638104932,saccharide,False,-1
glycine,4,4,0.3604431388668386,0.3544261910461597,9,0.5601100455686758,4,0.0793180577874413,5,-0.3165111516072669,4,0.1432323495805042,4,0.0327639484876656,amino_acid,True,0
histidine,4,5,0.5449260868125204,0.5418083203430413,8,0.9657309835756324,6,0.0670193907540191,10,-0.4767731474865735,8,0.0389679985048087,6,0.0337028628669187,amino_acid,True,-3
hypoxanthine,4,1,0.8267555830915093,0.7957861459720885,2,0.9695418099698514,1,0.4858712144284171,1,-0.0774340797020844,1,0.548363229464184,1,0.2284647861782932,purine,False,0
isoleucine,4,3,0.7037008683087973,0.68508677242945,1,0.8773593884386194,5,0.2198347067662418,8,-0.5901804561242094,4,0.3474578051830054,3,0.1101886338774742,amino_acid,False,-1
