cid,arm,pk_matched,pk_mismatched,pk_random,pk_effect_vs_mismatched,pk_effect_size
A_asls3_area,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
A_asls3_robust,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
A_asls3_p95,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
A_asls3_max,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
A_asls3_snv,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
A_airpls4_l2,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_airpls4_area,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_airpls4_robust,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_airpls4_p95,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_airpls4_max,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_airpls4_snv,A_baseline_norm,0.8767174142406164,0.8713456918206111,0.7265933324890306,0.0053717224200054,0.1041386067600788
A_arpls5_l2,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_arpls5_area,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_arpls5_robust,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_arpls5_p95,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_arpls5_max,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_arpls5_snv,A_baseline_norm,0.877640632360728,0.8706175814690875,0.7294247088369601,0.0070230508916404,0.0773405601466402
A_rubberband6_l2,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
A_rubberband6_area,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
A_rubberband6_robust,A_baseline_norm,0.810091708553357,0.806460450533573,0.6567339079464632,0.0036312580197842,0.0258303995091038
