lsm_a,lsm_b,activation_independent,activation_joint_nnls
chromophore_pigment.m01,sterol_steroid.m02,0.6342245989304813,0.006484821519461457
fatty_acid.m02,free_amino_acid.m06,0.7242448885712643,0.0
fatty_acid.m04,peptide_protein.m08,0.7031962345055325,0.0
acylglycerol.m01,free_amino_acid.m06,0.5222980687876324,0.08122049273539149
fatty_acid.m04,free_amino_acid.m03,0.3935188151506937,0.009701228017549544
phosphate_metabolite.m00,polysaccharide.m01,0.6313068335838734,0.13052270867912624
carboxylic_acid_metabolite.m00,polysaccharide.m00,0.08511627524910258,0.04105952683882584
sterol_steroid.m00,sulfur_thiol_cofactor.m00,0.28572250014375256,0.013122354206145258
free_amino_acid.m00,nucleic_acid_polymer.m00,0.5397422312033319,0.0
free_amino_acid.m06,peptide_protein.m07,0.5167319713809277,0.04299841066700735
carboxylic_acid_metabolite.m01,polysaccharide.m01,0.6663463039174615,0.18901288559065127
carboxylic_acid_metabolite.m01,nucleic_acid_polymer.m00,0.6018728899184308,0.19133638119692023
chromophore_pigment.m01,phospholipid_sphingolipid.m01,0.6120916401751316,0.2844660452750038
free_amino_acid.m03,sterol_steroid.m00,0.4143900375399427,0.0
peptide_protein.m04,sterol_steroid.m00,0.8695450027518341,0.2125602995501569
peptide_protein.m03,polysaccharide.m01,0.794655692188899,0.24036365068713336
free_amino_acid.m01,mono_oligosaccharide.m02,0.6862317947706943,0.22782820724101546
fatty_acid.m01,purine.m00,0.37894970304837483,0.09689778308826971
carboxylic_acid_metabolite.m01,phosphate_metabolite.m00,0.605727100224254,0.11412077944870758
free_amino_acid.m02,peptide_protein.m07,0.26410212178713127,0.1709472954419646
fatty_acid.m02,peptide_protein.m06,0.6154891282026008,0.0
acylglycerol.m02,peptide_protein.m08,0.7103822174030903,0.0
phospholipid_sphingolipid.m00,sterol_steroid.m02,0.1395352275807684,0.0
mono_oligosaccharide.m00,phosphate_metabolite.m00,0.772539162292483,0.05112378034303647
free_amino_acid.m05,peptide_protein.m07,0.502008428004633,0.3238157239164015
sterol_steroid.m02,sulfur_thiol_cofactor.m01,0.8044604352004733,0.16882507294113255
phospholipid_sphingolipid.m00,sulfur_thiol_cofactor.m00,0.17849462365591398,0.0
free_amino_acid.m01,mono_oligosaccharide.m00,0.6597386168543665,0.18973248612034005
acylglycerol.m00,sterol_steroid.m02,0.1797267880759342,0.0
carboxylic_acid_metabolite.m01,free_amino_acid.m01,0.6320264176051653,0.12088713427219325
mono_oligosaccharide.m04,peptide_protein.m04,0.5753698546867428,0.0867839307410991
fatty_acid.m00,fatty_acid.m03,0.8898083573605395,0.07481060271390506
carboxylic_acid_metabolite.m01,sterol_steroid.m02,0.6023854703171592,0.0
polysaccharide.m00,purine.m01,0.674629734591784,0.22052658021646265
free_amino_acid.m04,peptide_protein.m07,0.4592769659183322,0.12219900404941043
purine.m00,sulfur_thiol_cofactor.m01,0.7493416134782359,0.28152231219774826
fatty_acid.m04,peptide_protein.m00,0.7494270435446907,0.0
carboxylic_acid_metabolite.m01,fatty_acid.m01,0.44041335009076943,0.04917631602953198
mono_oligosaccharide.m05,polysaccharide.m00,0.8434855467113532,0.1986424035015141
carboxylic_acid_metabolite.m00,peptide_protein.m07,0.6284580694447868,0.08720516333282373
chromophore_pigment.m01,free_amino_acid.m02,0.5707139160649597,0.23758789325362767
mono_oligosaccharide.m02,polysaccharide.m01,0.7586272045475083,0.13780952531204974
small_nitrogenous.m00,sulfur_thiol_cofactor.m01,0.6590748909534488,0.2548072126340885
fatty_acid.m02,mono_oligosaccharide.m00,0.0949505902067572,0.0
fatty_acid.m01,sterol_steroid.m02,0.3189712248535778,0.0
fatty_acid.m00,peptide_protein.m03,0.05219284194616264,0.07029541284837237
chromophore_pigment.m01,phosphate_metabolite.m00,0.5334006916549612,0.19765097021807673
mono_oligosaccharide.m03,peptide_protein.m01,0.7415050477669074,0.17995814843907895
chromophore_pigment.m01,peptide_protein.m09,0.8999482490943593,0.3502676948137813
peptide_protein.m00,peptide_protein.m06,0.9137747767728794,0.6838056327418164
peptide_protein.m08,sulfur_thiol_cofactor.m00,0.45425630662822314,0.1487310035704287
phospholipid_sphingolipid.m00,purine.m00,0.2424554572562163,0.034395569989310176
fatty_acid.m02,peptide_protein.m04,0.8568257801654388,0.08124164173146933
mono_oligosaccharide.m03,peptide_protein.m09,0.6515176158439916,0.06837579674064656
carboxylic_acid_metabolite.m00,small_nitrogenous.m00,0.42939287151810873,0.1843084948325198
mono_oligosaccharide.m02,purine.m00,0.5182729983488997,0.0
phospholipid_sphingolipid.m01,polysaccharide.m01,0.6808628436711929,0.2195739596814081
polysaccharide.m01,sterol_steroid.m02,0.43139390653622156,0.0
peptide_protein.m08,sterol_steroid.m02,0.4518806936264243,0.0
mono_oligosaccharide.m05,sulfur_thiol_cofactor.m00,0.5967733721054405,0.10513011359745965
free_amino_acid.m03,phospholipid_sphingolipid.m01,0.6465265284999631,0.2337141089010451
free_amino_acid.m01,phosphate_metabolite.m00,0.710891512030032,0.21163254079565036
mono_oligosaccharide.m05,sterol_steroid.m02,0.4376401587027774,0.0
mono_oligosaccharide.m01,peptide_protein.m04,0.3063571469643576,0.12708388849322474
free_amino_acid.m04,peptide_protein.m05,0.19343831374191905,0.1285652437816993
peptide_protein.m04,pyrimidine.m00,0.19848197343453514,0.06740507842090525
carboxylic_acid_metabolite.m00,purine.m01,0.38226504678117584,0.027367980565032816
chromophore_pigment.m01,polysaccharide.m00,0.5568019583199849,0.21699820160992106
small_nitrogenous.m00,sterol_steroid.m01,0.5651281040275349,0.04836951801056696
mono_oligosaccharide.m01,phospholipid_sphingolipid.m01,0.739287151810871,0.21059203183594286
free_amino_acid.m04,peptide_protein.m09,0.7509023550769283,0.27675342782107565
carboxylic_acid_metabolite.m00,peptide_protein.m03,0.11040357491970396,0.23157765298266067
mono_oligosaccharide.m01,nucleic_acid_polymer.m00,0.4193318383071704,0.11368229080113254
mono_oligosaccharide.m00,purine.m01,0.5545183469282141,0.03383816499284239
fatty_acid.m01,sterol_steroid.m01,0.500020536073667,0.20450427431138676
carboxylic_acid_metabolite.m00,purine.m00,0.4879781824753362,0.06172080998030533
free_amino_acid.m03,purine.m00,0.6043799337916985,0.0
fatty_acid.m03,sterol_steroid.m02,0.17202493900786123,0.12064952865804604
mono_oligosaccharide.m00,pyrimidine.m00,0.4370881490426083,0.12911263669008996
free_amino_acid.m02,sterol_steroid.m02,0.5999802853692797,0.26505437150849265
acylglycerol.m01,sterol_steroid.m02,0.20872700986552983,0.0
mono_oligosaccharide.m04,sterol_steroid.m00,0.5118460287340744,0.0
acylglycerol.m01,purine.m00,0.29677255066249375,0.0
mono_oligosaccharide.m02,purine.m01,0.3947279791682069,0.12742171743521516
peptide_protein.m06,sterol_steroid.m02,0.49087951896301046,0.06956324892577102
polysaccharide.m01,purine.m00,0.5529313191552281,0.05125972084244919
nucleic_acid_polymer.m00,peptide_protein.m08,0.24426591751069932,0.017865128369385544
acylglycerol.m01,fatty_acid.m00,0.6240781356530882,0.02711173933986314
acylglycerol.m01,carboxylic_acid_metabolite.m01,0.3414951904515472,0.0
nucleic_acid_polymer.m00,peptide_protein.m07,0.33476592983234355,0.0
free_amino_acid.m03,sterol_steroid.m02,0.4879190385831752,0.0
mono_oligosaccharide.m04,sterol_steroid.m02,0.4394867624469143,0.0
peptide_protein.m00,peptide_protein.m05,0.9404421005939033,0.5638586605319618
purine.m01,sulfur_thiol_cofactor.m00,0.7390702908729475,0.18971915006906911
free_amino_acid.m00,peptide_protein.m07,0.41941726837362514,0.2725902663709513
fatty_acid.m01,phospholipid_sphingolipid.m01,0.1140704962336841,0.10403746507315666
free_amino_acid.m02,purine.m00,0.612075211316198,0.23022825409855296
acylglycerol.m00,mono_oligosaccharide.m02,0.17653958944281528,0.0
fatty_acid.m04,mono_oligosaccharide.m00,0.04426098885301922,0.0
fatty_acid.m04,mono_oligosaccharide.m04,0.5358157339182007,0.0
free_amino_acid.m00,purine.m01,0.8043060039264974,0.38571464958182894
free_amino_acid.m00,mono_oligosaccharide.m05,0.5628707788100578,0.12900466438210054
fatty_acid.m01,peptide_protein.m07,0.686517656916139,0.12421986454227345
free_amino_acid.m01,peptide_protein.m03,0.7784174080189262,0.11036610153007982
mono_oligosaccharide.m03,purine.m01,0.6382365262820671,0.1589578580125665
free_amino_acid.m00,phosphate_metabolite.m00,0.7316937332117599,0.20948608251591136
free_amino_acid.m02,mono_oligosaccharide.m00,0.49751020642861254,0.05596040229984553
free_amino_acid.m03,mono_oligosaccharide.m03,0.5795920714326787,0.2522088219976653
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m01,0.6115494878303228,0.15056202887251463
phosphate_metabolite.m00,sterol_steroid.m01,0.3856921067547254,0.036648738593000774
sterol_steroid.m01,sulfur_thiol_cofactor.m01,0.6460205196448081,0.0846043688781112
peptide_protein.m05,sulfur_thiol_cofactor.m00,0.43767958796421796,0.12776460316607954
chromophore_pigment.m01,free_amino_acid.m00,0.6905821566163123,0.26556566792349356
free_amino_acid.m03,mono_oligosaccharide.m05,0.5847211611917495,0.40648357080714925
fatty_acid.m02,peptide_protein.m08,0.6871123816095354,0.13028099918025265
nucleic_acid_polymer.m00,phospholipid_sphingolipid.m01,0.6594428973935615,0.19353408061009666
carboxylic_acid_metabolite.m01,free_amino_acid.m06,0.41419289123273945,0.06648752871395461
free_amino_acid.m03,peptide_protein.m07,0.3871345605690957,0.06246474506834769
fatty_acid.m00,polysaccharide.m01,0.2422287390029326,0.10843388715432774
peptide_protein.m07,polysaccharide.m00,0.24170958706063073,0.18045542712226093
carboxylic_acid_metabolite.m01,peptide_protein.m05,0.42867328749681693,0.13228134093053484
mono_oligosaccharide.m02,sulfur_thiol_cofactor.m00,0.5657786868413055,0.0
carboxylic_acid_metabolite.m00,fatty_acid.m00,0.4028241208506863,0.11228751350528843
fatty_acid.m02,sulfur_thiol_cofactor.m01,0.24150258343806733,0.0
fatty_acid.m03,peptide_protein.m05,0.8336413744383384,0.2974899474287739
mono_oligosaccharide.m01,purine.m01,0.4548214593755391,0.09606678371737386
chromophore_pigment.m01,sterol_steroid.m01,0.6553783976933882,0.1620021903702856
carboxylic_acid_metabolite.m01,peptide_protein.m08,0.4077199208129,0.0948599663656778
free_amino_acid.m02,polysaccharide.m00,0.5645596655084322,0.2634059062572076
peptide_protein.m05,sulfur_thiol_cofactor.m01,0.5706021998242112,0.33980539846726093
fatty_acid.m02,mono_oligosaccharide.m04,0.5492841124719683,0.005567211623477854
mono_oligosaccharide.m01,polysaccharide.m01,0.550769281319566,0.15257893551824778
sterol_steroid.m01,sterol_steroid.m02,0.6302061000353222,0.039764683382006616
free_amino_acid.m01,peptide_protein.m04,0.35059020675718966,0.2551442882913186
carboxylic_acid_metabolite.m01,sterol_steroid.m01,0.5471582181259601,0.0
fatty_acid.m03,peptide_protein.m00,0.8228870433804022,0.37592346580930314
carboxylic_acid_metabolite.m01,fatty_acid.m00,0.1646779532927541,0.0
peptide_protein.m09,sterol_steroid.m01,0.6136918110352646,0.06620020172246514
peptide_protein.m08,purine.m01,0.34449181432103637,0.251170082347193
chromophore_pigment.m01,peptide_protein.m01,0.765119889598068,0.24419593373830567
mono_oligosaccharide.m05,sulfur_thiol_cofactor.m01,0.2843621906240502,0.0013715980879144408
peptide_protein.m08,purine.m00,0.4931959880726485,0.07346420780030392
free_amino_acid.m04,sterol_steroid.m01,0.569146602922694,0.2968275834942928
carboxylic_acid_metabolite.m01,fatty_acid.m03,0.15831998488544982,0.0
carboxylic_acid_metabolite.m00,nucleic_acid_polymer.m00,0.17202165323607452,0.020945057557235334
mono_oligosaccharide.m00,peptide_protein.m07,0.2524507750314202,0.047305331427859934
acylglycerol.m01,sterol_steroid.m01,0.3749049179789218,0.05293936432789436
purine.m01,sulfur_thiol_cofactor.m01,0.6339453083286101,0.23659781266922456
chromophore_pigment.m01,peptide_protein.m08,0.3167040423207407,0.2053302070475558
acylglycerol.m01,small_nitrogenous.m00,0.29267519324445324,0.0
peptide_protein.m05,phospholipid_sphingolipid.m01,0.19226857898584654,0.0
fatty_acid.m04,sterol_steroid.m01,0.11972530947863018,0.0
free_amino_acid.m01,mono_oligosaccharide.m01,0.8411033621659808,0.3644299322773068
nucleic_acid_polymer.m00,sterol_steroid.m01,0.5163113925922275,0.0
peptide_protein.m06,sterol_steroid.m01,0.5124506107428309,0.19458752883501057
carboxylic_acid_metabolite.m00,free_amino_acid.m06,0.5184898592868233,0.0
peptide_protein.m08,phospholipid_sphingolipid.m00,0.7845388008575866,0.0
fatty_acid.m01,small_nitrogenous.m00,0.4073749147752943,0.03031347088305653
fatty_acid.m00,mono_oligosaccharide.m02,0.29778785414459047,0.052602202444317424
free_amino_acid.m06,mono_oligosaccharide.m02,0.4619778703270165,0.07053081234587952
free_amino_acid.m00,sterol_steroid.m01,0.368859097891356,0.19016816134787404
free_amino_acid.m02,mono_oligosaccharide.m02,0.3973270246515029,0.0
polysaccharide.m01,sulfur_thiol_cofactor.m01,0.3143678585803823,0.1259298494466446
peptide_protein.m05,purine.m00,0.5067925117260982,0.05127717909092692
fatty_acid.m00,peptide_protein.m07,0.36605304878549666,0.0
phospholipid_sphingolipid.m01,sulfur_thiol_cofactor.m01,0.6349343256364129,0.2539664510307213
free_amino_acid.m03,peptide_protein.m05,0.39344981394317263,0.11571212728240156
fatty_acid.m04,peptide_protein.m04,0.8293600138002415,0.04126110907222852
acylglycerol.m00,sterol_steroid.m01,0.11529608911013087,0.0
carboxylic_acid_metabolite.m01,peptide_protein.m06,0.47939574656842215,0.2414153123778489
phosphate_metabolite.m00,purine.m01,0.6652587134560569,0.0
free_amino_acid.m06,peptide_protein.m08,0.625326728932042,0.011138643311701012
peptide_protein.m02,purine.m00,0.583620427643198,0.19728953093888338
carboxylic_acid_metabolite.m01,purine.m01,0.5555533650410311,0.07620952173649212
free_amino_acid.m03,mono_oligosaccharide.m01,0.5175764147301151,0.10116034839716195
pyrimidine.m00,sterol_steroid.m02,0.5712067818329678,0.012427503619289482
free_amino_acid.m01,mono_oligosaccharide.m04,0.4763005495453314,0.2932393034765401
