lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight
fatty_acid.m02,mono_oligosaccharide.m02,fatty_acid,mono_oligosaccharide,False,0.4081203741382743,0.22463566096016094,0.625,0.3379979937846932,0.26863648685280567,1.0,1.0,0.3996344799673601
polysaccharide.m00,purine.m00,polysaccharide,purine,False,0.5702999071980723,0.1831046495017522,0.25,0.45554735957667375,0.6671808899512884,1.0,0.8663430350699484,0.3995396485719047
phospholipid_sphingolipid.m01,sulfur_thiol_cofactor.m00,phospholipid_sphingolipid,sulfur_thiol_cofactor,False,0.7644967115792791,0.11177090627115444,0.25,0.5560935158003744,0.8473036135275225,1.0,0.9201393094900594,0.3975664773344671
mono_oligosaccharide.m03,sulfur_thiol_cofactor.m00,mono_oligosaccharide,sulfur_thiol_cofactor,False,0.6423081280524796,0.17552441667797572,0.25,0.4233292369317406,0.7338491995038485,1.0,0.7167343908858762,0.39666356966092653
mono_oligosaccharide.m00,phospholipid_sphingolipid.m01,mono_oligosaccharide,phospholipid_sphingolipid,False,0.6157455164207679,0.3023441695692223,0.125,0.4152843267534008,0.853881728644537,1.0,0.4652640071127405,0.393734709898953
acylglycerol.m00,peptide_protein.m07,acylglycerol,peptide_protein,False,0.5241587702109813,0.17250908965801068,0.26666666666666666,0.4834308590511261,0.5639287973253818,1.0,1.0,0.3933357851538124
acylglycerol.m01,fatty_acid.m03,acylglycerol,fatty_acid,False,0.5011888875523702,0.2492387739198201,0.3076923076923077,0.5651254217334359,0.8032151276933062,1.0,0.18097830247659807,0.3903365772679249
free_amino_acid.m00,purine.m00,free_amino_acid,purine,False,0.5622761499954853,0.20678697252369427,0.25,0.3425382521167905,0.7193819463269179,1.0,0.7150712276941693,0.38895465452474337
mono_oligosaccharide.m03,phospholipid_sphingolipid.m01,mono_oligosaccharide,phospholipid_sphingolipid,False,0.6282247990872247,0.18250065914023286,0.25,0.30107748536546214,0.83983176848452,1.0,0.7956703303499849,0.3880828170736858
carboxylic_acid_metabolite.m01,purine.m00,carboxylic_acid_metabolite,purine,False,0.6328683313495613,0.239705504724587,0.25,0.1909323368603868,0.7611703919104299,1.0,0.8044096198776783,0.3852130695158865
mono_oligosaccharide.m02,polysaccharide.m00,mono_oligosaccharide,polysaccharide,False,0.515763332265751,0.11989625976741092,0.5,0.4679685997426626,0.7863952619170836,1.0,0.5968022402911025,0.3843409350364183
fatty_acid.m02,peptide_protein.m05,fatty_acid,peptide_protein,False,0.5779569419670537,0.48686377797997477,0.25,0.562450366191234,0.7468444269203284,0.0,1.0,0.3834931486816798
acylglycerol.m02,fatty_acid.m02,acylglycerol,fatty_acid,False,0.6658669266776998,0.15177745740298723,0.375,0.645827571580297,0.9549389257169143,1.0,0.15101490782716193,0.3832666462373453
nucleic_acid_polymer.m00,sulfur_thiol_cofactor.m00,nucleic_acid_polymer,sulfur_thiol_cofactor,False,0.6049341156513752,0.23408968672102726,0.125,0.6054493547593259,0.6958656776493589,1.0,0.44235171517221067,0.37963362670192685
fatty_acid.m04,free_amino_acid.m06,fatty_acid,free_amino_acid,False,0.46515250392498597,0.19615350825507463,0.25,0.32390946583684094,0.7253357648044555,1.0,1.0,0.3792945034128858
free_amino_acid.m00,mono_oligosaccharide.m00,free_amino_acid,mono_oligosaccharide,False,0.4491668590395574,0.2178443936286623,0.375,0.3195106608542572,0.6354403344915679,1.0,0.5183454157978677,0.37893527463769805
mono_oligosaccharide.m02,peptide_protein.m03,mono_oligosaccharide,peptide_protein,False,0.5104055816161348,0.14427905796994525,0.375,0.3805836759793291,0.8098819586485622,1.0,0.6557938523491227,0.37763742507089265
acylglycerol.m01,carboxylic_acid_metabolite.m00,acylglycerol,carboxylic_acid_metabolite,False,0.4301585158219031,0.18587031994361636,0.4,0.3163809373275499,0.6317931278083081,1.0,0.7136601166517264,0.3756430810592559
nucleic_acid_polymer.m00,phosphate_metabolite.m00,nucleic_acid_polymer,phosphate_metabolite,False,0.49121875362137873,0.18170348119975002,0.25,0.4522114833577806,0.6315302660653704,1.0,0.681188141590605,0.3753653356770987
phospholipid_sphingolipid.m01,polysaccharide.m00,phospholipid_sphingolipid,polysaccharide,False,0.688316231820357,0.08302093786650525,0.375,0.4956199742742428,0.8670773881400069,1.0,0.8465270610070063,0.3752333165681883
acylglycerol.m01,sterol_steroid.m00,acylglycerol,sterol_steroid,False,0.527817547126473,0.1356095507129129,0.26666666666666666,0.5864867157232707,0.8219374553340398,1.0,0.5679834173309094,0.37464575289289753
purine.m00,sterol_steroid.m02,purine,sterol_steroid,False,0.5999162743636586,0.15077598938534942,0.25,0.41893936238917573,0.829813450306809,1.0,0.5610237716395572,0.3715446611857491
fatty_acid.m01,phospholipid_sphingolipid.m00,fatty_acid,phospholipid_sphingolipid,False,0.5110671359857529,0.18628422556777546,0.26666666666666666,0.4968118193134215,0.6847597690102434,1.0,0.3578989021878404,0.3685475845049685
fatty_acid.m02,sterol_steroid.m00,fatty_acid,sterol_steroid,False,0.650149564213285,0.1037334118426179,0.25,0.615994471417214,0.896271470465019,1.0,0.5806610648630003,0.3684224379334731
fatty_acid.m00,fatty_acid.m04,fatty_acid,fatty_acid,True,0.7410864805547221,0.5661032608910344,0.625,0.749818966771878,0.9394366544271668,1.0,0.0,0.3631699516837519
fatty_acid.m03,peptide_protein.m08,fatty_acid,peptide_protein,False,0.6685373130112234,0.2920741251913937,0.2857142857142857,0.6223565777861638,0.8149453329718984,0.0,1.0,0.363083852685548
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m04,carboxylic_acid_metabolite,mono_oligosaccharide,False,0.5229438828721784,0.38724740422392995,0.375,0.07884757224887018,0.5390850768459877,1.0,0.5595162853015002,0.3624583335762866
mono_oligosaccharide.m03,polysaccharide.m01,mono_oligosaccharide,polysaccharide,False,0.6054087373292418,0.17625204628642532,0.25,0.38432487008216687,0.7450011089479781,1.0,0.3679902159830374,0.3623584327651874
mono_oligosaccharide.m00,polysaccharide.m01,mono_oligosaccharide,polysaccharide,False,0.44444091384671247,0.12426213666829376,0.5,0.38810488803260385,0.7325808915941744,1.0,0.5539855226023067,0.36072046184378415
peptide_protein.m03,purine.m00,peptide_protein,purine,False,0.5413576699680122,0.2471841047620748,0.125,0.3409187214000356,0.6752704600901945,1.0,0.7047678257935485,0.36069365738412357
free_amino_acid.m06,phosphate_metabolite.m00,free_amino_acid,phosphate_metabolite,False,0.6650587613454119,0.1265153463669254,0.375,0.4315013489364833,0.35827891273811585,1.0,0.6297939688395408,0.36041411774355886
