analyte,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ceramide,0.0,0.2493114414673167,0.007183747661640422,0.0,0.009946592749442113,0.0,0.0,0.035390321136322775,0.0,0.0,0.013359611765517582,0.0,0.0,0.006729534663229993,0.0,0.008087248597937177,0.152659284364129,0.0016933511506025808,0.012234853695113013,0.0,0.0,0.0,0.10764849430407294,0.0
chitin,0.0,0.0015960932426071805,0.0,0.011179649832123715,0.0,0.0,0.0,0.029536371687026927,0.028698532376758245,0.13887725774322987,0.025832248253058878,0.0,0.0440314692587639,0.047887710333381066,0.05518317855664285,0.030276143327382914,0.03122240891833629,0.0,0.27035751872011454,0.008625765929366732,0.0,0.010677636089066344,0.0036645831048424406,0.0
cholesterol,0.019394228592098044,0.21648998673678696,0.04118575940943685,0.030510082538829395,0.014260472097112863,0.01732222850831337,0.028246336266104392,0.001669469974653981,0.0,0.029743918847766667,0.008723575707432723,0.020397299843500173,0.03618099317824139,0.0912878440895824,0.028541514343728678,0.03021473595551748,0.004494051420848318,0.0,0.03170237783749898,0.0646003666536209,0.04388539676361641,0.0456835806661539,0.0005034260011043116,0.019295489279261394
cholesteryl linoleate,0.0018782346912630565,0.2038335219706827,0.09247341217394525,0.011079599239018212,0.024250269869242058,0.0,0.005366914922171451,0.07901502875700869,0.0,0.006094117399152678,0.00040966139463037506,0.002948046216949579,0.0,0.07217471746969352,0.004059180901143521,0.010802846683529065,0.0,0.0,0.004845489001494527,0.016848654906476766,0.010005814381634606,0.03683523857877977,0.0,0.0
cholesteryl oleate,0.0054616175907139155,0.3083277369424057,0.021334232318633187,0.014157493576895318,0.019575067094124612,0.012881046767407927,0.022350082899783436,0.049844637075979116,0.0,0.014295382566221069,0.0,0.02693544855136524,0.0,0.055595448227175735,0.0,0.007215637029569897,0.0016451186818950887,0.0,0.00897160016106364,0.012724505008639099,0.02912032952124177,0.00931530614851394,0.018167976719085193,0.0
cholesteryl palmitate,0.0026210327915144782,0.2924659830895696,0.04359080722388168,0.01513726550639518,0.0,0.008496354071304777,0.005951074330580333,0.010024976755164726,0.0,0.0,0.0,0.013349925970291604,0.015211205848266475,0.0467150596847592,0.01602475522579787,0.0,0.03230834542932968,0.0,0.029924401652632382,0.030466549150772203,0.0308869498200207,0.0012106071259983945,0.04771629447812083,0.0
cholesteryl stearate,0.0016166045701809372,0.2909231220630523,0.057217217950633205,0.01128805369827875,0.0,0.008148372511967896,0.0,0.0,0.0,0.0,0.00032455454902907476,0.017508212679032856,0.00576411135112007,0.03189495730211642,0.025391954478302257,0.0,0.0340862833380188,0.0,0.024381841288973263,0.012042288730468318,0.033901862420614624,0.012382082978413846,0.05069712069206019,0.0
citrate,0.0,0.0313332616986035,0.0,0.0,0.007419015265436134,0.0,0.0,0.0037701075957255817,0.0,0.011920802949556589,0.00425817021166969,0.0,0.0009469565422874066,0.002608140560814617,0.2800410552214706,0.02435993493515677,0.019604733474036382,0.04164247049705978,0.0,0.09659688089286803,8.372573072213161e-05,0.0,0.011390255926289321,0.34717457634607607
coenzyme a,0.018068263970549184,0.033405340705969656,0.0,0.18338694326024668,0.03999796976653387,0.003241301829482071,0.03503633087758477,0.01383344711757227,0.017513826404195996,0.060112186903999096,0.018765664831414335,0.004287754220046057,0.008822326725929207,0.05367618789201506,0.028399474408578894,0.01232362138005941,0.054416709173521996,0.017418160797067248,0.05195504635004218,0.025226550884388743,0.009226080318015922,0.026034244866991404,0.08415712781785889,0.0486529827372703
collagen,0.0,0.056960539440201935,0.20426937275785817,0.0,0.041766025504707864,0.0,0.0017737724232490407,0.06018445986412211,0.003860143391121432,0.0,0.017762596572467905,0.015642973834690984,0.0,0.0021447833605890694,0.06623437869681952,0.0,3.1812709898319104e-05,0.02578096816217972,0.0,0.002548434126659477,0.008830130581321783,0.010443719010282142,0.05511515633322705,0.014214432393634924
creatinine,0.0,0.000875132951839335,0.02467141032929913,0.0,0.0,0.0002856910965228231,0.0,0.02613393863158091,0.0,0.010855819505938261,0.0357879850908038,0.0016205238610375163,0.0,0.0,0.0,0.0,0.0,0.009089965969003248,0.0,0.5932166959614219,0.0,0.0,0.0013895039110253266,0.0
cysteine,0.021866875652881524,0.0,0.0,0.0,0.0,0.03218163774006511,0.007815162980189201,0.0,0.0,0.0,0.0,0.0,0.033211042820126026,0.0,0.021672687347443435,0.15550019876379279,0.03148786410808627,0.0,0.0,0.12893806724563964,0.15242272110602087,0.0,0.11679447082076323,0.014832275898743799
cytochrome c,0.03717206349463288,0.0,0.0,0.006603738085791651,0.0,0.001269204972363795,0.01041755429373983,0.0,0.13613024543129032,0.016501925651936502,0.0,0.006711224051532252,0.003417014268427097,0.09745475969270775,0.007485975363867909,0.006094713839418464,0.051906378011162796,0.013116552876695406,0.03113499181533663,0.061874397018547196,0.0,0.01035363706702896,0.03148892962244406,0.0
cytosine,0.0,0.0,0.0,0.0,0.02778881990759207,0.0,0.0,0.027896721234342465,0.0,0.0,0.0,0.0,0.08703302182733424,0.0,0.0,0.0,0.0,0.2509374212458515,0.0,0.005099620385806374,0.0,0.045795510903420045,0.0,0.13428964778444183
diethylstilbestrol,0.0,0.030769372578268592,0.0,0.019127265395690155,0.009242301182345904,0.06186762859085363,0.015776358792483625,0.023232679894403484,0.13864583120652843,0.0,0.005579542236257908,0.0,0.0,0.0,0.0004460151478282586,0.0,0.03770174805061153,0.016451618359861406,0.0005205026058390056,0.027580202634008823,0.08853918000900353,0.010155786483743934,0.0,0.0
elaidic acid,0.0,0.31872247971904405,0.03441691691524447,0.0,0.0,0.0,0.0,0.016472137629440234,0.0,0.010922987793462464,0.0,0.0,0.0,0.03588152458083607,0.0,0.0,0.0,0.0,0.012005461862026542,0.0,0.0,0.0,0.07580954551013895,0.0
elastase,0.018377245516419533,0.04529224681354984,0.1966871606228385,0.00159521142924399,0.027783969219320328,0.0009394874053048683,0.044269751689267674,0.05361104226875691,0.020776972169670376,0.004607148305255458,0.01731499270168776,0.01563128725608937,0.007860820792058722,0.0008349703892529776,0.0,0.021632888908545495,0.009654938611169556,0.00785034455266235,0.00270890790293778,0.007768617342413096,0.0,0.007992216186639315,0.06984461477491202,0.0011423212427878855
elastin,0.009196790653313363,0.07968505905272495,0.21159048210145515,0.005116097188549221,0.003321854311360035,0.0,0.021342638026258597,0.05989127553740943,0.0,0.014331948191207361,0.009632319689727498,0.0034047174594401346,0.03808610068761853,0.0,0.03552863694256907,0.0,0.0,0.0,0.00290657920923001,0.039928122426654195,0.0053963447023943085,0.0,0.002739660374011934,0.004467298553650539
ergothioneine,0.0,0.027668360404784476,0.03421896917054008,0.08742311499971267,0.0,0.025603066553066867,0.03286189631205178,0.0,0.00960296506115532,0.006486647760703076,0.0,0.019530828219112405,0.0,0.0,0.014394606230508497,0.012125432343372511,0.0,0.03412848133202598,0.0,0.12432825391371465,0.0,0.17992058595252622,0.0006674600486109024,0.0
estradiol,0.0,0.06782395705728932,0.0,0.11082327221437298,0.0,0.055577749825875274,0.0721326432007799,0.025075703535419547,0.10133330166124571,0.004492684707427798,0.014536539754109824,0.0,0.023046743398505307,0.0,0.044300065938273465,0.0,0.006268772588568016,0.03994044516158555,0.009562922246192243,0.0,0.044347593857248346,0.04316300691567702,0.0,0.0
estriol,0.0,0.06781027175695578,0.0,0.11038442826271708,0.0,0.05567080949134834,0.0721890500841154,0.02475919963296574,0.10119593593553128,0.004131486359506286,0.014422356570287122,0.0,0.023328324301025355,0.0,0.04408501450876849,0.0,0.005032644125987368,0.03972202922484835,0.009877467689343342,0.0,0.04552861144487984,0.04333804578509665,0.0,0.0
estrone,0.0,0.07529258069995003,0.0,0.20094315933601642,0.007863851991152882,0.03285669053156444,0.028867418410922656,0.004601444662477802,0.03292679643400075,0.0,0.01823254042843038,0.0,0.0,0.0,0.06685866439365329,0.021110836137851773,0.00016057748750915372,0.0367922185026029,0.0,0.0,0.03360507688826215,0.038905900211736566,0.006771302366969006,0.03035079907245784
ethinylestradiol,0.0,0.1085120595354467,0.0,0.12293547862733159,0.0028967513710412706,0.021485090786533562,0.05557236027945889,0.0,0.02692900656435366,0.006774747548643922,0.0,0.0,0.008042320344529544,0.004421026424125682,0.07660208946279148,0.04628384792164628,0.0,0.07225216938618051,0.01758734389410358,0.018349909376421607,0.0940961616573811,0.04214737963188743,0.017082218683610245,0.0
ferritin,0.03116871731159107,0.07108084920528064,0.14517199717132082,0.03347794966104147,0.004031327895393891,0.009012969300932233,0.038756067119553254,0.042068594913852,0.01837609497406797,0.018852258477564887,0.006819606325366725,0.03553478800920701,0.03705035394917971,0.005788696413399456,0.02679012617507164,0.011488369609499121,0.0,0.0,0.009018402957616191,0.06337730267167237,0.018548601853027844,0.008583261962685542,0.03337617975519037,0.0032891139499718757
fructose,0.006310680193939002,0.01986456268736651,0.00032551967145988305,0.0,0.1167545898282943,0.011464447110781031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001291600997169562,0.0,0.004928165772860628,0.0,0.0,0.3817280709050463,0.06516128739916723,0.0,0.0
