specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
P2_CCA_vs_NC,G02,9,2,2,0.33,0.409,up,0.78,4.578,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G10,9,2,2,0.275,0.406,stable,0.44,4.553,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_vs_CTR,G04,8,2,2,0.467,0.467,up,1.0,4.532,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
cross_pilot_consensus,G06,3,1,1,1.382,1.382,up,1.0,4.447,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G07,3,1,1,1.382,1.382,up,1.0,4.446,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G01,3,1,1,1.372,1.372,up,1.0,4.415,gaira_base_4_cross_pilot_synthesis_v1
HCC,G10,10,2,1,0.341,0.341,stable,0.8,4.406,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
HCC,G05,11,3,2,0.299,0.299,stable,0.73,4.39,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_CCA_vs_HCC,G10,5,1,1,0.285,0.777,down,0.6,4.383,gaira_base_4_cross_pilot_synthesis_v1
P2_LM_vs_HCC,G02,5,1,1,0.761,0.761,up,1.0,4.306,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G11,3,1,1,0.665,1.332,up,0.67,4.296,gaira_base_4_cross_pilot_synthesis_v1
COVID_vs_Healthy,G11,7,2,1,-0.458,0.481,down,0.71,4.067,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G02,9,2,2,0.263,0.339,stable,0.78,3.95,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_vs_CTR,G09,8,2,2,-0.39,0.39,down,0.75,3.92,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D2_C40_vs_C0,G11,4,1,1,0.224,0.878,down,0.5,3.912,gaira_base_4_shine_ev_gaira_pilot_v1
HCC,G07,10,2,1,0.284,0.284,stable,0.8,3.841,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Suspected,G07,5,1,1,-0.664,0.664,down,1.0,3.818,gaira_base_4_passive_target_pilot_3b_covid_raman
P1_HCC_holdout,G05,8,3,1,0.375,0.375,up,1.0,3.797,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
P2_LM_vs_HCC,G01,5,1,1,0.654,0.654,up,1.0,3.772,gaira_base_4_cross_pilot_synthesis_v1
P2_HCC_vs_NC,G02,9,2,2,-0.314,0.314,down,0.78,3.724,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_holdout,G04,8,3,1,0.36,0.36,up,1.0,3.678,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
HCC,G06,10,2,1,0.137,0.255,stable,0.7,3.553,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
hepatotoxicity_D2_C40_vs_C0,G09,4,1,1,0.022,0.784,down,0.5,3.535,gaira_base_4_shine_ev_gaira_pilot_v1
P1_HCC_vs_CTR,G03,8,2,2,-0.34,0.34,down,0.75,3.522,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D2_C40_vs_C0,G08,4,1,1,-0.213,0.768,down,0.5,3.474,gaira_base_4_shine_ev_gaira_pilot_v1
P2_LM_vs_HCC,G10,5,1,1,0.282,0.585,up,0.4,3.426,gaira_base_4_cross_pilot_synthesis_v1
HCC,G08,10,2,1,0.165,0.243,stable,0.8,3.425,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
HCC,G09,11,3,2,0.01,0.21,stable,0.73,3.41,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
HCC,G11,10,2,1,0.222,0.229,stable,0.8,3.293,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
HCC,G01,10,2,1,0.225,0.225,stable,0.8,3.253,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P1_HCC_holdout,G09,8,3,1,-0.195,0.281,stable,0.62,3.052,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
COVID_vs_Healthy,G01,7,2,1,-0.117,0.335,stable,0.71,3.046,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_LM,G03,5,1,1,0.506,0.506,up,1.0,3.032,gaira_base_4_cross_pilot_synthesis_v1
Suspected_vs_Healthy,G03,7,2,1,0.316,0.316,up,1.0,2.913,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Suspected,G10,5,1,1,0.129,0.47,stable,0.4,2.85,gaira_base_4_passive_target_pilot_3b_covid_raman
Suspected_vs_Healthy,G01,7,2,1,0.27,0.299,up,0.71,2.791,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
Suspected_vs_Healthy,G07,7,2,1,-0.026,0.291,stable,0.43,2.739,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
Suspected_vs_Healthy,G02,7,2,1,0.135,0.288,up,0.71,2.717,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D2_C40_vs_C0,G05,4,1,1,0.042,0.577,down,0.5,2.709,gaira_base_4_shine_ev_gaira_pilot_v1
Suspected_vs_Healthy,G06,7,2,1,-0.049,0.287,stable,0.43,2.706,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Suspected,G03,5,1,1,0.439,0.439,up,0.6,2.694,gaira_base_4_passive_target_pilot_3b_covid_raman
Suspected_vs_Healthy,G08,7,2,1,-0.246,0.277,down,0.71,2.641,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D2_C40_vs_C0,G04,4,1,1,0.208,0.555,up,0.5,2.618,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D2_C40_vs_C0,G03,4,1,1,0.208,0.555,up,0.5,2.618,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D2_C40_vs_C0,G06,4,1,1,0.208,0.555,up,0.5,2.618,gaira_base_4_shine_ev_gaira_pilot_v1
Suspected_vs_Healthy,G09,7,2,1,-0.113,0.266,down,0.71,2.56,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_vs_CTR,G02,8,2,2,-0.218,0.218,down,0.75,2.546,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
Suspected_vs_Healthy,G11,7,2,1,-0.112,0.263,down,0.71,2.539,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D2_C40_vs_C0,G10,4,1,1,0.525,0.525,up,1.0,2.5,gaira_base_4_shine_ev_gaira_pilot_v1
P1_HCC_holdout,G03,8,3,1,-0.17,0.204,stable,0.62,2.429,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
COVID_vs_Suspected,G09,5,1,1,-0.376,0.376,down,0.6,2.38,gaira_base_4_passive_target_pilot_3b_covid_raman
Suspected_vs_Healthy,G04,7,2,1,0.077,0.236,stable,0.43,2.352,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Suspected,G01,5,1,1,-0.362,0.362,down,1.0,2.31,gaira_base_4_passive_target_pilot_3b_covid_raman
Suspected_vs_Healthy,G05,7,2,1,0.056,0.221,stable,0.43,2.249,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
hepatotoxicity_D0,G11,2,1,1,-0.99,0.99,down,1.0,2.18,gaira_base_4_shine_ev_gaira_pilot_v1
P2_CCA_vs_LM,G01,5,1,1,0.335,0.335,up,1.0,2.177,gaira_base_4_cross_pilot_synthesis_v1
P1_HCC_vs_CTR,G08,8,2,2,0.168,0.168,stable,1.0,2.142,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_HCC_vs_NC,G10,9,2,2,0.13,0.13,stable,1.0,2.067,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_HCC_vs_NC,G07,9,2,2,0.123,0.123,stable,1.0,2.009,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Suspected,G02,5,1,1,-0.123,0.298,stable,0.8,1.989,gaira_base_4_passive_target_pilot_3b_covid_raman
COVID_vs_Suspected,G08,5,1,1,-0.28,0.296,down,0.6,1.978,gaira_base_4_passive_target_pilot_3b_covid_raman
hepatotoxicity_D2_C40_vs_C0,G02,4,1,1,-0.394,0.394,down,0.75,1.976,gaira_base_4_shine_ev_gaira_pilot_v1
