specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
smallEV_Probe1,G05,1,1,1,0.492,0.492,up,1.0,0.592,gaira_base_4_small_ev_shared_structure_pass_v2
hepatotoxicity_classifier,G05,4,1,1,0.009,0.047,stable,1.0,0.588,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D1,G07,2,1,1,0.141,0.141,stable,1.0,0.482,gaira_base_4_shine_ev_gaira_pilot_v1
OWD,G08,1,1,1,0.339,0.339,up,1.0,0.439,gaira_base_4_diabetes_ev_pilot_v1
hepatotoxicity_D1,G01,2,1,1,-0.101,0.101,stable,0.5,0.403,gaira_base_4_shine_ev_gaira_pilot_v1
cross_pilot_consensus,G10,2,1,1,0.084,0.084,stable,1.0,0.368,gaira_base_4_cross_pilot_synthesis_v1
hepatotoxicity_D0,G05,2,1,1,0.082,0.082,stable,1.0,0.364,gaira_base_4_shine_ev_gaira_pilot_v1
OWD,G09,1,1,1,-0.198,0.198,stable,1.0,0.298,gaira_base_4_diabetes_ev_pilot_v1
OWD,G03,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
OWD,G04,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
OWD,G06,1,1,1,0.132,0.132,stable,1.0,0.232,gaira_base_4_diabetes_ev_pilot_v1
OWD,G02,1,1,1,0.095,0.095,stable,1.0,0.195,gaira_base_4_diabetes_ev_pilot_v1
OWD,G11,1,1,1,-0.077,0.077,stable,1.0,0.177,gaira_base_4_diabetes_ev_pilot_v1
OWD,G10,1,1,1,-0.06,0.06,stable,1.0,0.16,gaira_base_4_diabetes_ev_pilot_v1
OWD,G07,1,1,1,-0.038,0.038,stable,1.0,0.138,gaira_base_4_diabetes_ev_pilot_v1
