condition_family,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
calibration_suite,G04,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G07,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G05,1,1,1,0.933,0.933,up,1.0,1.033,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G08,1,1,1,0.872,0.872,up,1.0,0.972,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G09,1,1,1,0.861,0.861,up,1.0,0.961,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G11,1,1,1,0.804,0.804,up,1.0,0.904,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G06,1,1,1,0.753,0.753,up,1.0,0.853,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G10,1,1,1,0.7,0.7,up,1.0,0.8,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G02,1,1,1,0.636,0.636,up,1.0,0.736,gaira_base_4_hybrid_bsv_calibration_suite_v1
dual_probe_invariance,G11,1,1,1,0.585,0.585,up,1.0,0.685,gaira_base_4_small_ev_shared_structure_pass_v2
dual_probe_invariance,G10,1,1,1,0.572,0.572,up,1.0,0.672,gaira_base_4_small_ev_shared_structure_pass_v2
diabetes_metabolic,G05,1,1,1,-0.557,0.557,down,1.0,0.657,gaira_base_4_diabetes_ev_pilot_v1
dual_probe_invariance,G07,1,1,1,0.541,0.541,up,1.0,0.641,gaira_base_4_small_ev_shared_structure_pass_v2
dual_probe_invariance,G09,1,1,1,0.537,0.537,up,1.0,0.637,gaira_base_4_small_ev_shared_structure_pass_v2
diabetes_metabolic,G01,1,1,1,0.516,0.516,up,1.0,0.616,gaira_base_4_diabetes_ev_pilot_v1
dual_probe_invariance,G08,1,1,1,0.504,0.504,up,1.0,0.604,gaira_base_4_small_ev_shared_structure_pass_v2
dual_probe_invariance,G05,1,1,1,0.492,0.492,up,1.0,0.592,gaira_base_4_small_ev_shared_structure_pass_v2
