id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
18,d-(+)-fucose,Saccharides,0.16400320461664503,0.169308112048129,0.09242677252103788,0.17798764276108478,0.18403864009918472,0.29191115172675475,0.09925534864811651,0.16326740754191543,glycan_carbohydrate,0.29191115172675475
19,d-(+)-galactosamine,Saccharides,0.14372045201077716,0.13762674393208854,0.05141448429676776,0.06153699118367415,0.019384094161606226,0.22051347775571772,0.24265901292783676,0.21830059997753387,redox_metabolite,0.24265901292783676
20,d-(+)-mannose,Saccharides,0.1173996651861269,0.1655644803996894,0.12132092258555302,0.15691234901510742,0.06544347115704358,0.3936522238811906,0.2492132464714445,0.2528666791294427,glycan_carbohydrate,0.3936522238811906
21,d-(+)-trehalose,Saccharides,0.20415971281189443,0.09906579441812913,0.13193563320727134,0.1919814506530887,0.04851200074408643,0.3215633971923065,0.24408488326514266,0.2192582436679534,glycan_carbohydrate,0.3215633971923065
22,d-(+)-xylose,Saccharides,0.09286201904603016,0.05407237153600737,0.03723565045816956,0.060918535011472354,0.030474350877034158,0.2795501075484823,0.2325934582163326,0.07274253442305474,glycan_carbohydrate,0.2795501075484823
23,d-(-)-arabinose,Saccharides,0.026837347247643046,0.07631986355409331,0.12410719431469223,0.09412097707193408,0.013115006018252977,0.07301157775231662,0.04644832488368368,0.06891062149769343,aromatic_amino_acid,0.12410719431469223
24,d-(-)-fructose,Saccharides,0.06886028029186342,0.08477579228187035,0.13406873378357356,0.027684138462095487,0.08035511503309427,0.10831898450489633,0.11033146345233755,0.1311325459749255,aromatic_amino_acid,0.13406873378357356
25,d-fructose-6-phosphate,PrimaryMetabolites,0.09218652056462169,0.15626074228416625,0.18062022390261678,0.05915794744007296,0.09666638000708554,0.12010167924341367,0.145946084833539,0.18580771908453794,nucleic_acid_backbone,0.18580771908453794
26,fumarate,PrimaryMetabolites,0.1105807959363748,0.04199667327696506,0.028384172870454253,0.012042701425629696,0.04172536081798733,0.025840453831848426,0.007506633025669271,0.008375779273927778,membrane_lipid,0.1105807959363748
27,glutathione,Other,0.17683464570822816,0.18308773287466035,0.21275653783243134,0.2770756186842022,0.1423796916170944,0.17946739740999657,0.05380284716020882,0.15598780635563017,purine_nucleotide,0.2770756186842022
28,glycerol,Lipids,0.10405187093420716,0.2521896115079659,0.21047348131305957,0.12724960721252462,0.11123258696307496,0.3661687511710795,0.2317692478780501,0.6321076818005812,nucleic_acid_backbone,0.6321076818005812
29,glycine,AminoAcids,0.059338191110201166,0.0177869578461912,0.010459536950947187,0.05841852762618724,0.008295230383457775,0.12573100597497947,0.13506584323449952,0.04471369673187709,redox_metabolite,0.13506584323449952
