concentration_uM,axis,bsv_mean,bsv_std,delta_bsv
1.2,protein_backbone,0.03319453855249005,0.0016852518337271076,0.0109229687027304
1.2,aromatic_amino_acid,0.029180643524321502,0.00216105667216123,-0.008164486912396199
1.2,purine_nucleotide,0.04197165048200891,0.0013891522587942725,-0.009038045771921847
1.2,pyrimidine_nucleotide,0.015132655449724763,0.001189998565829627,-0.005702346757606853
1.2,glycan_carbohydrate,0.030964838767047097,0.002199834309324953,-0.007475131159697963
1.2,redox_metabolite,0.040612626599921785,0.002230162726872575,0.026212409076596305
1.2,nucleic_acid_backbone,0.010398850616856862,0.0016727228042549966,-0.00979827470690587
1.4,membrane_lipid,0.03612055024080585,0.00047161198620119686,0.005529980130425639
1.4,protein_backbone,0.03406671689151029,0.001139542294270273,0.011795147041750643
1.4,aromatic_amino_acid,0.02701326496212838,0.0015593775898751698,-0.010331865474589322
1.4,purine_nucleotide,0.04049305744196558,0.0009433379195961773,-0.010516638811965177
1.4,pyrimidine_nucleotide,0.014122789006557427,0.0010919608976807816,-0.006712213200774189
1.4,glycan_carbohydrate,0.028829397563929143,0.0015559990286552437,-0.009610572362815917
1.4,redox_metabolite,0.04398999711011396,0.0012881324040825682,0.029589779586788482
1.4,nucleic_acid_backbone,0.008343889866873833,0.0008859032051695055,-0.011853235456888898
1.6,membrane_lipid,0.03616001500965695,0.0015713144054188507,0.005569444899276743
1.6,protein_backbone,0.0343107239915061,0.0020202281580126162,0.012039154141746451
1.6,aromatic_amino_acid,0.02735621356791676,0.0025460588132457536,-0.009988916868800941
1.6,purine_nucleotide,0.039314114252148556,0.0027245658437900916,-0.011695582001782202
1.6,pyrimidine_nucleotide,0.01363834688407794,0.0012858830832830773,-0.007196655323253675
1.6,glycan_carbohydrate,0.028825887796421718,0.0028287304838899934,-0.009614082130323342
1.6,redox_metabolite,0.043840064078169705,0.002002749330321383,0.029439846554844225
1.6,nucleic_acid_backbone,0.009120984259120082,0.0016678502371559932,-0.01107614106464265
1.8,membrane_lipid,0.03552660191782288,0.0005593068077460281,0.004936031807442669
1.8,protein_backbone,0.0339139373398224,0.0007370090802127629,0.011642367490062748
1.8,aromatic_amino_acid,0.027727895912178075,0.0008250717749185619,-0.009617234524539626
1.8,purine_nucleotide,0.03896211449145817,0.0004364028654996541,-0.012047581762472587
1.8,pyrimidine_nucleotide,0.014004082234549386,0.00026789798329366596,-0.006830919972782229
1.8,glycan_carbohydrate,0.02881974291321398,0.0010138823329776908,-0.009620227013531081
1.8,redox_metabolite,0.04500704512928787,0.000691906464717845,0.030606827605962388
1.8,nucleic_acid_backbone,0.007942084267952289,0.0007811577838084535,-0.012255041055810443
2.0,membrane_lipid,0.03556141197131953,0.0005872714126847696,0.0049708418609393235
2.0,protein_backbone,0.03249691013869552,0.0007733389786841435,0.010225340288935868
2.0,aromatic_amino_acid,0.028457625377709822,0.0007521175054323983,-0.008887505059007879
2.0,purine_nucleotide,0.03976084602035508,0.00021431991133067207,-0.011248850233575677
2.0,pyrimidine_nucleotide,0.014744394072399516,0.0007414470441760405,-0.006090608134932099
2.0,glycan_carbohydrate,0.0302454636056858,0.00048596291473743325,-0.00819450632105926
2.0,redox_metabolite,0.044740065288070084,0.0007541365519537116,0.030339847764744604
2.0,nucleic_acid_backbone,0.008734319272135485,0.00038769461049622964,-0.011462806051627247
