perturbation,level,representation,molecule_top1,class_top1,class_top1_grouped,mean_confidence,ece
band_broadening,2.0,csm,0.896,0.9733333333333334,0.8373333333333334,0.015804099996814893,0.8801959000031851
band_broadening,2.0,evidence,0.872,0.968,0.6613333333333333,0.008413070541606496,0.8635869294583935
band_broadening,4.0,raw,0.9626666666666667,0.992,0.5866666666666667,0.011392477562149405,0.9512741891045172
band_broadening,4.0,lsm,0.8826666666666667,0.976,0.832,0.015710193045586147,0.8669564736210805
band_broadening,4.0,csm,0.904,0.9786666666666667,0.8266666666666667,0.01572776780207855,0.8882722321979215
band_broadening,4.0,evidence,0.864,0.9706666666666667,0.656,0.008373464656843204,0.8556265353431568
band_broadening,8.0,raw,0.9306666666666666,0.9786666666666667,0.5306666666666666,0.010871328816685176,0.9197953378499815
band_broadening,8.0,lsm,0.8053333333333333,0.944,0.7946666666666666,0.015263865955815468,0.7900694673775179
band_broadening,8.0,csm,0.8133333333333334,0.9493333333333334,0.7893333333333333,0.015349776456363111,0.7979835568769702
band_broadening,8.0,evidence,0.7626666666666667,0.9413333333333334,0.6213333333333333,0.00825392603216888,0.7544127406344978
band_broadening,16.0,raw,0.7893333333333333,0.8826666666666667,0.44533333333333336,0.009909591255706942,0.7794237420776264
band_broadening,16.0,lsm,0.6666666666666666,0.8906666666666667,0.7306666666666667,0.013990753843323133,0.6526759128233435
band_broadening,16.0,csm,0.6666666666666666,0.88,0.7146666666666667,0.014181585986739971,0.6524850806799266
band_broadening,16.0,evidence,0.4826666666666667,0.8,0.5973333333333334,0.008035080482633392,0.4746315861840333
peak_dropout,0.05,raw,0.9546666666666667,0.9866666666666667,0.5866666666666667,0.011497703913691225,0.9431689627529755
peak_dropout,0.05,lsm,0.8746666666666667,0.9653333333333334,0.8453333333333334,0.01570123762434861,0.8589654290423181
peak_dropout,0.05,csm,0.8773333333333333,0.9706666666666667,0.8506666666666667,0.015724909078140472,0.8616084242551928
peak_dropout,0.05,evidence,0.8293333333333334,0.9493333333333334,0.6533333333333333,0.008396360763288833,0.8209369725700445
peak_dropout,0.1,raw,0.9546666666666667,0.984,0.584,0.011468360166216274,0.9431983065004503
peak_dropout,0.1,lsm,0.8773333333333333,0.9706666666666667,0.84,0.01567947621920293,0.8616538571141303
peak_dropout,0.1,csm,0.88,0.9706666666666667,0.8373333333333334,0.01569188906834525,0.8643081109316547
peak_dropout,0.1,evidence,0.8293333333333334,0.9493333333333334,0.656,0.008388437056349457,0.8209448962769839
peak_dropout,0.2,raw,0.9573333333333334,0.9893333333333333,0.5626666666666666,0.011385255316549053,0.9459480780167843
peak_dropout,0.2,lsm,0.8426666666666667,0.9653333333333334,0.8373333333333334,0.0155561397857729,0.8271105268808938
peak_dropout,0.2,csm,0.856,0.9733333333333334,0.8266666666666667,0.015585206000268978,0.840414793999731
peak_dropout,0.2,evidence,0.784,0.9493333333333334,0.6586666666666666,0.008378590382974586,0.7756214096170254
peak_dropout,0.4,raw,0.9146666666666666,0.9813333333333333,0.552,0.01113809267825562,0.903528573988411
peak_dropout,0.4,lsm,0.8213333333333334,0.96,0.8133333333333334,0.015272922139668736,0.8060604111936647
peak_dropout,0.4,csm,0.816,0.96,0.816,0.015303436285499392,0.8006965637145006
peak_dropout,0.4,evidence,0.744,0.9253333333333333,0.6506666666666666,0.008323108538330697,0.7356768914616693
peak_dropout,0.6,raw,0.92,0.9706666666666667,0.5333333333333333,0.01090577654455719,0.9090942234554429
peak_dropout,0.6,lsm,0.7466666666666667,0.9146666666666666,0.7893333333333333,0.01501345892261159,0.7316532077440551
peak_dropout,0.6,csm,0.76,0.9306666666666666,0.7973333333333333,0.01506350990931445,0.7449364900906855
peak_dropout,0.6,evidence,0.6693333333333333,0.9013333333333333,0.6213333333333333,0.008266136506239332,0.661067196827094
fluorescence,0.05,raw,0.9626666666666667,0.9893333333333333,0.544,0.011083555937065783,0.9515831107296009
fluorescence,0.05,lsm,0.888,0.9653333333333334,0.832,0.015546500987531768,0.8724534990124683
fluorescence,0.05,csm,0.8933333333333333,0.9706666666666667,0.832,0.015606586640580839,0.8777267466927525
fluorescence,0.05,evidence,0.784,0.9386666666666666,0.6266666666666667,0.008238632952867786,0.7757613670471323
fluorescence,0.1,raw,0.944,0.9786666666666667,0.488,0.01059433931531601,0.9334056606846839
fluorescence,0.1,lsm,0.856,0.9573333333333334,0.824,0.015079082383143136,0.8409209176168568
fluorescence,0.1,csm,0.872,0.9626666666666667,0.8266666666666667,0.015235310151145392,0.8567646898488546
fluorescence,0.1,evidence,0.6453333333333333,0.8533333333333334,0.6053333333333333,0.008089064851202112,0.6372442684821312
fluorescence,0.2,raw,0.8506666666666667,0.9226666666666666,0.4106666666666667,0.009841796130086506,0.8408248705365802
fluorescence,0.2,lsm,0.7973333333333333,0.9386666666666666,0.76,0.013955981616735192,0.7833773517165982
fluorescence,0.2,csm,0.8026666666666666,0.9386666666666666,0.8,0.014316787119959358,0.7883498795467073
fluorescence,0.2,evidence,0.37866666666666665,0.6693333333333333,0.488,0.007904699928528592,0.37076196673813805
fluorescence,0.4,raw,0.49066666666666664,0.6213333333333333,0.2906666666666667,0.009186377205669073,0.4814802894609976
fluorescence,0.4,lsm,0.5626666666666666,0.7253333333333334,0.5386666666666666,0.012315655919487016,0.5503510107471796
fluorescence,0.4,csm,0.6426666666666667,0.8346666666666667,0.672,0.012513325349746623,0.6301533413169201
fluorescence,0.4,evidence,0.144,0.4,0.352,0.007755563298593311,0.13624443670140668
fluorescence,0.8,raw,0.13333333333333333,0.21866666666666668,0.16266666666666665,0.00905974725904171,0.12427358607429162
fluorescence,0.8,lsm,0.152,0.27466666666666667,0.216,0.01151525932916429,0.14048474067083572
fluorescence,0.8,csm,0.21866666666666668,0.38666666666666666,0.296,0.011074586977707522,0.20759207968895915
fluorescence,0.8,evidence,0.06133333333333333,0.24,0.232,0.007697382707389843,0.053635950625943486
