threshold,fpr,tpr
0.2563188148866776,0.19733333333333333,0.8866666666666667
0.2738523092423152,0.18666666666666668,0.8826666666666667
0.29138580359795274,0.18133333333333335,0.8813333333333333
0.3089192979535901,0.176,0.8773333333333333
0.32645279230922764,0.15466666666666667,0.8773333333333333
0.34398628666486497,0.14666666666666667,0.8733333333333333
0.36151978102050253,0.13866666666666666,0.868
0.3790532753761401,0.13333333333333333,0.8626666666666667
0.3965867697317774,0.12533333333333332,0.856
0.414120264087415,0.11466666666666667,0.8533333333333334
0.43165375844305254,0.10133333333333333,0.848
0.4491872527986899,0.10133333333333333,0.844
0.46672074715432743,0.096,0.8426666666666667
0.484254241509965,0.096,0.8306666666666667
0.5017877358656023,0.09333333333333334,0.8253333333333334
0.5193212302212399,0.088,0.8186666666666667
0.5368547245768774,0.08266666666666667,0.8106666666666666
0.5543882189325148,0.07733333333333334,0.8106666666666666
0.5719217132881523,0.064,0.8093333333333333
0.5894552076437897,0.06133333333333333,0.8066666666666666
0.6069887019994272,0.056,0.8013333333333333
0.6245221963550648,0.050666666666666665,0.796
0.6420556907107021,0.04533333333333334,0.7893333333333333
0.6595891850663397,0.04,0.784
0.6771226794219772,0.037333333333333336,0.7813333333333333
0.6946561737776146,0.037333333333333336,0.772
0.7121896681332521,0.037333333333333336,0.768
0.7297231624888897,0.034666666666666665,0.764
0.747256656844527,0.034666666666666665,0.76
0.7647901512001646,0.02666666666666667,0.756
0.7823236455558021,0.02666666666666667,0.7546666666666667
0.7998571399114395,0.024,0.7506666666666667
0.817390634267077,0.024,0.7413333333333333
0.8349241286227144,0.024,0.736
0.8524576229783519,0.024,0.7266666666666667
0.8699911173339895,0.018666666666666668,0.7173333333333334
0.8875246116896268,0.018666666666666668,0.7093333333333334
0.9050581060452644,0.018666666666666668,0.6986666666666667
0.9225916004009019,0.018666666666666668,0.6933333333333334
0.9401250947565393,0.016,0.6853333333333333
0.9576585891121768,0.013333333333333334,0.6733333333333333
0.9751920834678144,0.013333333333333334,0.6666666666666666
0.9927255778234517,0.013333333333333334,0.6586666666666666
1.0102590721790894,0.013333333333333334,0.6533333333333333
1.0277925665347265,0.013333333333333334,0.6426666666666667
1.045326060890364,0.010666666666666666,0.628
1.0628595552460016,0.010666666666666666,0.612
1.0803930496016392,0.010666666666666666,0.5973333333333334
1.0979265439572767,0.010666666666666666,0.5786666666666667
1.1154600383129138,0.010666666666666666,0.568
1.1329935326685514,0.010666666666666666,0.556
1.150527027024189,0.010666666666666666,0.5306666666666666
1.1680605213798265,0.010666666666666666,0.5186666666666667
1.185594015735464,0.008,0.49733333333333335
1.2031275100911012,0.008,0.488
1.2206610044467388,0.008,0.47333333333333333
1.2381944988023763,0.008,0.4613333333333333
1.2557279931580139,0.008,0.444
1.2732614875136514,0.008,0.432
1.290794981869289,0.008,0.42
1.308328476224926,0.008,0.408
1.3258619705805637,0.008,0.38666666666666666
1.3433954649362012,0.008,0.368
1.3609289592918388,0.008,0.3466666666666667
1.3784624536474763,0.005333333333333333,0.332
1.3959959480031134,0.005333333333333333,0.312
1.413529442358751,0.0026666666666666666,0.3
1.4310629367143886,0.0026666666666666666,0.2906666666666667
1.4485964310700261,0.0026666666666666666,0.2773333333333333
1.4661299254256637,0.0026666666666666666,0.2653333333333333
1.4836634197813012,0.0026666666666666666,0.25333333333333335
1.5011969141369383,0.0026666666666666666,0.24133333333333334
1.518730408492576,0.0026666666666666666,0.22533333333333333
1.5362639028482135,0.0026666666666666666,0.21333333333333335
