chemical_class,molecule,band_cm,observed,reconstructed,residual
chromophore_pigment,β-carotene,1008.0,0.06647,0.07105,-0.00458
chromophore_pigment,β-carotene,1156.0,0.28453,0.27872,0.00581
chromophore_pigment,β-carotene,1214.0,0.02421,0.02004,0.00418
chromophore_pigment,β-carotene,1270.0,0.02512,0.01981,0.00531
chromophore_pigment,β-carotene,1514.0,0.24196,0.22494,0.01701
fatty_acid,12-methyltetradecanoic acid,666.0,0.01333,0.00972,0.0036
fatty_acid,12-methyltetradecanoic acid,770.0,0.02209,0.00664,0.01545
fatty_acid,12-methyltetradecanoic acid,818.0,0.05995,0.04969,0.01026
fatty_acid,12-methyltetradecanoic acid,838.0,0.01539,0.00568,0.00971
fatty_acid,12-methyltetradecanoic acid,906.0,0.06552,0.04281,0.02272
fatty_acid,12-methyltetradecanoic acid,988.0,0.02121,0.00701,0.01421
fatty_acid,12-methyltetradecanoic acid,1018.0,0.0235,0.009,0.0145
fatty_acid,12-methyltetradecanoic acid,1062.0,0.17123,0.1371,0.03412
fatty_acid,12-methyltetradecanoic acid,1098.0,0.13917,0.07433,0.06485
fatty_acid,12-methyltetradecanoic acid,1142.0,0.13605,0.06599,0.07005
fatty_acid,12-methyltetradecanoic acid,1296.0,0.147,0.17013,-0.02313
fatty_acid,12-methyltetradecanoic acid,1346.0,0.01841,0.0049,0.01351
fatty_acid,13-methylmyristicacid,674.0,0.01113,0.01135,-0.00022
fatty_acid,13-methylmyristicacid,808.0,0.01705,0.00994,0.00711
fatty_acid,13-methylmyristicacid,828.0,0.06186,0.03066,0.0312
fatty_acid,13-methylmyristicacid,912.0,0.04027,0.04767,-0.0074
fatty_acid,13-methylmyristicacid,944.0,0.01508,0.00712,0.00796
fatty_acid,13-methylmyristicacid,1068.0,0.11011,0.14945,-0.03934
fatty_acid,13-methylmyristicacid,1104.0,0.06205,0.06864,-0.00659
fatty_acid,13-methylmyristicacid,1142.0,0.12268,0.09601,0.02667
fatty_acid,13-methylmyristicacid,1180.0,0.01961,0.01022,0.00938
fatty_acid,13-methylmyristicacid,1304.0,0.21497,0.15865,0.05633
fatty_acid,13-methylmyristicacid,1454.0,0.23612,0.20532,0.0308
fatty_acid,13-methylmyristicacid,1476.0,0.15525,0.12173,0.03352
fatty_acid,14-methylhexadecanoic acid,460.0,0.01355,0.01006,0.0035
fatty_acid,14-methylhexadecanoic acid,672.0,0.0134,0.01181,0.00159
fatty_acid,14-methylhexadecanoic acid,776.0,0.02204,0.01327,0.00877
fatty_acid,14-methylhexadecanoic acid,822.0,0.01935,0.01972,-0.00037
fatty_acid,14-methylhexadecanoic acid,840.0,0.0221,0.01491,0.00719
fatty_acid,14-methylhexadecanoic acid,912.0,0.06357,0.05575,0.00782
fatty_acid,14-methylhexadecanoic acid,1036.0,0.01593,0.01035,0.00557
fatty_acid,14-methylhexadecanoic acid,1070.0,0.22293,0.18598,0.03695
fatty_acid,14-methylhexadecanoic acid,1112.0,0.16242,0.10526,0.05716
fatty_acid,14-methylhexadecanoic acid,1148.0,0.14135,0.09875,0.0426
fatty_acid,14-methylhexadecanoic acid,1304.0,0.11793,0.17253,-0.0546
fatty_acid,14-methylhexadecanoic acid,1350.0,0.01193,0.00649,0.00544
fatty_acid,14-methylpentadecanoic acid,576.0,0.01112,0.00554,0.00558
fatty_acid,14-methylpentadecanoic acid,668.0,0.01785,0.01203,0.00582
fatty_acid,14-methylpentadecanoic acid,814.0,0.0493,0.04461,0.00468
fatty_acid,14-methylpentadecanoic acid,904.0,0.05204,0.04731,0.00473
fatty_acid,14-methylpentadecanoic acid,952.0,0.0241,0.01679,0.00731
fatty_acid,14-methylpentadecanoic acid,1062.0,0.1847,0.17454,0.01017
fatty_acid,14-methylpentadecanoic acid,1102.0,0.08348,0.08364,-0.00016
fatty_acid,14-methylpentadecanoic acid,1136.0,0.15679,0.14016,0.01663
fatty_acid,14-methylpentadecanoic acid,1172.0,0.01685,0.01879,-0.00194
fatty_acid,14-methylpentadecanoic acid,1296.0,0.21632,0.20963,0.00669
fatty_acid,14-methylpentadecanoic acid,1370.0,0.01383,0.01204,0.0018
fatty_acid,14-methylpentadecanoic acid,1412.0,0.03322,0.02264,0.01058
fatty_acid,15-methylpalmiticacid,466.0,0.01168,0.00821,0.00347
fatty_acid,15-methylpalmiticacid,820.0,0.08645,0.05147,0.03498
fatty_acid,15-methylpalmiticacid,904.0,0.03166,0.04765,-0.01599
fatty_acid,15-methylpalmiticacid,952.0,0.02517,0.01735,0.00782
fatty_acid,15-methylpalmiticacid,1062.0,0.14618,0.17166,-0.02548
fatty_acid,15-methylpalmiticacid,1104.0,0.07793,0.07403,0.0039
fatty_acid,15-methylpalmiticacid,1136.0,0.15931,0.14266,0.01664
fatty_acid,15-methylpalmiticacid,1172.0,0.02142,0.0187,0.00272
fatty_acid,15-methylpalmiticacid,1296.0,0.21999,0.20539,0.0146
fatty_acid,15-methylpalmiticacid,1370.0,0.01122,0.01204,-0.00082
fatty_acid,15-methylpalmiticacid,1448.0,0.20646,0.19728,0.00918
fatty_acid,15-methylpalmiticacid,1464.0,0.15223,0.13781,0.01443
fatty_acid,arachidic acid,894.0,0.03896,0.04959,-0.01063
fatty_acid,arachidic acid,1064.0,0.1849,0.17825,0.00665
fatty_acid,arachidic acid,1108.0,0.03677,0.01768,0.01909
fatty_acid,arachidic acid,1130.0,0.11925,0.15957,-0.04032
fatty_acid,arachidic acid,1172.0,0.03289,0.01697,0.01592
fatty_acid,arachidic acid,1296.0,0.22841,0.2263,0.00211
fatty_acid,arachidic acid,1372.0,0.01045,0.00953,0.00092
fatty_acid,arachidic acid,1418.0,0.05627,0.05509,0.00118
fatty_acid,arachidic acid,1440.0,0.19606,0.1798,0.01626
fatty_acid,arachidic acid,1464.0,0.10543,0.10963,-0.0042
fatty_acid,arachidic acid,1630.0,0.01134,0.00913,0.00221
fatty_acid,arachidonic acid,852.0,0.0218,0.01937,0.00243
fatty_acid,arachidonic acid,972.0,0.01874,0.02909,-0.01036
fatty_acid,arachidonic acid,1260.0,0.08176,0.10035,-0.01859
fatty_acid,arachidonic acid,1438.0,0.05856,0.04569,0.01288
fatty_acid,arachidonic acid,1650.0,0.29214,0.28939,0.00274
fatty_acid,elaidic acid,800.0,0.01594,0.00963,0.00631
fatty_acid,elaidic acid,908.0,0.04223,0.03214,0.01008
fatty_acid,elaidic acid,1064.0,0.01916,0.02725,-0.00809
fatty_acid,elaidic acid,1096.0,0.05146,0.06352,-0.01206
fatty_acid,elaidic acid,1122.0,0.03353,0.02232,0.01122
fatty_acid,elaidic acid,1164.0,0.02746,0.01192,0.01554
fatty_acid,elaidic acid,1302.0,0.04667,0.07178,-0.02511
fatty_acid,elaidic acid,1440.0,0.3235,0.30291,0.0206
fatty_acid,elaidic acid,1466.0,0.12171,0.10533,0.01638
fatty_acid,elaidic acid,1670.0,0.10638,0.06807,0.03831
fatty_acid,lauric acid,464.0,0.01601,0.00521,0.0108
fatty_acid,lauric acid,666.0,0.01159,0.00848,0.00311
fatty_acid,lauric acid,890.0,0.04283,0.04447,-0.00164
fatty_acid,lauric acid,906.0,0.08087,0.03754,0.04333
fatty_acid,lauric acid,1018.0,0.01537,0.00429,0.01108
fatty_acid,lauric acid,1062.0,0.1439,0.16745,-0.02354
fatty_acid,lauric acid,1084.0,0.03141,0.01088,0.02053
fatty_acid,lauric acid,1128.0,0.20281,0.14401,0.0588
fatty_acid,lauric acid,1296.0,0.23582,0.21002,0.0258
fatty_acid,lauric acid,1408.0,0.01482,0.02638,-0.01156
fatty_acid,lauric acid,1444.0,0.1836,0.16202,0.02158
