motif_id,acylglycerol.m00,acylglycerol.m01,acylglycerol.m02,carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite.m01,chromophore_pigment.m00,chromophore_pigment.m01,fatty_acid.m00,fatty_acid.m01,fatty_acid.m02,fatty_acid.m03,fatty_acid.m04,free_amino_acid.m00,free_amino_acid.m01,free_amino_acid.m02,free_amino_acid.m03,free_amino_acid.m04,free_amino_acid.m05,free_amino_acid.m06,mono_oligosaccharide.m00,mono_oligosaccharide.m01,mono_oligosaccharide.m02,mono_oligosaccharide.m03,mono_oligosaccharide.m04,mono_oligosaccharide.m05,nucleic_acid_polymer.m00,peptide_protein.m00,peptide_protein.m01,peptide_protein.m02,peptide_protein.m03,peptide_protein.m04,peptide_protein.m05,peptide_protein.m06,peptide_protein.m07,peptide_protein.m08,peptide_protein.m09,phosphate_metabolite.m00,phospholipid_sphingolipid.m00,phospholipid_sphingolipid.m01,polysaccharide.m00,polysaccharide.m01,purine.m00,purine.m01,pyrimidine.m00,small_nitrogenous.m00,sterol_steroid.m00,sterol_steroid.m01,sterol_steroid.m02,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor.m01
mono_oligosaccharide.m01,0.2762,0.1855,0.2111,0.2425,0.4012,0.0826,0.1428,0.1801,0.2105,0.28,0.1933,0.235,0.1661,0.5968,0.1665,0.264,0.1643,0.4469,0.3406,0.2899,1.0,0.3233,0.4487,0.3092,0.2525,0.3275,0.2607,0.1921,0.4387,0.4607,0.4376,0.2148,0.278,0.4411,0.2179,0.164,0.4455,0.2527,0.4502,0.4644,0.324,0.2977,0.2001,0.1585,0.3539,0.3158,0.2155,0.3335,0.3233,0.2285
mono_oligosaccharide.m02,0.338,0.1367,0.3177,0.238,0.4726,0.1813,0.2932,0.3785,0.1212,0.4081,0.2461,0.2862,0.5289,0.3738,0.2675,0.3125,0.144,0.3042,0.4259,0.429,0.3233,1.0,0.4582,0.2719,0.4629,0.2717,0.2585,0.2688,0.3889,0.5104,0.3659,0.3509,0.2667,0.3509,0.3342,0.2329,0.5026,0.3213,0.5271,0.5158,0.5037,0.4396,0.2829,0.2617,0.2178,0.3254,0.2544,0.2785,0.4828,0.2015
mono_oligosaccharide.m03,0.3188,0.2235,0.2942,0.318,0.7134,0.1728,0.4115,0.3283,0.2251,0.2421,0.2723,0.2932,0.4467,0.5842,0.2652,0.4242,0.3365,0.3297,0.4921,0.5021,0.4487,0.4582,1.0,0.3378,0.476,0.4476,0.3331,0.4563,0.3755,0.6946,0.4025,0.4028,0.3853,0.5077,0.4259,0.4518,0.6294,0.3254,0.6282,0.7214,0.6054,0.5563,0.294,0.3181,0.2353,0.4065,0.3123,0.476,0.6423,0.3017
mono_oligosaccharide.m04,0.4061,0.2532,0.3754,0.2875,0.5229,0.0891,0.2021,0.2961,0.2242,0.3828,0.345,0.3976,0.2657,0.2868,0.2966,0.2658,0.2385,0.3158,0.4671,0.3973,0.3092,0.2719,0.3378,1.0,0.2387,0.4813,0.3584,0.1573,0.4055,0.4405,0.4804,0.3287,0.3471,0.3631,0.3322,0.1482,0.4734,0.4107,0.591,0.4528,0.2887,0.517,0.1388,0.2923,0.244,0.4293,0.3408,0.3218,0.5329,0.223
mono_oligosaccharide.m05,0.2175,0.0997,0.1418,0.2971,0.4241,0.1374,0.2486,0.1877,0.0917,0.2724,0.1971,0.1975,0.3327,0.2782,0.1731,0.504,0.1373,0.2079,0.3096,0.4351,0.2525,0.4629,0.476,0.2387,1.0,0.3321,0.1822,0.2772,0.2834,0.5134,0.1934,0.2671,0.1729,0.2444,0.2007,0.2238,0.4264,0.1941,0.512,0.4834,0.6549,0.3637,0.1372,0.1872,0.3381,0.1793,0.2013,0.314,0.4778,0.2462
nucleic_acid_polymer.m00,0.2826,0.2517,0.2703,0.3913,0.4639,0.1244,0.4726,0.2038,0.2338,0.3162,0.2538,0.2911,0.3822,0.31,0.2682,0.283,0.2274,0.2808,0.4332,0.305,0.3275,0.2717,0.4476,0.4813,0.3321,1.0,0.3816,0.4418,0.2779,0.3998,0.488,0.3965,0.3791,0.3659,0.4032,0.4782,0.4912,0.3227,0.5765,0.4293,0.4731,0.5478,0.2976,0.5623,0.2783,0.3376,0.2952,0.4047,0.6049,0.3861
peptide_protein.m00,0.5573,0.6661,0.4537,0.4644,0.5427,0.0602,0.3077,0.3227,0.5913,0.478,0.5982,0.469,0.3364,0.2689,0.1412,0.289,0.1213,0.2122,0.3948,0.3129,0.2607,0.2585,0.3331,0.3584,0.1822,0.3816,1.0,0.152,0.2422,0.3498,0.6861,0.785,0.8406,0.6594,0.755,0.2286,0.4057,0.6618,0.4629,0.3456,0.3169,0.454,0.2734,0.3728,0.2684,0.6947,0.3069,0.3349,0.4719,0.2906
peptide_protein.m01,0.1761,0.1059,0.2119,0.2384,0.3761,0.1255,0.6434,0.2407,0.1172,0.171,0.1147,0.1737,0.4097,0.2754,0.2534,0.2196,0.3012,0.235,0.3444,0.2515,0.1921,0.2688,0.4563,0.1573,0.2772,0.4418,0.152,1.0,0.2108,0.3143,0.2102,0.2653,0.1969,0.2891,0.3034,0.7408,0.3555,0.1654,0.376,0.3952,0.3456,0.3531,0.2299,0.2235,0.2101,0.2114,0.3279,0.3435,0.4724,0.2029
peptide_protein.m02,0.3084,0.14,0.2361,0.3443,0.3432,0.105,0.1627,0.2534,0.1344,0.3046,0.2474,0.2867,0.3313,0.3428,0.3137,0.2839,0.2786,0.3792,0.3419,0.3425,0.4387,0.3889,0.3755,0.4055,0.2834,0.2779,0.2422,0.2108,1.0,0.3638,0.2995,0.291,0.2965,0.3999,0.271,0.1527,0.4083,0.2841,0.5428,0.3836,0.2825,0.4133,0.1535,0.1244,0.6695,0.3253,0.2586,0.294,0.468,0.2438
peptide_protein.m03,0.3267,0.2172,0.293,0.3899,0.6997,0.2424,0.3339,0.3048,0.2068,0.3659,0.2721,0.3195,0.5522,0.4421,0.2268,0.4191,0.211,0.2751,0.4619,0.4832,0.4607,0.5104,0.6946,0.4405,0.5134,0.3998,0.3498,0.3143,0.3638,1.0,0.4099,0.4106,0.3335,0.435,0.3794,0.289,0.6074,0.334,0.6623,0.9701,0.6465,0.5414,0.2866,0.206,0.2127,0.3723,0.2586,0.4154,0.5776,0.2608
