chemical_class,molecule,k_c,ev,rmse,cosine,residual_energy,band_ev,n_bands,n_motifs_used
carboxylic_acid_metabolite,malic acid,2,0.30652,0.0245,0.55364,0.69348,0.32225,16,2
carboxylic_acid_metabolite,pyruvate,2,0.54031,0.0219,0.73506,0.45969,0.52899,17,2
carboxylic_acid_metabolite,succinic acid,2,0.5695,0.02524,0.75466,0.4305,0.66825,9,1
chromophore_pigment,carotene,2,0.96212,0.00749,0.98088,0.03788,0.98074,6,1
chromophore_pigment,melanin,2,0.67063,0.02186,0.81892,0.32937,0.81857,2,1
chromophore_pigment,riboflavin,2,0.62545,0.02327,0.79086,0.37455,0.75844,18,2
chromophore_pigment,β-carotene,2,0.96292,0.00741,0.98128,0.03708,0.99731,5,1
fatty_acid,12-methyltetradecanoic acid,5,0.92009,0.01087,0.95921,0.07991,0.91419,16,2
fatty_acid,13-methylmyristicacid,5,0.92662,0.01042,0.96261,0.07338,0.94642,13,2
fatty_acid,14-methylhexadecanoic acid,5,0.94131,0.00932,0.97021,0.05869,0.94427,17,2
fatty_acid,14-methylpentadecanoic acid,5,0.98242,0.0051,0.99117,0.01758,0.99545,15,2
fatty_acid,15-methylpalmiticacid,5,0.97755,0.00576,0.98871,0.02245,0.98299,13,2
fatty_acid,arachidic acid,5,0.96604,0.00709,0.98287,0.03396,0.98289,11,4
fatty_acid,arachidonic acid,5,0.95935,0.00775,0.97946,0.04065,0.99344,5,1
fatty_acid,elaidic acid,5,0.94253,0.00922,0.97084,0.05747,0.97491,10,1
fatty_acid,lauric acid,5,0.90232,0.01202,0.94991,0.09768,0.95126,12,4
fatty_acid,linoleic acid,5,0.99026,0.0038,0.99512,0.00974,0.99811,7,2
fatty_acid,myristic acid,5,0.97042,0.00646,0.9851,0.02958,0.9836,11,1
fatty_acid,oleate,5,0.94917,0.0086,0.97425,0.05083,0.96732,9,4
fatty_acid,palmitic acid,5,0.9554,0.00788,0.97745,0.0446,0.97969,12,4
fatty_acid,palmitoleic acid,5,0.97625,0.00593,0.98805,0.02375,0.98516,7,3
fatty_acid,stearate,5,0.9437,0.00892,0.97144,0.0563,0.96669,13,4
fatty_acid,vaccenic acid,5,0.9577,0.00791,0.97862,0.0423,0.97223,11,4
fatty_acid,α-linolenic acid,5,0.97976,0.00547,0.98983,0.02024,0.98747,7,2
free_amino_acid,alanine,7,0.79269,0.01685,0.89033,0.20731,0.84368,15,4
free_amino_acid,arginine,7,0.83669,0.01466,0.91471,0.16331,0.91004,17,1
free_amino_acid,asparagine,7,0.76049,0.01882,0.87206,0.23951,0.86632,18,1
free_amino_acid,aspartate,7,0.76388,0.0163,0.874,0.23612,0.85722,19,4
free_amino_acid,cysteine,7,0.94803,0.00877,0.97367,0.05197,0.99046,17,1
free_amino_acid,glutamate,7,0.70197,0.01821,0.83783,0.29803,0.67983,20,6
free_amino_acid,glycine,7,0.83282,0.0143,0.91259,0.16718,0.93388,10,1
free_amino_acid,histidine,7,0.63335,0.02165,0.79583,0.36665,0.69781,23,3
free_amino_acid,hydroxyproline,7,0.77905,0.01808,0.88264,0.22095,0.90597,14,2
free_amino_acid,isoleucine,7,0.69734,0.02111,0.83507,0.30266,0.75903,30,6
free_amino_acid,leucine,7,0.74429,0.01876,0.86272,0.25571,0.78845,21,4
free_amino_acid,methionine,7,0.68152,0.0209,0.82554,0.31848,0.66818,21,4
free_amino_acid,phenylalanine,7,0.92839,0.0101,0.96353,0.07161,0.98697,15,2
free_amino_acid,proline,7,0.70592,0.01929,0.84019,0.29408,0.82101,20,3
free_amino_acid,serine,7,0.81023,0.01567,0.90013,0.18977,0.88676,14,4
free_amino_acid,tryptophan,7,0.65559,0.02185,0.80968,0.34441,0.74098,26,3
free_amino_acid,tyrosine,7,0.94325,0.00901,0.97121,0.05675,0.99069,17,1
free_amino_acid,valine,7,0.72371,0.01946,0.85071,0.27629,0.76791,23,4
mono_oligosaccharide,(+)-arabinose,6,0.95268,0.00837,0.97605,0.04732,0.98252,16,2
mono_oligosaccharide,(+)-fucose,6,0.6144,0.02388,0.78384,0.3856,0.709,24,3
mono_oligosaccharide,(+)-galactosamine,6,0.90341,0.01195,0.95048,0.09659,0.94862,22,1
mono_oligosaccharide,(+)-galactose,6,0.89758,0.01123,0.94741,0.10242,0.91784,24,5
