canonical_id,source_forms,fine_class,broad_class,old_family,expected_theme,primary_motif,conflict
papain,papain,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
pepsin,pepsin,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
pepsinogen,pepsinogen,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
phenylalanine,phenylalanine,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,aromatic_ring_residue,False
phosphate,phosphate,phosphate_metabolite,energy_metabolism,organic_acid,Carbohydrate chemistry,nucleic_backbone_phosphate,False
phosphatidylinositol,phosphatidylinositol,phospholipid_sphingolipid,lipid,lipid,Carbohydrate chemistry,nucleic_backbone_phosphate,False
phosphoenolpyruvate,phosphoenolpyruvate,phosphate_metabolite,energy_metabolism,organic_acid,Carbohydrate chemistry,nucleic_backbone_phosphate,False
proline,proline,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,amino_acid_zwitterion,False
pyruvate,pyruvate,carboxylic_acid_metabolite,energy_metabolism,organic_acid,Carbohydrate chemistry,nucleic_backbone_phosphate,False
riboflavin,riboflavin;riboﬂavin,chromophore_pigment,redox_cofactor,cofactor,Redox / pigments,flavin_redox_cofactor,False
serine,serine,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,amino_acid_zwitterion,False
sphingomyelin,sphingomyelin,phospholipid_sphingolipid,lipid,phospholipid,,,False
stearate,stearate,fatty_acid,lipid,lipid,Redox / pigments,sterol_ring_system,False
succinic acid,succinic acid,carboxylic_acid_metabolite,energy_metabolism,organic_acid,Energy metabolism,carboxylate_organic_acid,False
superoxide dismutases,superoxide dismutases,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
t-rna,t-rna,nucleic_acid_polymer,nucleic,nucleic_acid,Nucleic chemistry,purine_ring_breathing,False
thaumatin,thaumatin,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
thymine,thymine,pyrimidine,nucleic,pyrimidine,Nucleic chemistry,pyrimidine_ring,False
tri-11-eicosenoin,tri-11-eicosenoin,acylglycerol,lipid,unknown,Lipid chemistry,triglyceride_ester,False
triarachidin,triarachidin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tribehenin,tribehenin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tricaprin,tricaprin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tricaproin,tricaproin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tricaprylin,tricaprylin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trielaidin,trielaidin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trierucin,trierucin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trilaurin,trilaurin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trilinolein,trilinolein,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trilinolenin,trilinolenin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trimyristin,trimyristin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
triolein,triolein,acylglycerol,lipid,lipid,Lipid chemistry,triglyceride_ester,False
triosephosphate isomerase,triosephosphate isomerase,peptide_protein,protein_amino_acid,protein,Carbohydrate chemistry,nucleic_backbone_phosphate,False
tripalmitin,tripalmitin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tripalmitolein,tripalmitolein,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tripetroselinin,tripetroselinin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
tristearin,tristearin,acylglycerol,lipid,triglyceride,Lipid chemistry,triglyceride_ester,False
trypsin,trypsin,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
trypsin inhibitor,trypsin inhibitor,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
trypsinogen,trypsinogen,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
tryptophan,tryptophan,free_amino_acid,protein_amino_acid,amino_acid,Protein chemistry,aromatic_ring_residue,False
tubulin,tubulin,peptide_protein,protein_amino_acid,protein,Protein chemistry,protein_amide_backbone,False
