spectrum_id,analyte,source,excitation_nm,snr_estimate,snr_score,grid_coverage,n_nan_bins,contrast,n_peaks,peak_density,quality_score,qc_pass,q_version,canonical_id,weight_quality,weight_uniform
ramanbiolib::97,lactalbumin,RamanBioLib,532.0,370.75,0.9071,1.0,0,0.8547,24,0.8,0.887428,True,v7_q_v2,lactalbumin,0.3319963860898128,0.3333333333333333
ramanbiolib::98,lactalbumin,RamanBioLib,1064.0,277.507,0.8171,1.0,0,0.8845,28,0.9333,0.906263,True,v7_q_v2,lactalbumin,0.33904276273332823,0.3333333333333333
ramanbiolib::99,albumin,RamanBioLib,488.0,173.003,0.6703,1.0,0,0.8781,38,1.0,0.875882,True,v7_q_v2,albumin,0.17089473495260352,0.14285714285714285
ramanbiolib::100,albumin,RamanBioLib,532.0,376.598,0.9119,1.0,0,0.8679,23,0.7667,0.882593,True,v7_q_v2,albumin,0.17220412887355052,0.14285714285714285
ramanbiolib::101,albumin,RamanBioLib,1064.0,432.555,0.955,1.0,0,0.894,26,0.8667,0.927452,True,v7_q_v2,albumin,0.18095663995979142,0.14285714285714285
ramanbiolib::102,carbonic anhydrase,RamanBioLib,488.0,314.288,0.8558,1.0,0,0.8846,25,0.8333,0.891214,True,v7_q_v2,carbonic anhydrase,0.33483893268009707,0.3333333333333333
ramanbiolib::103,carbonic anhydrase,RamanBioLib,532.0,401.974,0.9322,1.0,0,0.8707,21,0.7,0.868193,True,v7_q_v2,carbonic anhydrase,0.32618968898640677,0.3333333333333333
ramanbiolib::104,carbonic anhydrase,RamanBioLib,1064.0,322.014,0.8633,1.0,0,0.8856,26,0.8667,0.902213,True,v7_q_v2,carbonic anhydrase,0.33897137833349616,0.3333333333333333
ramanbiolib::105,collagen,RamanBioLib,488.0,205.552,0.7238,1.0,0,0.8652,36,1.0,0.889594,True,v7_q_v2,collagen,0.3363147951909987,0.3333333333333333
ramanbiolib::106,collagen,RamanBioLib,532.0,490.162,0.9938,1.0,0,0.8798,19,0.6333,0.862643,True,v7_q_v2,collagen,0.3261258550169501,0.3333333333333333
ramanbiolib::107,collagen,RamanBioLib,1064.0,294.094,0.8351,1.0,0,0.8782,26,0.8667,0.892886,True,v7_q_v2,collagen,0.33755934979205127,0.3333333333333333
ramanbiolib::108,α-chymotrypsinogen a (type ii),RamanBioLib,488.0,544.893,1.0,1.0,0,0.8865,16,0.5333,0.829212,True,v7_q_v2,α-chymotrypsinogen a (type ii),0.3252778669110269,0.3333333333333333
ramanbiolib::109,α-chymotrypsinogen a (type ii),RamanBioLib,532.0,470.719,0.9813,1.0,0,0.8795,16,0.5333,0.823675,True,v7_q_v2,α-chymotrypsinogen a (type ii),0.32310584871895254,0.3333333333333333
ramanbiolib::110,α-chymotrypsinogen a (type ii),RamanBioLib,1064.0,451.079,0.968,1.0,0,0.9094,22,0.7333,0.896355,True,v7_q_v2,α-chymotrypsinogen a (type ii),0.35161628437002057,0.3333333333333333
ramanbiolib::111,elastase,RamanBioLib,488.0,312.522,0.854,1.0,0,0.8567,26,0.8667,0.892344,True,v7_q_v2,elastase,0.3344295545743907,0.3333333333333333
ramanbiolib::112,elastase,RamanBioLib,532.0,306.804,0.8483,1.0,0,0.8525,23,0.7667,0.862891,True,v7_q_v2,elastase,0.3233912625358052,0.3333333333333333
ramanbiolib::113,elastase,RamanBioLib,1064.0,269.653,0.8082,1.0,0,0.8598,30,1.0,0.913022,True,v7_q_v2,elastase,0.3421791828898041,0.3333333333333333
ramanbiolib::114,ferritin,RamanBioLib,488.0,183.501,0.6886,1.0,0,0.8714,39,1.0,0.880118,True,v7_q_v2,ferritin,0.3476546529903969,0.3333333333333333
ramanbiolib::115,ferritin,RamanBioLib,532.0,93.115,0.4778,1.0,0,0.7605,45,1.0,0.776415,True,v7_q_v2,ferritin,0.30669102029675455,0.3333333333333333
ramanbiolib::116,ferritin,RamanBioLib,1064.0,177.451,0.6782,1.0,0,0.8646,43,1.0,0.875054,True,v7_q_v2,ferritin,0.3456543267128485,0.3333333333333333
ramanbiolib::117,glutathione transferase,RamanBioLib,488.0,270.491,0.8091,1.0,0,0.8473,29,0.9667,0.902252,True,v7_q_v2,glutathione transferase,0.5119901035327097,0.5
ramanbiolib::118,glutathione transferase,RamanBioLib,532.0,286.829,0.8274,1.0,0,0.8623,23,0.7667,0.859993,True,v7_q_v2,glutathione transferase,0.4880098964672903,0.5
ramanbiolib::119,horseradish peroxidase,RamanBioLib,488.0,281.196,0.8212,1.0,0,0.8802,27,0.9,0.898096,True,v7_q_v2,horseradish peroxidase,0.5170016648207036,0.5
ramanbiolib::120,horseradish peroxidase,RamanBioLib,532.0,148.761,0.6234,1.0,0,0.795,38,1.0,0.839028,True,v7_q_v2,horseradish peroxidase,0.4829983351792963,0.5
ramanbiolib::121,hemoglobin,RamanBioLib,488.0,453.738,0.9698,1.0,0,0.9325,27,0.9,0.949831,True,v7_q_v2,hemoglobin,0.5033371894055696,0.5
