canonical_id,canonical_name,n_surface_forms,surface_forms,aliases,merge_kinds,n_spectra,n_sources,sources,n_excitations,excitations,cross_source_merge,fine_class,broad_class,old_family
isoleucine,isoleucine,1,isoleucine,,,3,1,gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
keratin,keratin,1,keratin,,,1,1,RamanBioLib,1,1064.0,False,peptide_protein,protein_amino_acid,protein
lactalbumin,lactalbumin,1,lactalbumin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
lactate,lactate,1,lactate,,,3,1,gobbato_raman_metabolites,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
lauric acid,lauric acid,1,lauric acid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
lectin,lectin,1,lectin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
leucine,leucine,1,leucine,,,4,2,amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
linoleic acid,linoleic acid,1,linoleic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,fatty_acid
major proteinase,major proteinase,1,major proteinase,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
malic acid,malic acid,1,malic acid,,,2,2,RamanBioLib;amino_acid_raman_grounding,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
melanin,melanin,1,melanin,,,4,1,RamanBioLib,4,457.9;514.5;632.8;785.0,False,chromophore_pigment,redox_cofactor,unknown
methionine,methionine,1,methionine,,,4,2,amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
myoglobin,myoglobin,1,myoglobin,,,2,1,RamanBioLib,2,488.0;532.0,False,peptide_protein,protein_amino_acid,protein
myristic acid,myristic acid,1,myristic acid,,,2,1,RamanBioLib,2,532.0;785.0,False,fatty_acid,lipid,fatty_acid
n-acetylglucosamine,n-acetylglucosamine,2,n-acetyl- d-glucosamine;n-acetylglucosamine,n-acetyl- d-glucosamine,orthographic,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,True,mono_oligosaccharide,carbohydrate,saccharide
oleate,oleate,1,oleate,,,5,2,RamanBioLib;gobbato_raman_metabolites,2,532.0;785.0,False,fatty_acid,lipid,lipid
palmitic acid,palmitic acid,1,palmitic acid,,,2,1,RamanBioLib,2,532.0;785.0,False,fatty_acid,lipid,fatty_acid
palmitoleic acid,palmitoleic acid,1,palmitoleic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,organic_acid
papain,papain,1,papain,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
pepsin,pepsin,1,pepsin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
pepsinogen,pepsinogen,1,pepsinogen,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
phenylalanine,phenylalanine,1,phenylalanine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
phosphate,phosphate,1,phosphate,,,3,1,gobbato_raman_metabolites,1,785.0,False,phosphate_metabolite,energy_metabolism,organic_acid
phosphatidylinositol,phosphatidylinositol,1,phosphatidylinositol,,,3,1,gobbato_raman_metabolites,1,785.0,False,phospholipid_sphingolipid,lipid,lipid
phosphoenolpyruvate,phosphoenolpyruvate,1,phosphoenolpyruvate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,phosphate_metabolite,energy_metabolism,organic_acid
proline,proline,1,proline,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
pyruvate,pyruvate,1,pyruvate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
riboflavin,riboflavin,2,riboflavin;riboﬂavin,riboﬂavin,unicode_ligature;unicode_nfkc,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,True,chromophore_pigment,redox_cofactor,cofactor
serine,serine,1,serine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
sphingomyelin,sphingomyelin,1,sphingomyelin,,,1,1,RamanBioLib,1,532.0,False,phospholipid_sphingolipid,lipid,phospholipid
stearate,stearate,1,stearate,,,5,2,RamanBioLib;gobbato_raman_metabolites,2,532.0;785.0,False,fatty_acid,lipid,lipid
succinic acid,succinic acid,1,succinic acid,,,1,1,RamanBioLib,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
superoxide dismutases,superoxide dismutases,1,superoxide dismutases,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
t-rna,t-rna,1,t-rna,,,1,1,RamanBioLib,1,488.0,False,nucleic_acid_polymer,nucleic,nucleic_acid
thaumatin,thaumatin,1,thaumatin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
thymine,thymine,1,thymine,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,pyrimidine,nucleic,pyrimidine
tri-11-eicosenoin,tri-11-eicosenoin,1,tri-11-eicosenoin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,unknown
triarachidin,triarachidin,1,triarachidin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tribehenin,tribehenin,1,tribehenin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tricaprin,tricaprin,1,tricaprin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tricaproin,tricaproin,1,tricaproin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tricaprylin,tricaprylin,1,tricaprylin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
trielaidin,trielaidin,1,trielaidin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
trierucin,trierucin,1,trierucin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
trilaurin,trilaurin,1,trilaurin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
trilinolein,trilinolein,1,trilinolein,,,2,1,RamanBioLib,2,785.0;1064.0,False,acylglycerol,lipid,triglyceride
trilinolenin,trilinolenin,1,trilinolenin,,,2,1,RamanBioLib,2,785.0;1064.0,False,acylglycerol,lipid,triglyceride
trimyristin,trimyristin,1,trimyristin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
triolein,triolein,1,triolein,,,5,2,RamanBioLib;gobbato_raman_metabolites,2,785.0;1064.0,False,acylglycerol,lipid,lipid
triosephosphate isomerase,triosephosphate isomerase,1,triosephosphate isomerase,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
tripalmitin,tripalmitin,1,tripalmitin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tripalmitolein,tripalmitolein,1,tripalmitolein,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tripetroselinin,tripetroselinin,1,tripetroselinin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
tristearin,tristearin,1,tristearin,,,1,1,RamanBioLib,1,1064.0,False,acylglycerol,lipid,triglyceride
trypsin,trypsin,1,trypsin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
trypsin inhibitor,trypsin inhibitor,1,trypsin inhibitor,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
trypsinogen,trypsinogen,1,trypsinogen,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
tryptophan,tryptophan,1,tryptophan,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
tubulin,tubulin,1,tubulin,,,1,1,RamanBioLib,1,532.0,False,peptide_protein,protein_amino_acid,protein
tyrosine,tyrosine,1,tyrosine,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
ubiquitin,ubiquitin,1,ubiquitin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
uracil,uracil,1,uracil,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,pyrimidine,nucleic,pyrimidine
urate,urate,1,urate,,,3,1,gobbato_raman_metabolites,1,785.0,False,purine,nucleic,purine
urea,urea,2,ure;urea,ure,truncation,4,2,amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,True,small_nitrogenous,energy_metabolism,small_nitrogenous
vaccenic acid,vaccenic acid,1,vaccenic acid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,organic_acid
valine,valine,1,valine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
xanthine,xanthine,1,xanthine,,,3,1,gobbato_raman_metabolites,1,785.0,False,purine,nucleic,purine
xylanase,xylanase,1,xylanase,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),1,α-chymotrypsinogen a (type ii),,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
α-linolenic acid,α-linolenic acid,1,α-linolenic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,fatty_acid
α-phosphatidylcholine,α-phosphatidylcholine,1,α-phosphatidylcholine,,,1,1,RamanBioLib,1,532.0,False,phospholipid_sphingolipid,lipid,unknown
α-phosphatidylethanolamine,α-phosphatidylethanolamine,1,α-phosphatidylethanolamine,,,1,1,RamanBioLib,1,532.0,False,phospholipid_sphingolipid,lipid,unknown
β-carotene,β-carotene,1,β-carotene,,,1,1,RamanBioLib,1,785.0,False,chromophore_pigment,redox_cofactor,carotenoid
β-d-glucose,β-d-glucose,1,β-d-glucose,,,1,1,RamanBioLib,1,785.0,False,mono_oligosaccharide,carbohydrate,saccharide
