perturbation,level,model,top1,top5,mrr
wavelength_shift,2.0,A_raw_spectrum,0.9626666666666667,1.0,0.9788888888888888
wavelength_shift,2.0,B_csm,0.888,0.9946666666666667,0.9366051282051282
wavelength_shift,2.0,C_chemistry_rerank,0.888,0.9946666666666667,0.9366051282051282
wavelength_shift,4.0,A_raw_spectrum,0.9466666666666667,0.9973333333333333,0.9693333333333334
wavelength_shift,4.0,B_csm,0.856,0.992,0.9177162393162394
wavelength_shift,4.0,C_chemistry_rerank,0.856,0.992,0.9177162393162394
wavelength_shift,8.0,A_raw_spectrum,0.8906666666666667,0.976,0.9267061864061864
wavelength_shift,8.0,B_csm,0.776,0.9733333333333334,0.8609311503311504
wavelength_shift,8.0,C_chemistry_rerank,0.776,0.9733333333333334,0.8609311503311504
wavelength_shift,16.0,A_raw_spectrum,0.6133333333333333,0.8053333333333333,0.7008056584953523
wavelength_shift,16.0,B_csm,0.544,0.752,0.6392442565264947
wavelength_shift,16.0,C_chemistry_rerank,0.544,0.752,0.6392442565264947
band_broadening,1.0,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
band_broadening,1.0,B_csm,0.9013333333333333,0.9973333333333333,0.9442051282051283
band_broadening,1.0,C_chemistry_rerank,0.9013333333333333,0.9973333333333333,0.9442051282051283
band_broadening,2.0,A_raw_spectrum,0.968,1.0,0.9815555555555555
band_broadening,2.0,B_csm,0.896,0.9973333333333333,0.9419829059829059
band_broadening,2.0,C_chemistry_rerank,0.896,0.9973333333333333,0.9419829059829059
band_broadening,4.0,A_raw_spectrum,0.9626666666666667,1.0,0.9780888888888888
band_broadening,4.0,B_csm,0.904,0.9973333333333333,0.9450793650793652
band_broadening,4.0,C_chemistry_rerank,0.904,0.9973333333333333,0.9450793650793652
band_broadening,8.0,A_raw_spectrum,0.9306666666666666,0.9946666666666667,0.9581333333333334
band_broadening,8.0,B_csm,0.8133333333333334,0.992,0.8851174603174603
band_broadening,8.0,C_chemistry_rerank,0.8133333333333334,0.992,0.8851174603174603
band_broadening,16.0,A_raw_spectrum,0.7893333333333333,0.96,0.8603343728356516
band_broadening,16.0,B_csm,0.6666666666666666,0.8933333333333333,0.7669238738756179
band_broadening,16.0,C_chemistry_rerank,0.6666666666666666,0.8933333333333333,0.7669238738756179
cosmic_spikes,1.0,A_raw_spectrum,0.9573333333333334,0.9973333333333333,0.9757142857142858
cosmic_spikes,1.0,B_csm,0.8586666666666667,0.9866666666666667,0.9167490435490435
cosmic_spikes,1.0,C_chemistry_rerank,0.8586666666666667,0.9866666666666667,0.9167490435490435
cosmic_spikes,2.0,A_raw_spectrum,0.9546666666666667,0.9946666666666667,0.9736666666666667
cosmic_spikes,2.0,B_csm,0.8266666666666667,0.992,0.8977809523809523
cosmic_spikes,2.0,C_chemistry_rerank,0.8266666666666667,0.992,0.8977809523809523
cosmic_spikes,4.0,A_raw_spectrum,0.952,1.0,0.9732000000000002
cosmic_spikes,4.0,B_csm,0.7466666666666667,0.9813333333333333,0.8514751322751324
cosmic_spikes,4.0,C_chemistry_rerank,0.7466666666666667,0.9813333333333333,0.8514751322751324
cosmic_spikes,8.0,A_raw_spectrum,0.9146666666666666,0.9946666666666667,0.9519661375661376
cosmic_spikes,8.0,B_csm,0.712,0.9626666666666667,0.81885291005291
cosmic_spikes,8.0,C_chemistry_rerank,0.712,0.9626666666666667,0.81885291005291
cosmic_spikes,16.0,A_raw_spectrum,0.8106666666666666,0.96,0.8798915343915344
cosmic_spikes,16.0,B_csm,0.5893333333333334,0.9066666666666666,0.7234231656014329
cosmic_spikes,16.0,C_chemistry_rerank,0.5893333333333334,0.9066666666666666,0.7234231656014329
