molecule,true_class,fold,rank_csm,rank_chem,moved,helped,hurt
leucine,free_amino_acid,4,2,2,0,False,False
linoleic acid,fatty_acid,4,154,154,0,False,False
major proteinase,peptide_protein,2,2,2,0,False,False
major proteinase,peptide_protein,2,1,1,0,False,False
major proteinase,peptide_protein,2,2,2,0,False,False
malic acid,carboxylic_acid_metabolite,3,109,109,0,False,False
malic acid,carboxylic_acid_metabolite,3,110,110,0,False,False
melanin,chromophore_pigment,2,1,1,0,False,False
melanin,chromophore_pigment,2,1,1,0,False,False
melanin,chromophore_pigment,2,1,1,0,False,False
melanin,chromophore_pigment,2,1,1,0,False,False
methionine,free_amino_acid,2,1,1,0,False,False
methionine,free_amino_acid,2,1,1,0,False,False
methionine,free_amino_acid,2,1,1,0,False,False
methionine,free_amino_acid,2,1,1,0,False,False
myoglobin,peptide_protein,1,4,4,0,False,False
myoglobin,peptide_protein,1,3,3,0,False,False
myristic acid,fatty_acid,0,1,1,0,False,False
myristic acid,fatty_acid,0,1,1,0,False,False
n-acetylglucosamine,mono_oligosaccharide,3,1,1,0,False,False
n-acetylglucosamine,mono_oligosaccharide,3,1,1,0,False,False
n-acetylglucosamine,mono_oligosaccharide,3,1,1,0,False,False
n-acetylglucosamine,mono_oligosaccharide,3,1,1,0,False,False
oleate,fatty_acid,1,2,2,0,False,False
oleate,fatty_acid,1,3,3,0,False,False
oleate,fatty_acid,1,1,1,0,False,False
oleate,fatty_acid,1,1,1,0,False,False
oleate,fatty_acid,1,1,1,0,False,False
palmitic acid,fatty_acid,0,3,3,0,False,False
palmitic acid,fatty_acid,0,2,2,0,False,False
palmitoleic acid,fatty_acid,0,154,154,0,False,False
papain,peptide_protein,4,1,1,0,False,False
papain,peptide_protein,4,1,1,0,False,False
papain,peptide_protein,4,1,1,0,False,False
pepsin,peptide_protein,4,6,6,0,False,False
pepsin,peptide_protein,4,2,2,0,False,False
pepsin,peptide_protein,4,1,1,0,False,False
pepsinogen,peptide_protein,0,2,2,0,False,False
pepsinogen,peptide_protein,0,2,2,0,False,False
pepsinogen,peptide_protein,0,3,3,0,False,False
phenylalanine,free_amino_acid,4,1,1,0,False,False
phenylalanine,free_amino_acid,4,1,1,0,False,False
phenylalanine,free_amino_acid,4,1,1,0,False,False
phenylalanine,free_amino_acid,4,1,1,0,False,False
phenylalanine,free_amino_acid,4,1,1,0,False,False
phosphate,phosphate_metabolite,3,1,1,0,False,False
phosphate,phosphate_metabolite,3,1,1,0,False,False
phosphate,phosphate_metabolite,3,1,1,0,False,False
phosphatidylinositol,phospholipid_sphingolipid,4,1,1,0,False,False
phosphatidylinositol,phospholipid_sphingolipid,4,1,1,0,False,False
phosphatidylinositol,phospholipid_sphingolipid,4,1,1,0,False,False
phosphoenolpyruvate,phosphate_metabolite,1,6,6,0,False,False
phosphoenolpyruvate,phosphate_metabolite,1,1,1,0,False,False
phosphoenolpyruvate,phosphate_metabolite,1,1,1,0,False,False
phosphoenolpyruvate,phosphate_metabolite,1,1,1,0,False,False
proline,free_amino_acid,2,1,1,0,False,False
proline,free_amino_acid,2,1,1,0,False,False
proline,free_amino_acid,2,1,1,0,False,False
proline,free_amino_acid,2,1,1,0,False,False
proline,free_amino_acid,2,2,2,0,False,False
pyruvate,carboxylic_acid_metabolite,1,4,4,0,False,False
pyruvate,carboxylic_acid_metabolite,1,1,1,0,False,False
pyruvate,carboxylic_acid_metabolite,1,1,1,0,False,False
pyruvate,carboxylic_acid_metabolite,1,1,1,0,False,False
riboflavin,chromophore_pigment,4,1,1,0,False,False
riboflavin,chromophore_pigment,4,1,1,0,False,False
riboflavin,chromophore_pigment,4,1,1,0,False,False
riboflavin,chromophore_pigment,4,1,1,0,False,False
serine,free_amino_acid,3,1,1,0,False,False
serine,free_amino_acid,3,1,1,0,False,False
serine,free_amino_acid,3,1,1,0,False,False
serine,free_amino_acid,3,1,1,0,False,False
serine,free_amino_acid,3,3,3,0,False,False
sphingomyelin,phospholipid_sphingolipid,0,154,154,0,False,False
stearate,fatty_acid,3,1,1,0,False,False
stearate,fatty_acid,3,18,18,0,False,False
stearate,fatty_acid,3,2,2,0,False,False
stearate,fatty_acid,3,2,2,0,False,False
stearate,fatty_acid,3,2,2,0,False,False
