axis,recall,precision
carboxylic_acid_metabolite,1.0,0.07516339869281045
carboxylic_acid_metabolite,1.0,0.07540983606557378
carboxylic_acid_metabolite,1.0,0.0756578947368421
carboxylic_acid_metabolite,1.0,0.07590759075907591
carboxylic_acid_metabolite,1.0,0.076158940397351
carboxylic_acid_metabolite,1.0,0.07641196013289037
carboxylic_acid_metabolite,1.0,0.07666666666666666
carboxylic_acid_metabolite,1.0,0.07692307692307693
carboxylic_acid_metabolite,1.0,0.07718120805369127
carboxylic_acid_metabolite,1.0,0.07744107744107744
carboxylic_acid_metabolite,1.0,0.0777027027027027
carboxylic_acid_metabolite,1.0,0.07796610169491526
carboxylic_acid_metabolite,1.0,0.0782312925170068
carboxylic_acid_metabolite,1.0,0.07849829351535836
carboxylic_acid_metabolite,1.0,0.07876712328767123
carboxylic_acid_metabolite,1.0,0.07903780068728522
carboxylic_acid_metabolite,1.0,0.07931034482758621
carboxylic_acid_metabolite,1.0,0.07958477508650519
carboxylic_acid_metabolite,1.0,0.0798611111111111
carboxylic_acid_metabolite,1.0,0.08013937282229965
carboxylic_acid_metabolite,1.0,0.08041958041958042
carboxylic_acid_metabolite,1.0,0.08070175438596491
carboxylic_acid_metabolite,1.0,0.08098591549295775
carboxylic_acid_metabolite,1.0,0.0812720848056537
carboxylic_acid_metabolite,1.0,0.08156028368794327
carboxylic_acid_metabolite,1.0,0.08185053380782918
carboxylic_acid_metabolite,1.0,0.08214285714285714
carboxylic_acid_metabolite,1.0,0.08243727598566308
carboxylic_acid_metabolite,1.0,0.08273381294964029
carboxylic_acid_metabolite,1.0,0.08303249097472924
carboxylic_acid_metabolite,1.0,0.08333333333333333
carboxylic_acid_metabolite,1.0,0.08363636363636363
carboxylic_acid_metabolite,1.0,0.08394160583941605
carboxylic_acid_metabolite,1.0,0.08424908424908426
carboxylic_acid_metabolite,1.0,0.08455882352941177
carboxylic_acid_metabolite,1.0,0.08487084870848709
carboxylic_acid_metabolite,1.0,0.08518518518518518
carboxylic_acid_metabolite,1.0,0.08550185873605948
carboxylic_acid_metabolite,1.0,0.08582089552238806
carboxylic_acid_metabolite,1.0,0.08614232209737828
carboxylic_acid_metabolite,1.0,0.08646616541353383
carboxylic_acid_metabolite,1.0,0.08679245283018867
carboxylic_acid_metabolite,1.0,0.08712121212121213
carboxylic_acid_metabolite,1.0,0.08745247148288973
carboxylic_acid_metabolite,1.0,0.08778625954198473
carboxylic_acid_metabolite,1.0,0.08812260536398467
carboxylic_acid_metabolite,1.0,0.08846153846153847
carboxylic_acid_metabolite,1.0,0.0888030888030888
carboxylic_acid_metabolite,1.0,0.08914728682170543
carboxylic_acid_metabolite,1.0,0.08949416342412451
carboxylic_acid_metabolite,1.0,0.08984375
carboxylic_acid_metabolite,1.0,0.09019607843137255
carboxylic_acid_metabolite,1.0,0.09055118110236221
carboxylic_acid_metabolite,1.0,0.09090909090909091
carboxylic_acid_metabolite,1.0,0.09126984126984126
carboxylic_acid_metabolite,1.0,0.09163346613545817
carboxylic_acid_metabolite,1.0,0.092
carboxylic_acid_metabolite,1.0,0.09236947791164658
carboxylic_acid_metabolite,1.0,0.09274193548387097
carboxylic_acid_metabolite,1.0,0.0931174089068826
carboxylic_acid_metabolite,1.0,0.09349593495934959
carboxylic_acid_metabolite,1.0,0.09387755102040816
carboxylic_acid_metabolite,1.0,0.0942622950819672
carboxylic_acid_metabolite,1.0,0.09465020576131687
carboxylic_acid_metabolite,1.0,0.09504132231404959
carboxylic_acid_metabolite,1.0,0.0954356846473029
carboxylic_acid_metabolite,1.0,0.09583333333333334
carboxylic_acid_metabolite,1.0,0.09623430962343096
