perturbation,level,representation,A_top1,A_top5,A_mrr,B_top1,B_macro_f1,activation_stability,replicate_consistency
fluorescence,0.1,META,0.08737864077669903,0.284789644012945,0.19601864310527706,0.352,0.17366122909954979,0.9813667686381012,0.9689233379302739
fluorescence,0.2,RAW,0.7378640776699029,0.8381877022653722,0.7833777021099284,0.39466666666666667,0.320039513790426,0.9077276123296844,0.901556986802812
fluorescence,0.2,LSM,0.7378640776699029,0.8802588996763754,0.8036514668405439,0.7573333333333333,0.7205129333043374,0.8714303169903411,0.8155396353566403
fluorescence,0.2,CSM,0.7508090614886731,0.883495145631068,0.812577776571521,0.824,0.7769334716618742,0.8993047233196697,0.830319704008092
fluorescence,0.2,META,0.061488673139158574,0.1488673139158576,0.12416460759842275,0.344,0.16664422722534625,0.9504670750269041,0.9515987160068682
fluorescence,0.4,RAW,0.42071197411003236,0.5728155339805825,0.4944800351305646,0.2693333333333333,0.2023910233707427,0.8076095933338843,0.8701486578670354
fluorescence,0.4,LSM,0.4919093851132686,0.6537216828478964,0.5766964100417372,0.5786666666666667,0.575995933670979,0.6876780960645102,0.7288805782005648
fluorescence,0.4,CSM,0.5889967637540453,0.7734627831715211,0.6751286746574544,0.6933333333333334,0.6501698145364471,0.739444522405417,0.74572785620921
fluorescence,0.4,META,0.019417475728155338,0.08414239482200647,0.06973583615979177,0.30133333333333334,0.12914025052820832,0.889153191601908,0.9124956465215707
fluorescence,0.8,RAW,0.13915857605177995,0.20064724919093851,0.19346584145179452,0.19733333333333333,0.07156342096101131,0.6895047816968295,0.825825614838754
fluorescence,0.8,LSM,0.1423948220064725,0.26537216828478966,0.22094301965908938,0.272,0.28318949191584053,0.4468226392517999,0.6464638328962536
fluorescence,0.8,CSM,0.20711974110032363,0.3559870550161812,0.29207807638097216,0.37333333333333335,0.3752336587660441,0.488816194216803,0.6453546565618931
fluorescence,0.8,META,0.006472491909385114,0.061488673139158574,0.043328130112784455,0.21866666666666668,0.06784789864538227,0.797223124240199,0.851788445977298
cosmic_spikes,1.0,RAW,0.7864077669902912,0.8932038834951457,0.834865936447098,0.6053333333333333,0.511246551093268,0.8278701522639458,0.6410170413417529
cosmic_spikes,1.0,LSM,0.7734627831715211,0.9061488673139159,0.8305871184227114,0.8506666666666667,0.8042184322976402,0.9753342516771594,0.8512633497886658
cosmic_spikes,1.0,CSM,0.7605177993527508,0.9061488673139159,0.8232699306215627,0.8453333333333334,0.8001685161354019,0.9758753215430276,0.8522671715233748
cosmic_spikes,1.0,META,0.17475728155339806,0.3818770226537217,0.2910121027066795,0.38666666666666666,0.16765717655741696,0.9908610578811181,0.9712234419069256
cosmic_spikes,2.0,RAW,0.7864077669902912,0.8802588996763754,0.8350326270311523,0.568,0.46912652392848614,0.7366271477895789,0.5210748414589164
cosmic_spikes,2.0,LSM,0.7540453074433657,0.8964401294498382,0.8168763721292436,0.8346666666666667,0.7838647233884146,0.9539759125298679,0.8351748958628707
cosmic_spikes,2.0,CSM,0.7411003236245954,0.8964401294498382,0.8072931865968436,0.8453333333333334,0.7925166389958256,0.958700588134376,0.8385707303049194
cosmic_spikes,2.0,META,0.11326860841423948,0.3300970873786408,0.23347186709921758,0.3973333333333333,0.19458376881726525,0.9866883805213778,0.9703683845062503
cosmic_spikes,4.0,RAW,0.7864077669902912,0.8673139158576052,0.8281681597847521,0.5573333333333333,0.4216817859470176,0.6294479344594324,0.3929220869147958
cosmic_spikes,4.0,LSM,0.6796116504854369,0.8446601941747572,0.7576228695823407,0.8,0.7533886684115907,0.917035578207659,0.7807699661937885
cosmic_spikes,4.0,CSM,0.6957928802588996,0.8673139158576052,0.7731388925784413,0.8133333333333334,0.763004920291432,0.9225465103651144,0.786546331956087
cosmic_spikes,4.0,META,0.10032362459546926,0.255663430420712,0.19164533947421603,0.34933333333333333,0.16683979365523666,0.9760048939240954,0.9479799538014956
cosmic_spikes,8.0,RAW,0.7669902912621359,0.883495145631068,0.8202753529143685,0.5013333333333333,0.3629944876139586,0.5159953251096286,0.27784231757656613
cosmic_spikes,8.0,LSM,0.6472491909385113,0.8284789644012945,0.7292628998009395,0.776,0.7303980355441508,0.8636592146686901,0.7128821177882653
cosmic_spikes,8.0,CSM,0.6634304207119741,0.8284789644012945,0.747435376185802,0.808,0.7570016292329613,0.8706621418930653,0.712459312494929
cosmic_spikes,8.0,META,0.0744336569579288,0.2524271844660194,0.17614332337534874,0.3413333333333333,0.1734131642637255,0.9575986236651957,0.934890053925658
cosmic_spikes,16.0,RAW,0.6666666666666666,0.8317152103559871,0.7413091745204168,0.42933333333333334,0.3158314978461255,0.4212221184648117,0.1983301524036498
cosmic_spikes,16.0,LSM,0.5469255663430421,0.7605177993527508,0.6383704065841024,0.7066666666666667,0.6439745219549624,0.7646437600425294,0.6043111166574661
cosmic_spikes,16.0,CSM,0.56957928802589,0.7831715210355987,0.6638141877528059,0.7226666666666667,0.6478716660315372,0.7716384022565953,0.6132651133048445
cosmic_spikes,16.0,META,0.022653721682847898,0.0970873786407767,0.08335787675916534,0.296,0.1414511588128074,0.9334993072521368,0.911834187080013
intensity_scaling,0.1,RAW,0.7896440129449838,0.8932038834951457,0.8385647558833818,0.6106666666666667,0.5228308360156309,0.9998500896722774,0.9045418176824175
intensity_scaling,0.1,LSM,0.8090614886731392,0.912621359223301,0.8537959706576203,0.8506666666666667,0.8007118406041975,0.9999399162419916,0.8908925463339071
intensity_scaling,0.1,CSM,0.7961165048543689,0.912621359223301,0.8489017799468791,0.856,0.8101672781808837,0.9999407671956739,0.8926802114816933
intensity_scaling,0.1,META,0.3559870550161812,0.5501618122977346,0.4551109581597324,0.392,0.21483463464544222,0.9999704616870858,0.9803725496209807
intensity_scaling,0.25,RAW,0.7896440129449838,0.8932038834951457,0.8385647558833818,0.6106666666666667,0.5228308360156309,0.9998500896722774,0.9045418176824175
intensity_scaling,0.25,LSM,0.8090614886731392,0.912621359223301,0.8537959706576203,0.8506666666666667,0.8007118406041975,0.9999399162419915,0.8908925463339078
intensity_scaling,0.25,CSM,0.7961165048543689,0.912621359223301,0.8489017799468791,0.856,0.8101672781808837,0.9999407671956739,0.8926802114816933
intensity_scaling,0.25,META,0.3559870550161812,0.5501618122977346,0.4551109581597324,0.392,0.21483463464544222,0.9999704616870858,0.9803725496209807
intensity_scaling,0.5,RAW,0.7896440129449838,0.8932038834951457,0.8385647558833818,0.6106666666666667,0.5228308360156309,0.9998500896722774,0.9045418176824174
intensity_scaling,0.5,LSM,0.8090614886731392,0.912621359223301,0.8537959706576203,0.8506666666666667,0.8007118406041975,0.9999399162419916,0.8908925463339088
intensity_scaling,0.5,CSM,0.7961165048543689,0.912621359223301,0.8489017799468791,0.856,0.8101672781808837,0.9999407671956739,0.8926802114816933
intensity_scaling,0.5,META,0.3559870550161812,0.5501618122977346,0.4551109581597324,0.392,0.21483463464544222,0.9999704616870858,0.9803725496209807
intensity_scaling,1.0,RAW,0.7896440129449838,0.8932038834951457,0.8385647558833818,0.6106666666666667,0.5228308360156309,0.9998500896722774,0.9045418176824174
intensity_scaling,1.0,LSM,0.8090614886731392,0.912621359223301,0.8537959706576203,0.8506666666666667,0.8007118406041975,0.9999399162419923,0.8908925463339117
intensity_scaling,1.0,CSM,0.7961165048543689,0.912621359223301,0.8489017799468791,0.856,0.8101672781808837,0.9999407671956739,0.8926802114816931
intensity_scaling,1.0,META,0.3559870550161812,0.5501618122977346,0.4551109581597324,0.392,0.21483463464544222,0.9999704616870858,0.9803725496209807
intensity_scaling,2.0,RAW,0.7896440129449838,0.8932038834951457,0.8385647558833818,0.6106666666666667,0.5228308360156309,0.9998500896722774,0.9045418176824175
intensity_scaling,2.0,LSM,0.8090614886731392,0.912621359223301,0.8537959706576203,0.8506666666666667,0.8007118406041975,0.9999399162420156,0.8908925463339127
intensity_scaling,2.0,CSM,0.7961165048543689,0.912621359223301,0.8489017799468791,0.856,0.8101672781808837,0.9999407671956739,0.8926802114816933
intensity_scaling,2.0,META,0.3559870550161812,0.5501618122977346,0.4551109581597324,0.392,0.21483463464544222,0.9999704616870858,0.9803725496209807
peak_scaling,0.05,RAW,0.7896440129449838,0.8932038834951457,0.8388854903123424,0.608,0.5204858278129597,0.999704847498953,0.9043775372801044
peak_scaling,0.05,LSM,0.8090614886731392,0.912621359223301,0.8523824164368363,0.856,0.8072577670402441,0.9996801260312829,0.8905081175245403
peak_scaling,0.05,CSM,0.7993527508090615,0.912621359223301,0.8504994544502888,0.8533333333333334,0.8082741122104795,0.9996949689651182,0.8922124701852385
peak_scaling,0.05,META,0.34627831715210355,0.540453074433657,0.4445902041410922,0.39466666666666667,0.20569071902792888,0.9998225999684419,0.9797994886030097
peak_scaling,0.1,RAW,0.7961165048543689,0.8932038834951457,0.8433127144783429,0.6106666666666667,0.5219079967307225,0.9992674869015329,0.9036934968436615
peak_scaling,0.1,LSM,0.8025889967637541,0.9093851132686084,0.8483560612043946,0.856,0.8072577670402441,0.9989072530013021,0.8892479650022167
peak_scaling,0.1,CSM,0.7961165048543689,0.9158576051779935,0.8492291607944426,0.8506666666666667,0.8056756639598573,0.9989797021075986,0.8910201021318869
peak_scaling,0.1,META,0.29449838187702265,0.5275080906148867,0.4079347048269416,0.3973333333333333,0.19608830129203517,0.9994684899878936,0.9790100085227401
peak_scaling,0.2,RAW,0.7928802588996764,0.8964401294498382,0.8422668143015547,0.6106666666666667,0.5228569463958963,0.9975054333812642,0.9007394468427176
peak_scaling,0.2,LSM,0.7961165048543689,0.912621359223301,0.846008584143685,0.8533333333333334,0.8034708931013647,0.9958758140466388,0.8849955560535334
peak_scaling,0.2,CSM,0.7961165048543689,0.9158576051779935,0.8478954727829592,0.8506666666666667,0.8061261390394423,0.9961751352304749,0.8871530212079105
peak_scaling,0.2,META,0.2686084142394822,0.5016181229773463,0.3861519776179596,0.4026666666666667,0.19645914767452824,0.9982408539097475,0.9765758738862899
peak_scaling,0.4,RAW,0.7928802588996764,0.8932038834951457,0.8416406235387928,0.6133333333333333,0.5233623643543804,0.9903414959552252,0.8883089260891825
peak_scaling,0.4,LSM,0.7993527508090615,0.9061488673139159,0.8438145849892688,0.848,0.8063119058802029,0.9843152975636561,0.8678121448058704
peak_scaling,0.4,CSM,0.7734627831715211,0.8996763754045307,0.8331756876812961,0.848,0.8012297514249782,0.9852542521921088,0.8706729221114482
peak_scaling,0.4,META,0.1553398058252427,0.42071197411003236,0.2885330176394554,0.3973333333333333,0.18901652582515555,0.9944620342169121,0.9693349490443876
