source_id,title_or_short_label,condition_scope,sample_type_if_known,evidence_rows,category_primary,explicit_text_directionality_present,tabular_directionality_present,figure_directionality_present,likely_query_conditions,likely_comparator_conditions,extraction_value,confidence_in_classification,notes,recommended_for_pilot
src_liverDB_elsevier_S1386142521002985,src_liverDB_elsevier_S1386142521002985,hepatitis,serum,3,D,no,no,no,hepatitis,healthy_control,low,low,,no
src_liverDB_elsevier_S138614252301449X,src_liverDB_elsevier_S138614252301449X,liver_cancer_unspecified,serum,1,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_elsevier_S1549963417302186,src_liverDB_elsevier_S1549963417302186,unspecified,serum,18,D,no,no,no,,,low,low,,no
src_liverDB_elsevier_S1572100022001004,src_liverDB_elsevier_S1572100022001004,HCC,urine,13,D,no,no,no,HCC,healthy_control,low,low,,no
src_liverDB_gen_119000U__1,src_liverDB_gen_119000U__1,unspecified,serum,24,D,no,no,no,,,low,low,,no
src_liverDB_gen_2190_4286_8_120,src_liverDB_gen_2190_4286_8_120,liver_cancer_unspecified,serum,10,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_3d_printed_sers_chips_for_highly_specific_detection,src_liverDB_gen_3d_printed_sers_chips_for_highly_s,fibrosis,serum,1,D,no,no,no,fibrosis,healthy_control,low,low,,no
src_liverDB_gen_Direct_Bilirubin_Detection_Using_Surface_Enhanced_R,src_liverDB_gen_Direct_Bilirubin_Detection_Using_S,bilirubin_detection,reference_compound,1,D,no,no,no,bilirubin_detection,healthy_control,low,low,,no
src_liverDB_gen_J_Raman_Spectroscopy___2013___Liu___Near_infrared_s,src_liverDB_gen_J_Raman_Spectroscopy___2013___Liu_,liver_cancer_unspecified,serum,6,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_J_Raman_Spectroscopy___2018___Liu___Label_free_and_,src_liverDB_gen_J_Raman_Spectroscopy___2018___Liu_,liver_cancer_unspecified,serum,7,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_J_Raman_Spectroscopy___2025___Li___Label_Free_Discr,src_liverDB_gen_J_Raman_Spectroscopy___2025___Li__,liver_cancer_unspecified,plasma,23,B,yes,no,no,liver_cancer_unspecified,healthy_control,high,medium,TRUE_DIR,yes
src_liverDB_gen_Journal_of_Biophotonics___2020___Gao___Surface_enha,src_liverDB_gen_Journal_of_Biophotonics___2020___G,albumin_detection,reference_compound,15,D,no,no,no,albumin_detection,healthy_control,low,low,,no
src_liverDB_gen_a_deep_multimodal_fusion_framework_integrating_sers,src_liverDB_gen_a_deep_multimodal_fusion_framework,NAFLD_NASH,serum,19,D,no,no,no,NAFLD_NASH,healthy_control,low,low,,no
src_liverDB_gen_biosensors_15_00632,src_liverDB_gen_biosensors_15_00632,unspecified,serum,17,D,no,no,no,,,low,low,,no
src_liverDB_gen_bmr_0190,src_liverDB_gen_bmr_0190,unspecified,serum,4,D,no,no,no,,,low,low,,no
src_liverDB_gen_boe_15_11_6469,src_liverDB_gen_boe_15_11_6469,unspecified,serum,1,D,no,no,no,,,low,low,,no
src_liverDB_gen_boe_9_12_6053,src_liverDB_gen_boe_9_12_6053,unspecified,serum,16,D,no,no,no,,,low,low,,no
src_liverDB_gen_combination_of_label_free_sers_based_nanosensors_an,src_liverDB_gen_combination_of_label_free_sers_bas,cholangiocarcinoma,serum,3,D,no,no,no,cholangiocarcinoma,healthy_control,low,low,,no
src_liverDB_gen_frequency_shift_raman_based_sensing_of_serum_micror,src_liverDB_gen_frequency_shift_raman_based_sensin,liver_cancer_unspecified,serum,7,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_multivariate_analysis_of_serum_surface_enhanced_ram,src_liverDB_gen_multivariate_analysis_of_serum_sur,liver_cancer_unspecified,serum,7,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
src_liverDB_gen_oe_23_14_18361,src_liverDB_gen_oe_23_14_18361,unspecified,serum,9,D,no,no,no,,,low,low,,no
src_liverDB_gen_optimizing_the_sers_performance_of_3d_substrates_th,src_liverDB_gen_optimizing_the_sers_performance_of,liver_cancer_unspecified,serum,1,D,no,no,no,liver_cancer_unspecified,healthy_control,low,low,,no
