spectrum_id,source_dataset,original_file,original_analyte_label,normalized_label,canonical_id,modality,substrate,excitation_nm,is_pure_analyte,included_in_v7_raman,inclusion_reason,exclusion_reason,chemistry_class,replicate_group,substrate_flag
ramanbiolib::11,RamanBioLib,grounding_molecule_spectra.parquet,ascorbic acid,ascorbate,ascorbate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,ascorbate|785.0,
ramanbiolib::12,RamanBioLib,grounding_molecule_spectra.parquet,cellulose,cellulose,cellulose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,polysaccharide,cellulose|785.0,
ramanbiolib::13,RamanBioLib,grounding_molecule_spectra.parquet,chitin,chitin,chitin,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,polysaccharide,chitin|785.0,
ramanbiolib::14,RamanBioLib,grounding_molecule_spectra.parquet,citric acid,citrate,citrate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,citrate|785.0,
ramanbiolib::15,RamanBioLib,grounding_molecule_spectra.parquet,coenzyme a,coenzyme a,coenzyme a,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,sulfur_thiol_cofactor,coenzyme a|785.0,
ramanbiolib::16,RamanBioLib,grounding_molecule_spectra.parquet,cytosine,cytosine,cytosine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,pyrimidine,cytosine|785.0,
ramanbiolib::17,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-dextrose,(+)-dextrose,(+)-glucose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-glucose|785.0,
ramanbiolib::18,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-fucose,(+)-fucose,(+)-fucose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-fucose|785.0,
ramanbiolib::19,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-galactosamine,(+)-galactosamine,(+)-galactosamine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-galactosamine|785.0,
ramanbiolib::20,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-mannose,(+)-mannose,(+)-mannose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-mannose|785.0,
ramanbiolib::21,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-trehalose,(+)-trehalose,(+)-trehalose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-trehalose|785.0,
ramanbiolib::22,RamanBioLib,grounding_molecule_spectra.parquet,d-(+)-xylose,(+)-xylose,(+)-xylose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-xylose|785.0,
ramanbiolib::23,RamanBioLib,grounding_molecule_spectra.parquet,d-(-)-arabinose,(-)-arabinose,(-)-arabinose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(-)-arabinose|785.0,
ramanbiolib::24,RamanBioLib,grounding_molecule_spectra.parquet,d-(-)-fructose,(-)-fructose,(-)-fructose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(-)-fructose|785.0,
ramanbiolib::25,RamanBioLib,grounding_molecule_spectra.parquet,d-fructose-6-phosphate,fructose-6-phosphate,fructose-6-phosphate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,phosphate_metabolite,fructose-6-phosphate|785.0,
ramanbiolib::26,RamanBioLib,grounding_molecule_spectra.parquet,fumarate,fumarate,fumarate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,fumarate|785.0,
ramanbiolib::27,RamanBioLib,grounding_molecule_spectra.parquet,glutathione,glutathione,glutathione,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,sulfur_thiol_cofactor,glutathione|785.0,
ramanbiolib::28,RamanBioLib,grounding_molecule_spectra.parquet,glycerol,glycerol,glycerol,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,glycerol|785.0,
ramanbiolib::29,RamanBioLib,grounding_molecule_spectra.parquet,glycine,glycine,glycine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,glycine|785.0,
ramanbiolib::30,RamanBioLib,grounding_molecule_spectra.parquet,guanine,guanine,guanine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,purine,guanine|785.0,
ramanbiolib::31,RamanBioLib,grounding_molecule_spectra.parquet,l-alanine,alanine,alanine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,alanine|785.0,
ramanbiolib::32,RamanBioLib,grounding_molecule_spectra.parquet,l-arginine,arginine,arginine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,arginine|785.0,
ramanbiolib::33,RamanBioLib,grounding_molecule_spectra.parquet,l-glutamate,glutamate,glutamate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,glutamate|785.0,
ramanbiolib::34,RamanBioLib,grounding_molecule_spectra.parquet,l-histidine,histidine,histidine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,histidine|785.0,
ramanbiolib::35,RamanBioLib,grounding_molecule_spectra.parquet,l-phenylalanine,phenylalanine,phenylalanine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,phenylalanine|785.0,
ramanbiolib::36,RamanBioLib,grounding_molecule_spectra.parquet,l-proline,proline,proline,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,proline|785.0,
ramanbiolib::37,RamanBioLib,grounding_molecule_spectra.parquet,l-serine,serine,serine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,serine|785.0,
ramanbiolib::38,RamanBioLib,grounding_molecule_spectra.parquet,l-tryptophan,tryptophan,tryptophan,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,tryptophan|785.0,
ramanbiolib::39,RamanBioLib,grounding_molecule_spectra.parquet,l-tyrosine,tyrosine,tyrosine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,tyrosine|785.0,
ramanbiolib::40,RamanBioLib,grounding_molecule_spectra.parquet,l-valine,valine,valine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,free_amino_acid,valine|785.0,
ramanbiolib::41,RamanBioLib,grounding_molecule_spectra.parquet,lactose,lactose,(+)-lactose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,(+)-lactose|785.0,
ramanbiolib::42,RamanBioLib,grounding_molecule_spectra.parquet,lauric acid,lauric acid,lauric acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,lauric acid|785.0,
ramanbiolib::43,RamanBioLib,grounding_molecule_spectra.parquet,malic acid,malic acid,malic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,malic acid|785.0,
ramanbiolib::44,RamanBioLib,grounding_molecule_spectra.parquet,myristic acid,myristic acid,myristic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,myristic acid|785.0,
ramanbiolib::45,RamanBioLib,grounding_molecule_spectra.parquet,n-acetyl- d-glucosamine,n-acetyl- d-glucosamine,n-acetylglucosamine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,n-acetylglucosamine|785.0,
ramanbiolib::46,RamanBioLib,grounding_molecule_spectra.parquet,oleic acid,oleate,oleate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,oleate|785.0,
ramanbiolib::47,RamanBioLib,grounding_molecule_spectra.parquet,palmitic acid,palmitic acid,palmitic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,palmitic acid|785.0,
ramanbiolib::48,RamanBioLib,grounding_molecule_spectra.parquet,phosphoenolpyruvate,phosphoenolpyruvate,phosphoenolpyruvate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,phosphate_metabolite,phosphoenolpyruvate|785.0,
ramanbiolib::49,RamanBioLib,grounding_molecule_spectra.parquet,pyruvate,pyruvate,pyruvate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,pyruvate|785.0,
ramanbiolib::50,RamanBioLib,grounding_molecule_spectra.parquet,riboﬂavin,riboﬂavin,riboflavin,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,chromophore_pigment,riboflavin|785.0,
ramanbiolib::51,RamanBioLib,grounding_molecule_spectra.parquet,stearic acid,stearate,stearate,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,stearate|785.0,
ramanbiolib::52,RamanBioLib,grounding_molecule_spectra.parquet,succinic acid,succinic acid,succinic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,carboxylic_acid_metabolite,succinic acid|785.0,
ramanbiolib::53,RamanBioLib,grounding_molecule_spectra.parquet,thymine,thymine,thymine,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,pyrimidine,thymine|785.0,
ramanbiolib::54,RamanBioLib,grounding_molecule_spectra.parquet,trilinolein,trilinolein,trilinolein,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trilinolein|785.0,
ramanbiolib::55,RamanBioLib,grounding_molecule_spectra.parquet,trilinolenin,trilinolenin,trilinolenin,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trilinolenin|785.0,
ramanbiolib::56,RamanBioLib,grounding_molecule_spectra.parquet,triolein,triolein,triolein,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,triolein|785.0,
ramanbiolib::57,RamanBioLib,grounding_molecule_spectra.parquet,uracil,uracil,uracil,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,pyrimidine,uracil|785.0,
ramanbiolib::58,RamanBioLib,grounding_molecule_spectra.parquet,vaccenic acid,vaccenic acid,vaccenic acid,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,vaccenic acid|785.0,
ramanbiolib::59,RamanBioLib,grounding_molecule_spectra.parquet,β-carotene,β-carotene,β-carotene,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,chromophore_pigment,β-carotene|785.0,
ramanbiolib::60,RamanBioLib,grounding_molecule_spectra.parquet,β-d-glucose,β-d-glucose,β-d-glucose,raman,CaF2 slide,785.0,True,True,pure Raman reference library; modality=raman in source record,,mono_oligosaccharide,β-d-glucose|785.0,
ramanbiolib::61,RamanBioLib,grounding_molecule_spectra.parquet,arachidonic acid,arachidonic acid,arachidonic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,arachidonic acid|532.0,
ramanbiolib::62,RamanBioLib,grounding_molecule_spectra.parquet,α-linolenic acid,α-linolenic acid,α-linolenic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,α-linolenic acid|532.0,
ramanbiolib::63,RamanBioLib,grounding_molecule_spectra.parquet,arachidic acid,arachidic acid,arachidic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,arachidic acid|532.0,
ramanbiolib::64,RamanBioLib,grounding_molecule_spectra.parquet,cholesterol,cholesterol,cholesterol,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,sterol_steroid,cholesterol|532.0,
ramanbiolib::65,RamanBioLib,grounding_molecule_spectra.parquet,cholesteryl linoleate,cholesteryl linoleate,cholesteryl linoleate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,sterol_steroid,cholesteryl linoleate|532.0,
ramanbiolib::66,RamanBioLib,grounding_molecule_spectra.parquet,cholesteryl oleate,cholesteryl oleate,cholesteryl oleate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,sterol_steroid,cholesteryl oleate|532.0,
ramanbiolib::67,RamanBioLib,grounding_molecule_spectra.parquet,cholesteryl palmitate,cholesteryl palmitate,cholesteryl palmitate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,sterol_steroid,cholesteryl palmitate|532.0,
ramanbiolib::68,RamanBioLib,grounding_molecule_spectra.parquet,cholesteryl stearate,cholesteryl stearate,cholesteryl stearate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,sterol_steroid,cholesteryl stearate|532.0,
ramanbiolib::69,RamanBioLib,grounding_molecule_spectra.parquet,elaidic acid,elaidic acid,elaidic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,elaidic acid|532.0,
ramanbiolib::70,RamanBioLib,grounding_molecule_spectra.parquet,linoleic acid,linoleic acid,linoleic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,linoleic acid|532.0,
ramanbiolib::71,RamanBioLib,grounding_molecule_spectra.parquet,myristic acid,myristic acid,myristic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,myristic acid|532.0,
ramanbiolib::72,RamanBioLib,grounding_molecule_spectra.parquet,oleic acid,oleate,oleate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,oleate|532.0,
ramanbiolib::73,RamanBioLib,grounding_molecule_spectra.parquet,palmitic acid,palmitic acid,palmitic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,palmitic acid|532.0,
ramanbiolib::74,RamanBioLib,grounding_molecule_spectra.parquet,l-α-phosphatidylcholine,α-phosphatidylcholine,α-phosphatidylcholine,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,phospholipid_sphingolipid,α-phosphatidylcholine|532.0,
ramanbiolib::75,RamanBioLib,grounding_molecule_spectra.parquet,l-α-phosphatidylethanolamine,α-phosphatidylethanolamine,α-phosphatidylethanolamine,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,phospholipid_sphingolipid,α-phosphatidylethanolamine|532.0,
ramanbiolib::76,RamanBioLib,grounding_molecule_spectra.parquet,palmitoleic acid,palmitoleic acid,palmitoleic acid,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,palmitoleic acid|532.0,
ramanbiolib::77,RamanBioLib,grounding_molecule_spectra.parquet,stearic acid,stearate,stearate,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,fatty_acid,stearate|532.0,
ramanbiolib::78,RamanBioLib,grounding_molecule_spectra.parquet,sphingomyelin,sphingomyelin,sphingomyelin,raman, CaF2 slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,phospholipid_sphingolipid,sphingomyelin|532.0,
ramanbiolib::79,RamanBioLib,grounding_molecule_spectra.parquet,triarachidin,triarachidin,triarachidin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,triarachidin|1064.0,
ramanbiolib::80,RamanBioLib,grounding_molecule_spectra.parquet,tribehenin,tribehenin,tribehenin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tribehenin|1064.0,
ramanbiolib::81,RamanBioLib,grounding_molecule_spectra.parquet,tricaproin,tricaproin,tricaproin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tricaproin|1064.0,
ramanbiolib::82,RamanBioLib,grounding_molecule_spectra.parquet,tricaprin,tricaprin,tricaprin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tricaprin|1064.0,
ramanbiolib::83,RamanBioLib,grounding_molecule_spectra.parquet,tricaprylin,tricaprylin,tricaprylin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tricaprylin|1064.0,
ramanbiolib::84,RamanBioLib,grounding_molecule_spectra.parquet,trielaidin,trielaidin,trielaidin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trielaidin|1064.0,
ramanbiolib::85,RamanBioLib,grounding_molecule_spectra.parquet,tri-11-eicosenoin,tri-11-eicosenoin,tri-11-eicosenoin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tri-11-eicosenoin|1064.0,
ramanbiolib::86,RamanBioLib,grounding_molecule_spectra.parquet,trierucin,trierucin,trierucin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trierucin|1064.0,
ramanbiolib::87,RamanBioLib,grounding_molecule_spectra.parquet,trilinolein,trilinolein,trilinolein,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trilinolein|1064.0,
ramanbiolib::88,RamanBioLib,grounding_molecule_spectra.parquet,trilinolenin,trilinolenin,trilinolenin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trilinolenin|1064.0,
ramanbiolib::89,RamanBioLib,grounding_molecule_spectra.parquet,trilaurin,trilaurin,trilaurin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trilaurin|1064.0,
ramanbiolib::90,RamanBioLib,grounding_molecule_spectra.parquet,trimyristin,trimyristin,trimyristin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,trimyristin|1064.0,
ramanbiolib::91,RamanBioLib,grounding_molecule_spectra.parquet,triolein,triolein,triolein,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,triolein|1064.0,
ramanbiolib::92,RamanBioLib,grounding_molecule_spectra.parquet,tripalmitin,tripalmitin,tripalmitin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tripalmitin|1064.0,
ramanbiolib::93,RamanBioLib,grounding_molecule_spectra.parquet,tripetroselinin,tripetroselinin,tripetroselinin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tripetroselinin|1064.0,
ramanbiolib::94,RamanBioLib,grounding_molecule_spectra.parquet,tripalmitolein,tripalmitolein,tripalmitolein,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tripalmitolein|1064.0,
ramanbiolib::95,RamanBioLib,grounding_molecule_spectra.parquet,tristearin,tristearin,tristearin,raman,Metal ring,1064.0,True,True,pure Raman reference library; modality=raman in source record,,acylglycerol,tristearin|1064.0,
ramanbiolib::96,RamanBioLib,grounding_molecule_spectra.parquet,lactalbumin,lactalbumin,lactalbumin,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,lactalbumin|488.0,
ramanbiolib::97,RamanBioLib,grounding_molecule_spectra.parquet,lactalbumin,lactalbumin,lactalbumin,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,lactalbumin|532.0,
ramanbiolib::98,RamanBioLib,grounding_molecule_spectra.parquet,lactalbumin,lactalbumin,lactalbumin,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,lactalbumin|1064.0,
ramanbiolib::99,RamanBioLib,grounding_molecule_spectra.parquet,albumin,albumin,albumin,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,albumin|488.0,
ramanbiolib::100,RamanBioLib,grounding_molecule_spectra.parquet,albumin,albumin,albumin,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,albumin|532.0,
ramanbiolib::101,RamanBioLib,grounding_molecule_spectra.parquet,albumin,albumin,albumin,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,albumin|1064.0,
ramanbiolib::102,RamanBioLib,grounding_molecule_spectra.parquet,carbonic anhydrase,carbonic anhydrase,carbonic anhydrase,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,carbonic anhydrase|488.0,
ramanbiolib::103,RamanBioLib,grounding_molecule_spectra.parquet,carbonic anhydrase,carbonic anhydrase,carbonic anhydrase,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,carbonic anhydrase|532.0,
ramanbiolib::104,RamanBioLib,grounding_molecule_spectra.parquet,carbonic anhydrase,carbonic anhydrase,carbonic anhydrase,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,carbonic anhydrase|1064.0,
ramanbiolib::105,RamanBioLib,grounding_molecule_spectra.parquet,collagen,collagen,collagen,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,collagen|488.0,
ramanbiolib::106,RamanBioLib,grounding_molecule_spectra.parquet,collagen,collagen,collagen,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,collagen|532.0,
ramanbiolib::107,RamanBioLib,grounding_molecule_spectra.parquet,collagen,collagen,collagen,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,collagen|1064.0,
ramanbiolib::108,RamanBioLib,grounding_molecule_spectra.parquet,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,α-chymotrypsinogen a (type ii)|488.0,
ramanbiolib::109,RamanBioLib,grounding_molecule_spectra.parquet,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,α-chymotrypsinogen a (type ii)|532.0,
ramanbiolib::110,RamanBioLib,grounding_molecule_spectra.parquet,α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),α-chymotrypsinogen a (type ii),raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,α-chymotrypsinogen a (type ii)|1064.0,
ramanbiolib::111,RamanBioLib,grounding_molecule_spectra.parquet,elastase,elastase,elastase,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,elastase|488.0,
ramanbiolib::112,RamanBioLib,grounding_molecule_spectra.parquet,elastase,elastase,elastase,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,elastase|532.0,
ramanbiolib::113,RamanBioLib,grounding_molecule_spectra.parquet,elastase,elastase,elastase,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,elastase|1064.0,
ramanbiolib::114,RamanBioLib,grounding_molecule_spectra.parquet,ferritin,ferritin,ferritin,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,ferritin|488.0,
ramanbiolib::115,RamanBioLib,grounding_molecule_spectra.parquet,ferritin,ferritin,ferritin,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,ferritin|532.0,
ramanbiolib::116,RamanBioLib,grounding_molecule_spectra.parquet,ferritin,ferritin,ferritin,raman,Metal rings,1064.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,ferritin|1064.0,
ramanbiolib::117,RamanBioLib,grounding_molecule_spectra.parquet,glutathione transferase,glutathione transferase,glutathione transferase,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,glutathione transferase|488.0,
ramanbiolib::118,RamanBioLib,grounding_molecule_spectra.parquet,glutathione transferase,glutathione transferase,glutathione transferase,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,glutathione transferase|532.0,
ramanbiolib::119,RamanBioLib,grounding_molecule_spectra.parquet,horseradish peroxidase,horseradish peroxidase,horseradish peroxidase,raman,Glass microscope slide,488.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,horseradish peroxidase|488.0,
ramanbiolib::120,RamanBioLib,grounding_molecule_spectra.parquet,horseradish peroxidase,horseradish peroxidase,horseradish peroxidase,raman,Glass microscope slide,532.0,True,True,pure Raman reference library; modality=raman in source record,,peptide_protein,horseradish peroxidase|532.0,
