family,base_family,K,usable,non_negative_activations,rmse,explained_variance,mean_cosine,relative_frobenius,information_retained_vs_chemistry_evidence,heldout_chemistry_top1,heldout_chemistry_top3,heldout_chemistry_retention,bootstrap_stability,bootstrap_min,n_programmes_unstable,sparsity,max_pairwise_overlap,max_single_axis_share,mean_pairwise_overlap,activation_entropy,dominance,effective_rank,compression_ratio,replicate_consistency,mutual_information_norm,eligible,ineligible_reason,objective
orthogonal_nmf,orthogonal_nmf,14,True,True,0.036553647865510075,0.9620751383069007,0.98503314723618,0.1645147985556016,0.9620751383069007,0.7013333333333334,0.9413333333333334,0.9293286219068958,0.9545299108200104,0.8986310234202681,1,0.9351189536145474,0.19602007543684577,0.9801243943994843,0.021578608601931348,0.5461686387966,0.18133333333333335,11.313013554296976,1.1428571428571428,0.9454110850918114,2.9085345923009984,False,"K = 14 exceeds the input's effective rank (12) — a rotation, not a compression",0.8870719665912724
orthogonal_nmf,orthogonal_nmf,15,True,True,0.021841738750536938,0.986459429134649,0.9932522558514626,0.098301796413569,0.986459429134649,0.7173333333333334,0.9493333333333334,0.9505300353344296,0.9788473853337111,0.9024993187243576,0,0.9618574508918828,0.23179159400841925,0.9910647746699541,0.013271033159053897,0.5608414053065479,0.18933333333333333,11.71450777191666,1.0666666666666667,0.94607286366969,3.0164657791624236,False,"K = 15 exceeds the input's effective rank (12) — a rotation, not a compression",0.9304238397682664
orthogonal_nmf,orthogonal_nmf,16,True,True,0.0006321077960745337,0.9999886591697106,0.9999811257335993,0.0028448894381003006,0.9999886591697106,0.7706666666666667,0.9466666666666667,1.0212014134262086,0.9966616524498765,0.93549736928443,0,0.9688256247598224,0.26578890992664383,0.9988596145471802,0.013966256851110493,0.5700727146615909,0.224,11.952155197804156,1.0,0.9468586626607977,3.1385717570721168,False,"K = 16 exceeds the input's effective rank (12) — a rotation, not a compression",1.0177922881895145
semi_nmf,semi_nmf,2,True,True,0.1572202206561424,0.29841650916653983,0.6582195901042072,0.7075915658343169,0.29841650916653983,0.136,0.42933333333333334,0.18021201413403684,0.9989699539396725,0.9983037032152678,0,0.39128817085393963,0.3083494142784575,0.26290576741354893,0.3083494142784575,0.5149188370867405,0.8293333333333334,1.8730671326675785,8.0,0.995156991409781,0.5384186064385116,False,information retained 0.298 < floor 0.5,0.18002638745885438
semi_nmf,semi_nmf,3,True,True,0.1426965096280301,0.4220513431840719,0.7392755827097518,0.6422255754724046,0.4220513431840719,0.42133333333333334,0.8,0.5583038869250553,0.9890810101152845,0.9011265426348332,0,0.49982896562187235,0.4771870124335282,0.41677863246598534,0.3053152529792423,0.6987551777384312,0.6,2.7650855867490813,5.333333333333333,0.990763584098056,0.8749715450878464,False,information retained 0.422 < floor 0.5,0.5522077724311233
semi_nmf,semi_nmf,4,True,True,0.12905441272643503,0.5272753208435343,0.7863645003290786,0.5808274126433665,0.5272753208435343,0.5093333333333333,0.8746666666666667,0.6749116607764908,0.9957095332318556,0.9817837103122725,0,0.562744390715721,0.36656502967589655,0.4289569842239667,0.23970544152641957,0.7085970568568308,0.528,3.588061898357174,4.0,0.9889273572787848,1.0962474851221875,True,,0.6720159747244961
semi_nmf,semi_nmf,5,True,True,0.11881725449116484,0.5992979319372778,0.832049857652399,0.534753651932705,0.5992979319372778,0.552,0.8666666666666667,0.7314487632499141,0.9266228427709522,0.8300323244172356,0,0.5390167359491284,0.4517104839740105,0.42912204313996744,0.2907790788685351,0.7520773259179535,0.36,4.487720361430304,3.2,0.9841368624588611,1.3425874136256386,True,,0.6777771323439327
semi_nmf,semi_nmf,6,True,True,0.10862542084372716,0.6650920151329622,0.8739855002738299,0.4888838808611711,0.6650920151329622,0.592,0.92,0.7844522968187485,0.9853598897207639,0.9540010154606877,0,0.5674765999113177,0.5424230336067138,0.4513685274059806,0.2673658361193106,0.7544449916318398,0.2693333333333333,5.162874505158133,2.6666666666666665,0.9829101709509377,1.5623430031654975,True,,0.772967828684522
semi_nmf,semi_nmf,7,True,True,0.09905298723730828,0.7215176256746386,0.8934882122715896,0.4458018062009079,0.7215176256746386,0.64,0.9226666666666666,0.8480565371013498,0.9694032144668511,0.8543159161734522,0,0.5904943613582595,0.4764358147145278,0.4601586562916789,0.2561306365368914,0.7701935975210706,0.232,5.758888724544702,2.2857142857142856,0.9814894056413099,1.744592187557307,True,,0.8221087331156748
semi_nmf,semi_nmf,8,True,True,0.08950583594970919,0.7726131925427111,0.910329022907216,0.4028335181482895,0.7726131925427111,0.6693333333333333,0.9253333333333333,0.8869257950518282,0.938168082691977,0.807241716182316,0,0.6128608075011498,0.39311553912844455,0.4821620301626064,0.23413502662612692,0.7978240286042653,0.22133333333333333,6.609019783435422,2.0,0.9792847076267113,1.962245294724924,True,,0.832085472633831
