path,phase,role,size_bytes,size_mb,modified,kind
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/cluster_radar_delta_Impact.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,330475,0.33,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/cluster_radar_delta_Strong_D.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,292700,0.293,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/cross_class_overlap_heatmap.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,78745,0.079,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/pairwise_delta_heatmap_small_molecule_metabolite.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,68430,0.068,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/pca_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,74408,0.074,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/pca_delta_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,75265,0.075,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/pca_spectral_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,79770,0.08,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/radar_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,163837,0.164,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/radar_delta_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,161249,0.161,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/umap_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,73598,0.074,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/figures/umap_delta_bsv_broad_classes.png,autoresearch::pilot2_target_validation_v1,autoresearch_figures,74901,0.075,2026-04-02 15:37,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/report/._GAIRAv3_Pilot2_target_validation_v1_report.pdf,autoresearch::pilot2_target_validation_v1,autoresearch_report,4096,0.004,2026-04-02 15:39,pdf
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/report/GAIRAv3_Pilot2_target_validation_v1_report.md,autoresearch::pilot2_target_validation_v1,autoresearch_report,3204,0.003,2026-04-02 15:38,md
